OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2024-01-20T17:42:15.929568,1.00274967,.0040718,13.2766,346.9709,335.7381,13.6035,0,U,19548,999,11655,0,-.3E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2024-01-20T08:13:29.267904,1.00272544,.0006212,12.6801,356.4726,315.2538,56.7134,0,U,20253,999,25181,0,-.368E-5,0
SKYNET 4C,1990-079A,2024-01-20T00:54:41.478912,1.00277902,.0003311,13.6228,355.8376,303.1722,227.0617,0,U,20776,999,12207,0,.124E-5,0
TDRS 5,1991-054B,2024-01-20T13:13:14.336832,1.00269659,.002546,14.1814,0.2120,353.7626,156.4780,0,U,21639,999,11890,0,.82E-6,0
TDRS 6,1993-003B,2024-01-20T08:44:42.316224,1.00268225,.0006803,14.1578,3.5045,160.6752,40.3281,0,U,22314,999,11359,0,-.298E-5,0
UFO 2 (USA 95),1993-056A,2024-01-20T14:38:19.399200,1.00270028,.0003176,11.6140,8.1256,295.1009,64.5425,0,U,22787,999,10985,0,.123E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2024-01-20T13:38:22.377984,1.00270578,.0003467,16.2762,37.0085,262.6954,294.3163,0,U,22988,999,2415,0,-.205E-5,0
UFO 4 (USA 108),1995-003A,2024-01-20T17:02:32.481024,1.00274578,.000162,9.7035,15.9236,236.7414,294.8233,0,U,23467,999,10613,0,-.24E-6,0
AMSC 1,1995-019A,2024-01-20T14:35:41.955936,1.00272687,.0006663,12.4898,22.3579,274.8524,293.6843,0,U,23553,999,10535,0,-.99E-6,0
TDRS 7,1995-035B,2024-01-20T09:44:50.447616,1.00278080,.0023384,13.7435,354.2810,59.6207,296.2674,0,U,23613,999,10443,0,-.204E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2024-01-20T14:20:25.518048,1.00271620,.0004327,13.7450,10.0883,273.8394,290.5970,0,U,23712,999,2407,0,-.23E-6,0
INMARSAT 3-F1,1996-020A,2024-01-20T02:50:21.300576,0.99975518,.0004688,8.7509,54.0525,223.9162,321.3436,0,U,23839,999,10146,0,-.6E-6,0
INMARSAT 3-F2,1996-053A,2024-01-20T10:52:15.545280,0.99996924,.0003586,7.8448,62.2706,252.2028,287.9514,0,U,24307,999,10013,0,-.28E-5,0
INMARSAT 3-F3,1996-070A,2024-01-20T09:56:01.055904,0.99995701,.0005963,8.3972,57.4389,228.7367,187.4178,0,U,24674,999,9912,0,.113E-5,0
GALAXY 25 (G-25),1997-026A,2024-01-20T06:09:10.649664,0.99093102,.000649,5.1593,77.7280,272.0683,273.5805,0,U,24812,999,9751,0,.81E-6,0
INTELSAT 5 (IS-5),1997-046A,2024-01-20T12:29:35.644416,1.00272356,.0005435,8.4784,56.6980,208.0291,208.2012,0,U,24916,999,9681,0,-.67E-6,0
AMC-3 (GE-3),1997-050A,2024-01-20T10:57:46.142784,1.00270728,.0003197,5.9777,73.7503,232.4325,265.5598,0,U,24936,999,4362,0,-.262E-5,0
USA 134,1997-065A,2024-01-20T14:31:01.987104,1.00273420,.0004123,11.7323,27.8239,282.3624,274.9612,0,U,25019,999,2279,0,-.68E-6,0
INMARSAT 3-F5,1998-006B,2024-01-20T09:30:20.606976,1.00274687,.0005049,7.7075,61.3575,235.7872,270.6806,0,U,25153,999,9508,0,-.292E-5,0
ASTRA 2A,1998-050A,2024-01-20T05:27:42.740928,1.00273642,.000342,4.8691,79.1802,218.5552,320.4782,0,U,25462,999,3752,0,.67E-6,0
SKYNET 4E,1999-009B,2024-01-20T17:55:55.475904,1.00271818,.0003583,11.5503,13.8573,282.3203,91.1938,0,U,25639,999,9121,0,-.37E-6,0
ABS-6,1999-053A,2024-01-20T15:13:34.434048,1.00271531,.0002283,0.0458,271.2996,24.3657,211.2258,0,U,25924,999,8903,0,-.116E-5,0
UFO 10 (USA 146),1999-063A,2024-01-19T19:29:07.607904,1.00276541,.0005236,9.3699,31.2736,244.4673,112.2887,0,U,25967,999,8852,0,-.189E-5,0
GALAXY 11 (G-11),1999-071A,2024-01-20T15:26:41.100000,1.00271598,.0000536,4.4975,81.1222,172.8428,263.4965,0,U,26038,999,8827,0,-.56E-6,0
USA 148,2000-001A,2024-01-20T15:47:37.793184,1.00273828,.0003482,10.4688,38.7422,250.5404,247.3203,0,U,26052,999,2281,0,.34E-6,0
ASIASTAR,2000-016A,2024-01-20T02:58:07.464864,1.00270499,.0004587,7.0538,66.9707,230.6106,330.9290,0,U,26107,999,8710,0,-.336E-5,0
USA 149 (DSP 20),2000-024A,2024-01-20T08:49:54.946848,1.00256811,.0002006,12.5064,17.7650,254.9889,174.1333,0,U,26356,999,2410,0,.92E-6,0
