OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
APRIZESAT 2,2004-025A,2024-01-20T13:01:11.815968,14.37171460,.0107477,98.0918,227.5410,22.8822,337.7103,0,U,28366,999,2539,.12468E-3,.354E-5,0
SAUDICOMSAT 1,2004-025D,2024-01-20T11:18:09.578880,14.53663885,.003275,98.5208,358.8565,191.6685,168.3755,0,U,28369,999,3637,.2439E-3,.979E-5,0
SAUDICOMSAT 2,2004-025E,2024-01-20T12:02:20.487264,14.48444404,.005769,98.6128,359.3528,40.5186,320.0280,0,U,28370,999,3282,.27958E-3,.1022E-4,0
APRIZESAT 1,2004-025G,2024-01-20T11:55:57.482976,14.50445861,.0044633,98.5744,358.8843,307.6391,52.0756,0,U,28372,999,3446,.23835E-3,.895E-5,0
NANOSAT-1,2004-049B,2024-01-20T07:34:57.048384,14.75791469,.0003334,98.1337,132.7916,220.9454,139.1505,0,U,28493,999,2560,.34449E-3,.2308E-4,0
SAUDICOMSAT 7,2007-012C,2024-01-20T19:25:37.798464,14.63324864,.005969,98.2583,334.0887,68.8595,291.8973,0,U,31119,999,89388,.31515E-3,.1618E-4,0
SAUDICOMSAT 6,2007-012E,2024-01-20T19:48:27.211680,14.60000967,.0074755,98.2927,329.0401,180.3386,179.7776,0,U,31121,999,89195,.23206E-3,.1107E-4,0
SAUDICOMSAT 5,2007-012H,2024-01-20T10:45:06.616800,14.65148320,.0050322,98.2285,334.8225,11.0150,349.2142,0,U,31124,999,89476,.36533E-3,.1949E-4,0
SAUDICOMSAT 3,2007-012J,2024-01-20T07:06:29.509632,14.67182220,.0040768,98.1950,335.5509,310.5358,49.2298,0,U,31125,999,89577,.38384E-3,.2135E-4,0
SAUDICOMSAT 4,2007-012L,2024-01-20T19:07:24.439296,14.61799492,.0067408,98.2793,332.5838,121.4142,239.3674,0,U,31127,999,89297,.25973E-3,.1288E-4,0
APRIZESAT 4,2009-041D,2024-01-20T14:28:11.447328,14.80928362,.0044398,98.2597,63.1691,282.1149,77.5089,0,U,35684,999,78118,.20726E-3,.157E-4,0
APRIZESAT 3,2009-041F,2024-01-20T19:47:41.404992,14.90307285,.0070162,98.1050,130.9395,80.2326,280.6805,0,U,35686,999,78531,.26698E-3,.2654E-4,0
AISSAT 1,2010-035C,2024-01-20T14:08:31.479072,14.90053033,.0011643,98.2041,236.5609,73.9817,286.2681,0,U,36797,999,73316,.3894E-3,.3704E-4,0
S-NET D,2018-014G,2024-01-20T07:28:42.879360,15.02609518,.0012249,97.6048,284.8863,139.4471,220.7669,0,U,43186,999,32613,.42822E-3,.5653E-4,0
S-NET B,2018-014H,2024-01-20T07:31:08.576544,15.02606135,.0013381,97.6058,284.8256,136.1177,224.1114,0,U,43187,999,32613,.43178E-3,.5701E-4,0
S-NET A,2018-014J,2024-01-20T17:05:53.711808,15.02616688,.0013217,97.6061,285.3189,135.5568,224.6720,0,U,43188,999,32619,.4337E-3,.5728E-4,0
S-NET C,2018-014K,2024-01-20T17:09:56.315232,15.02615180,.001545,97.6084,285.2379,130.4151,229.8425,0,U,43189,999,32474,.43899E-3,.5803E-4,0
SALSAT,2020-068K,2024-01-20T10:02:01.853664,15.10533015,.0016354,97.7975,336.4648,99.4324,260.8754,0,U,46495,999,18183,.50442E-3,.8278E-4,0
