OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NAVSTAR 43 (USA 132),1997-035A,2024-01-20T04:53:20.954400,2.00565124,.0075841,55.6254,132.9567,53.2418,307.4301,0,U,24876,999,19432,0,-.24E-6,0
NAVSTAR 47 (USA 150),2000-025A,2024-01-20T02:23:20.052096,2.00560528,.0040716,54.5462,54.9637,210.0540,165.1126,0,U,26360,999,17364,0,-.7E-6,0
NAVSTAR 51 (USA 166),2003-005A,2024-01-20T14:56:37.550976,2.00558091,.0137706,55.1731,249.9079,46.2444,324.4860,0,U,27663,999,15369,0,.56E-6,0
NAVSTAR 52 (USA 168),2003-010A,2024-01-20T11:25:32.778048,2.00557191,.0253449,55.1152,359.7926,322.6094,159.5864,0,U,27704,999,15248,0,-.96E-6,0
NAVSTAR 54 (USA 177),2004-009A,2024-01-20T15:12:09.464832,2.00562971,.0092695,55.5787,310.9660,142.6997,33.2700,0,U,28190,999,14535,0,-.87E-6,0
NAVSTAR 56 (USA 180),2004-045A,2024-01-20T13:43:46.874784,2.00537925,.0164929,55.4431,0.1572,287.5890,251.7101,0,U,28474,999,14080,0,-.95E-6,0
ANIK F1R,2005-036A,2024-01-20T14:36:45.864288,1.00271589,.0001714,2.0493,87.4653,234.0116,269.8535,0,U,28868,999,3764,0,-.72E-6,0
NAVSTAR 57 (USA 183),2005-038A,2024-01-20T14:19:40.610784,2.00565863,.0139025,55.6274,308.4236,282.6555,251.3149,0,U,28874,999,13421,0,-.84E-6,0
INMARSAT 4-F2,2005-044A,2024-01-20T12:41:57.708960,1.00272468,.0002294,4.0259,41.8348,264.5081,147.0224,0,U,28899,999,6671,0,-.259E-5,0
NAVSTAR 58 (USA 190),2006-042A,2024-01-20T13:29:37.358880,2.00563338,.010478,54.6815,186.1751,36.4001,12.7165,0,U,29486,999,12677,0,.79E-6,0
NAVSTAR 59 (USA 192),2006-052A,2024-01-19T22:11:46.093056,2.00557676,.0087013,55.1987,248.9040,80.3573,280.6937,0,U,29601,999,12577,0,.53E-6,0
NAVSTAR 60 (USA 196),2007-047A,2024-01-20T05:33:02.950560,2.00572108,.015228,53.5300,116.4238,73.5328,288.1337,0,U,32260,999,11918,0,-.5E-6,0
COSMOS 2433,2007-052A,2024-01-19T01:20:38.391360,2.13103902,.0004742,65.9861,345.3854,271.7320,88.2108,0,U,32275,999,12630,0,-.7E-6,0
COSMOS 2432,2007-052B,2024-01-19T07:31:36.519168,2.13103186,.0012132,66.0006,345.4879,320.5636,183.6772,0,U,32276,999,12633,0,-.72E-6,0
