OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2024-01-20T04:53:20.954400,2.00565124,.0075841,55.6254,132.9567,53.2418,307.4301,0,U,24876,999,19432,0,-.24E-6,0
GPS BIIR-4  (PRN 20),2000-025A,2024-01-20T02:23:20.052096,2.00560528,.0040716,54.5462,54.9637,210.0540,165.1126,0,U,26360,999,17364,0,-.7E-6,0
GPS BIIR-5  (PRN 22),2000-040A,2024-01-20T00:45:04.404672,2.00557963,.0148659,55.1326,250.1207,293.9643,232.6582,0,U,26407,999,17231,0,.51E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2024-01-20T14:56:37.550976,2.00558091,.0137706,55.1731,249.9079,46.2444,324.4860,0,U,27663,999,15369,0,.56E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2024-01-20T11:25:32.778048,2.00557191,.0253449,55.1152,359.7926,322.6094,159.5864,0,U,27704,999,15248,0,-.96E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2024-01-20T15:12:09.464832,2.00562971,.0092695,55.5787,310.9660,142.6997,33.2700,0,U,28190,999,14535,0,-.87E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2024-01-20T13:43:46.874784,2.00537925,.0164929,55.4431,0.1572,287.5890,251.7101,0,U,28474,999,14080,0,-.95E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2024-01-20T14:19:40.610784,2.00565863,.0139025,55.6274,308.4236,282.6555,251.3149,0,U,28874,999,13421,0,-.84E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2024-01-20T13:29:37.358880,2.00563338,.010478,54.6815,186.1751,36.4001,12.7165,0,U,29486,999,12677,0,.79E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2024-01-19T22:11:46.093056,2.00557676,.0087013,55.1987,248.9040,80.3573,280.6937,0,U,29601,999,12577,0,.53E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2024-01-20T05:33:02.950560,2.00572108,.015228,53.5300,116.4238,73.5328,288.1337,0,U,32260,999,11918,0,-.5E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2024-01-20T07:24:52.269984,2.00565757,.0024165,55.7632,309.2766,148.9521,35.4236,0,U,32384,999,11788,0,-.85E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2024-01-20T03:33:47.673216,2.00562577,.018024,54.4514,184.9904,236.8245,121.4213,0,U,32711,999,11612,0,.82E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2024-01-20T06:08:44.709792,2.00549917,.0055412,55.5486,62.2115,69.8533,20.9474,0,U,35752,999,10573,0,-.67E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2024-01-20T05:05:19.468896,2.00569046,.0115508,54.5031,244.0171,60.7219,121.1036,0,U,36585,999,9996,0,.65E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2024-01-19T19:43:01.893216,2.00556123,.0148872,53.5147,179.5718,54.7158,306.6466,0,U,38833,999,8180,0,.76E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2024-01-20T04:27:51.854976,2.00563404,.0120742,55.2409,304.5811,42.2665,318.6777,0,U,39166,999,7825,0,-.78E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2024-01-20T04:32:07.463328,2.00559477,.0068464,53.5994,185.1339,215.7975,143.7285,0,U,39533,999,7205,0,.8E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2024-01-20T11:17:30.602112,2.00578744,.0032917,56.7102,5.6314,311.2068,48.5159,0,U,39741,999,7090,0,-.88E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2024-01-20T01:23:09.907584,2.00555731,.0026528,54.8671,123.5686,117.3761,242.8855,0,U,40105,999,6844,0,-.38E-6,0
GPS BIIF-8  (PRN 03),2014-068A,2024-01-20T10:09:03.973824,2.00549979,.0048386,56.2939,65.0502,60.3011,300.2388,0,U,40294,999,6756,0,-.65E-6,0
GPS BIIF-9  (PRN 26),2015-013A,2024-01-20T13:37:17.140800,2.00574723,.0086519,53.4013,240.5589,28.5069,332.0308,0,U,40534,999,6462,0,.71E-6,0
GPS BIIF-10 (PRN 08),2015-033A,2024-01-20T05:31:35.359968,2.00574706,.0091517,54.7267,303.1264,16.0510,344.2598,0,U,40730,999,6236,0,-.76E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2024-01-20T06:46:01.095168,2.00562260,.0094421,56.2761,64.9079,224.1003,135.1994,0,U,41019,999,6020,0,-.66E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2024-01-19T20:49:01.885152,2.00568998,.0076137,55.0671,124.3853,235.2928,123.9800,0,U,41328,999,5820,0,-.34E-6,0
GPS BIII-1  (PRN 04),2018-109A,2024-01-20T17:46:52.286880,2.00573029,.0028474,55.2411,126.8950,192.5135,332.7185,0,U,43873,999,3740,0,-.41E-6,0
GPS BIII-2  (PRN 18),2019-056A,2024-01-20T09:22:13.825920,2.00568758,.0038759,55.8382,5.9716,190.7191,338.3809,0,U,44506,999,3244,0,-.9E-6,0
GPS BIII-3  (PRN 23),2020-041A,2024-01-20T08:09:53.478720,2.00560304,.0040036,55.9982,63.2797,192.5122,241.2825,0,U,45854,999,2641,0,-.66E-6,0
GPS BIII-4  (PRN 14),2020-078A,2024-01-20T00:44:42.636192,2.00561877,.0039207,54.2436,246.4688,193.2694,354.0738,0,U,46826,999,2387,0,.58E-6,0
GPS BIII-5  (PRN 11),2021-054A,2024-01-20T00:35:46.246848,2.00566184,.0014276,55.3592,7.7067,225.5953,142.2680,0,U,48859,999,1912,0,-.88E-6,0
GPS BIII-6  (PRN 28),2023-009A,2024-01-20T11:23:08.721600,2.00574727,.0004898,55.0880,182.9965,101.8911,268.5335,0,U,55268,999,762,0,.76E-6,0
