OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SYNCOM 2 (A 26),1963-031A,2024-01-19T19:56:11.660928,1.00253643,.0008174,31.8341,312.7636,190.4726,345.5275,0,U,634,999,22153,0,-.62E-6,0
SYNCOM 3,1964-047A,2024-01-20T12:57:30.472128,1.00319081,.0002671,4.8059,72.8155,152.9251,272.3574,0,U,858,999,4465,0,.81E-6,0
INTELSAT 1-F1,1965-028A,2024-01-20T13:25:39.084960,1.00287419,.00048,5.0055,71.9889,124.5841,326.5895,0,U,1317,999,11836,0,.131E-5,0
ATS 1,1966-110A,2024-01-20T15:10:17.955264,1.00393338,.000504,2.7656,76.7441,163.9034,11.3410,0,U,2608,999,12597,0,-.167E-5,0
INTELSAT 2-F2,1967-001A,2024-01-20T15:09:35.234784,1.00258609,.0007705,0.9906,83.8178,183.7224,235.2629,0,U,2639,999,11044,0,-.148E-5,0
INTELSAT 2-F3,1967-026A,2024-01-20T02:39:49.725216,1.00173411,.0018992,1.9219,68.2201,209.6687,281.9661,0,U,2717,999,11508,0,.152E-5,0
INTELSAT 2-F4,1967-094A,2024-01-20T09:07:59.931264,1.00223855,.0011209,1.8297,81.5107,124.9854,5.4068,0,U,2969,999,10650,0,-.272E-5,0
ATS 3,1967-111A,2024-01-20T14:39:58.569120,1.00271798,.0017241,0.9094,87.0199,11.3358,135.9484,0,U,3029,999,20581,0,-.85E-6,0
LES-6,1968-081D,2024-01-20T14:02:36.551328,1.00349870,.0008789,1.5134,319.2850,8.8620,266.4593,0,U,3431,999,11197,0,-.155E-5,0
OPS 0757 (TACSAT),1969-013A,2024-01-20T17:19:50.070720,1.00441468,.0019997,0.6468,65.6442,174.9499,11.5175,0,U,3691,999,18864,0,.31E-6,0
SKYNET 1A,1969-101A,2024-01-20T14:41:39.806592,1.00268551,.0023067,1.8381,277.9686,307.6986,10.4842,0,U,4250,999,12570,0,-.89E-6,0
NATO 2A,1970-021A,2024-01-20T14:41:39.417792,1.00280631,.0001783,2.5922,285.1107,272.6771,38.5975,0,U,4353,999,11707,0,-.93E-6,0
INTELSAT 3-F7,1970-032A,2024-01-19T14:46:10.454592,1.00209935,.0003025,0.3036,159.9320,149.2071,50.8108,0,U,4376,999,3854,0,.121E-5,0
ATLAS AGENA D R/B,1970-046B,2024-01-20T10:47:01.367232,1.00449680,.0030477,0.5829,269.0430,108.1285,342.9066,0,U,4511,999,1672,0,-.161E-5,0
NATO 2B,1971-009A,2024-01-20T14:39:43.373952,1.00271641,.0003274,3.3914,272.4152,196.4795,125.7416,0,U,4902,999,10982,0,-.8E-6,0
OPS 9431 (DSCS 2-1),1971-095A,2024-01-20T14:46:51.900672,1.00263569,.0004197,3.8515,274.5122,331.7280,354.7898,0,U,5587,999,11320,0,-.108E-5,0
OPS 9432 (DSCS 2-2),1971-095B,2024-01-20T02:25:25.065120,1.00302259,.0003359,3.8177,275.2262,53.3454,177.2621,0,U,5588,999,3854,0,-.61E-6,0
INTELSAT 4-F4,1972-003A,2024-01-19T16:42:15.703776,0.99829304,.0002614,8.8071,302.3135,130.5393,51.3407,0,U,5775,999,12861,0,-.306E-5,0
OPS 1570 (DSP 3),1972-010A,2024-01-20T10:45:59.605920,0.99775777,.0009078,1.8943,274.0061,356.6743,307.9380,0,U,5851,999,1715,0,-.238E-5,0
INTELSAT 4-F5,1972-041A,2024-01-19T13:58:45.946272,1.00125666,.0003054,7.8877,295.8555,257.6251,102.4626,0,U,6052,999,3785,0,-.23E-5,0
OPS 6063,1973-013A,2024-01-20T11:25:28.018272,1.00275110,.0016941,2.6004,274.2000,248.6510,203.3917,0,U,6380,999,1761,0,-.85E-6,0
ANIK A2 (TELESAT 2),1973-023A,2024-01-19T19:56:56.772960,0.99789405,.0010336,8.9687,303.6185,53.4926,135.3475,0,U,6437,999,3837,0,.21E-6,0
OPS 6157 (DSP 4),1973-040A,2024-01-20T09:18:16.470432,0.99827942,.0007227,3.0271,266.2770,13.5368,330.8766,0,U,6691,999,1716,0,-.13E-5,0
WESTAR 1,1974-022A,2024-01-19T20:00:34.818048,0.99888625,.0004409,9.1066,305.4163,19.1478,181.7232,0,U,7250,999,11353,0,-.112E-5,0
MOLNIYA 1-S,1974-060A,2024-01-20T11:32:51.625248,1.00312509,.0009249,3.6322,273.4422,233.3586,247.4774,0,U,7392,999,12536,0,-.309E-5,0
WESTAR 2,1974-075A,2024-01-19T19:57:49.405248,0.99844182,.0003918,9.2280,306.8863,199.1933,349.4294,0,U,7466,999,12886,0,-.13E-6,0
INTELSAT 4-F8,1974-093A,2024-01-20T04:02:51.729792,0.99792540,.000369,9.8390,311.3395,174.7469,24.4990,0,U,7544,999,11643,0,-.244E-5,0
SKYNET 2B,1974-094A,2024-01-20T02:13:42.600288,1.00159063,.0002464,5.7860,289.4754,180.4986,136.1936,0,U,7547,999,11594,0,-.226E-5,0
SYMPHONIE 1,1974-101A,2024-01-20T13:35:40.878240,0.99953297,.0002174,6.8184,288.0301,350.9535,253.2315,0,U,7578,999,10841,0,.139E-5,0
ANIK A3 (TELESAT 3),1975-038A,2024-01-20T02:20:39.352416,1.00062462,.0000291,9.6008,309.7403,81.7126,96.5550,0,U,7790,999,12116,0,-.212E-5,0
SYMPHONIE 2,1975-077A,2024-01-20T02:21:24.465312,0.99981111,.0004883,6.2959,286.0172,16.3840,188.6562,0,U,8132,999,13366,0,-.2E-5,0
INTELSAT 4A-F1,1975-091A,2024-01-20T02:21:39.502368,0.99937547,.0005065,9.7426,311.0837,224.9350,315.7860,0,U,8330,999,11268,0,-.207E-5,0
COSMOS 775,1975-097A,2024-01-19T23:13:18.678720,1.00234677,.0011256,4.6337,277.3106,157.6532,72.1777,0,U,8357,999,12294,0,.162E-5,0
GOES 1 (SMS-C),1975-100A,2024-01-20T14:09:16.691328,1.00283900,.0003278,6.8402,288.3965,325.1057,310.1811,0,U,8366,999,17625,0,.65E-6,0
OPS 3165 (DSP 5),1975-118A,2024-01-20T15:13:04.766880,1.00454890,.0032926,4.5570,275.9010,357.8113,233.4599,0,U,8482,999,1762,0,-.66E-6,0
RADUGA 1,1975-123A,2024-01-20T08:00:49.872384,1.00251215,.0005737,5.0746,280.3543,242.6707,157.7628,0,U,8513,999,18600,0,-.132E-5,0
TITAN 3C TRANSTAGE R/B,1975-118C,2024-01-20T09:15:47.779488,1.00536157,.0013658,4.5338,276.0881,186.1871,174.0168,0,U,8516,999,1692,0,.15E-5,0
