OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 7 [-],1997-020B,2024-01-20T13:52:19.461792,14.35045998,.0002284,86.3946,32.0358,83.9577,276.1880,0,U,24793,999,39821,.22897E-3,.672E-5,0
IRIDIUM 5 [-],1997-020D,2024-01-20T08:20:01.722624,14.86005104,.0125975,86.3949,318.8433,169.2218,191.1755,0,U,24795,999,40895,.4474E-3,.4549E-4,0
IRIDIUM 4 [-],1997-020E,2024-01-20T12:58:21.651168,14.35956725,.0002378,86.3944,29.2706,89.7678,270.3791,0,U,24796,999,39876,.24978E-3,.744E-5,0
IRIDIUM 914 [-],1997-030A,2024-01-20T13:13:15.104064,14.39790170,.0004011,86.3915,39.3726,101.6377,258.5272,0,U,24836,999,39529,.24672E-3,.793E-5,0
IRIDIUM 16 [-],1997-030F,2024-01-20T14:05:20.592960,14.37676373,.0001516,86.4004,60.9620,27.5172,332.6106,0,U,24841,999,39318,.23564E-3,.727E-5,0
IRIDIUM 911 [-],1997-030G,2024-01-20T13:37:03.767808,14.46247224,.0014833,86.4430,60.2212,18.1115,342.0613,0,U,24842,999,40081,.25049E-3,.917E-5,0
IRIDIUM 17 [-],1997-034B,2024-01-20T14:26:17.690496,14.36773838,.0000774,86.3943,90.6138,137.0981,223.0277,0,U,24870,999,38981,.25312E-3,.766E-5,0
IRIDIUM 920 [-],1997-034C,2024-01-20T13:51:00.348768,14.40495058,.001078,86.3945,71.0368,346.4004,13.6903,0,U,24871,999,39261,.21786E-3,.713E-5,0
IRIDIUM 921 [-],1997-034E,2024-01-20T10:44:00.871584,15.30361624,.0008393,86.3859,1.1736,93.9266,266.2943,0,U,24873,999,45237,.83211E-3,.24523E-3,0
IRIDIUM 26 [-],1997-043A,2024-01-20T09:03:40.925664,14.36169727,.00022,86.3984,326.2118,81.5112,278.6334,0,U,24903,999,38297,.29233E-3,.871E-5,0
IRIDIUM 22 [-],1997-043E,2024-01-20T09:19:08.853024,14.35069135,.0002217,86.3988,329.3251,87.3250,272.8200,0,U,24907,999,38306,.2886E-3,.842E-5,0
DUMMY MASS 1 [-],1997-048A,2024-01-20T10:52:14.778048,14.86007935,.000776,86.3347,12.6842,148.9868,211.1816,0,U,24925,999,42881,.91959E-4,.832E-5,0
DUMMY MASS 2 [-],1997-048B,2024-01-20T11:10:16.676256,14.85768195,.0008084,86.3345,14.1947,160.2563,199.8975,0,U,24926,999,42860,.91528E-4,.823E-5,0
IRIDIUM 29 [-],1997-051A,2024-01-20T10:30:59.198688,14.35526651,.0002377,86.3972,359.2428,93.0407,267.1061,0,U,24944,999,37954,.27222E-3,.802E-5,0
IRIDIUM 33 [-],1997-051C,2024-01-20T11:13:39.444960,14.34232044,.0006596,86.3887,358.4949,328.7121,31.3681,0,U,24946,999,37909,.22124E-3,.64E-5,0
IRIDIUM 28 [-],1997-051E,2024-01-20T11:17:43.851552,14.36467051,.0002056,86.3979,357.0409,78.1682,281.9745,0,U,24948,999,38007,.29112E-3,.873E-5,0
IRIDIUM 36 [-],1997-056C,2024-01-20T13:34:27.452064,14.36590536,.0002072,86.3955,28.6502,92.5114,267.6320,0,U,24967,999,37845,.26065E-3,.785E-5,0
IRIDIUM 39 [-],1997-069D,2024-01-20T14:54:43.295616,14.47636400,.0017103,86.3888,71.1281,214.2281,145.7821,0,U,25042,999,37462,.2995E-3,.1125E-4,0
IRIDIUM 38 [-],1997-069E,2024-01-20T14:52:32.751264,14.37062178,.0002887,86.3943,89.1009,50.6876,309.4577,0,U,25043,999,37217,.25528E-3,.777E-5,0
IRIDIUM 42 [-],1997-077A,2024-01-20T13:36:15.319008,14.35357302,.0002122,86.3951,94.6692,74.8041,285.3390,0,U,25077,999,36749,.23991E-3,.707E-5,0
IRIDIUM 44 [-],1997-077B,2024-01-20T15:27:23.850720,14.39170517,.0000318,86.3929,77.9301,73.1080,287.0153,0,U,25078,999,36984,.24889E-3,.79E-5,0
IRIDIUM 45 [-],1997-082A,2024-01-20T19:14:27.659328,14.98288340,.0174906,86.3752,291.6688,57.9894,303.8197,0,U,25104,999,37485,.10307E-2,.16922E-3,0
IRIDIUM 24 [-],1997-082B,2024-01-20T20:17:39.115968,14.40945617,.0010859,86.3919,297.6942,343.5022,16.5822,0,U,25105,999,36951,.31622E-3,.1035E-4,0
IRIDIUM 51 [-],1998-018A,2024-01-20T07:39:27.618624,15.05604001,.0158683,86.3926,302.1464,10.9169,349.5441,0,U,25262,999,36897,.13141E-2,.25287E-3,0
IRIDIUM 57 [-],1998-019B,2024-01-20T11:54:11.303424,14.35052409,.0002189,86.3975,0.3791,87.0779,273.0668,0,U,25273,999,35109,.22251E-3,.653E-5,0
IRIDIUM 63 [-],1998-021B,2024-01-20T07:06:04.814784,14.35574864,.0002254,86.3992,297.3993,89.6712,270.4743,0,U,25286,999,35009,.25389E-3,.75E-5,0
IRIDIUM 69 [-],1998-026A,2024-01-20T19:10:46.377696,14.39761438,.0000417,86.4003,312.0145,344.3434,15.7752,0,U,25319,999,34940,.32686E-3,.1043E-4,0
IRIDIUM 71 [-],1998-026B,2024-01-20T08:18:00.826560,14.40085624,.0002664,86.3993,307.0042,33.9865,326.1504,0,U,25320,999,34961,.27455E-3,.885E-5,0
IRIDIUM 73 [-],1998-032C,2024-01-20T15:02:26.676096,14.50252869,.0001502,86.4403,264.5288,78.9124,281.2249,0,U,25344,999,35609,.23785E-3,.946E-5,0
IRIDIUM 82 [-],1998-051A,2024-01-20T10:20:44.792736,15.05448685,.0141724,86.3954,355.9757,46.1825,315.1025,0,U,25467,999,34607,.10457E-2,.18901E-3,0
IRIDIUM 2 [-],1998-066A,2024-01-20T13:28:30.947520,15.51509032,.0005844,85.5143,38.0969,135.1950,224.9781,0,U,25527,999,38466,.9346E-3,.55567E-3,0
