OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GALAXY 25 (G-25),1997-026A,2024-01-20T06:09:10.649664,0.99093102,.000649,5.1593,77.7280,272.0683,273.5805,0,U,24812,999,9751,0,.81E-6,0
INTELSAT 5 (IS-5),1997-046A,2024-01-20T12:29:35.644416,1.00272356,.0005435,8.4784,56.6980,208.0291,208.2012,0,U,24916,999,9681,0,-.67E-6,0
GALAXY 11 (G-11),1999-071A,2024-01-20T15:26:41.100000,1.00271598,.0000536,4.4975,81.1222,172.8428,263.4965,0,U,26038,999,8827,0,-.56E-6,0
INTELSAT 9 (IS-9),2000-043A,2024-01-20T13:16:07.346784,1.00270986,.000378,8.4638,56.8970,233.3256,338.2233,0,U,26451,999,3533,0,-.291E-5,0
INTELSAT 1R (IS-1R),2000-072A,2024-01-20T15:10:59.408256,1.00272581,.000216,5.8720,74.2852,233.5288,196.5555,0,U,26608,999,3251,0,-.141E-5,0
INTELSAT 10 (IS-10),2001-019A,2024-01-20T15:43:13.856736,1.00271428,.000445,6.9674,68.0988,221.4251,243.5921,0,U,26766,999,8312,0,.3E-6,0
INTELSAT 901 (IS-901),2001-024A,2024-01-20T10:55:53.588640,1.00270036,.0000873,0.0575,258.1231,38.7677,318.8918,0,U,26824,999,1417,0,-.198E-5,0
INTELSAT 902 (IS-902),2001-039A,2024-01-20T10:49:22.613952,1.00270404,.0002766,3.8804,82.4026,225.7517,283.4039,0,U,26900,999,8188,0,-.282E-5,0
INTELSAT 904 (IS-904),2002-007A,2024-01-20T10:55:15.995136,1.00272093,.0003145,4.7032,79.5578,221.4555,312.6093,0,U,27380,999,4295,0,-.215E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2024-01-20T17:24:28.265760,1.00272037,.0003476,2.6186,86.2879,217.7387,326.5430,0,U,27426,999,7949,0,-.55E-6,0
