OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
MOLNIYA 2-9 [?],1974-026A,2024-01-19T09:25:37.831872,2.45096418,.6396664,64.2807,148.8343,273.0816,20.7321,0,U,7276,999,26345,0,.15E-5,0
MOLNIYA 2-10 [?],1974-056A,2024-01-20T03:21:59.389344,2.01184773,.6838281,65.0217,32.9520,281.1321,14.3994,0,U,7376,999,36205,0,.582E-5,0
MOLNIYA 1-S [?],1974-060A,2024-01-20T11:32:51.625248,1.00312509,.0009249,3.6322,273.4422,233.3586,247.4774,0,U,7392,999,12536,0,-.309E-5,0
MOLNIYA 1-29 [?],1975-036A,2024-01-20T09:56:07.617984,2.00613700,.6706929,63.4410,154.4839,285.0678,14.1325,0,U,7780,999,35729,-.9558E-1,.99E-6,0
MOLNIYA 2-14 [?],1975-081A,2024-01-20T14:43:16.525344,2.02056280,.6691048,63.5078,127.7216,289.7246,12.9337,0,U,8195,999,35465,0,.27E-5,0
MOLNIYA 1-32 [?],1976-006A,2024-01-18T22:41:49.178112,2.00057926,.6922156,63.6348,224.7369,282.9954,13.3898,0,U,8601,999,6427,0,-.892E-5,0
MOLNIYA 1-36 [?],1977-021A,2024-01-20T02:36:48.813984,2.00823745,.6833577,63.6066,199.3612,288.1327,12.4870,0,U,9880,999,24112,0,.1115E-4,0
MOLNIYA 3-8 [?],1977-105A,2024-01-19T16:28:46.580736,2.00746821,.7155134,63.6744,274.4414,282.4707,12.1390,0,U,10455,999,33880,.81226E-2,-.986E-5,0
MOLNIYA 1-40 [?],1978-055A,2024-01-19T21:03:54.875808,2.00730559,.720751,63.9117,326.1179,280.0159,12.3789,0,U,10925,999,33434,0,-.444E-5,0
MOLNIYA 3-10 [?],1978-095A,2024-01-20T11:14:40.140096,4.09900866,.5698895,63.2726,188.4297,314.3501,11.1089,0,U,11057,999,40758,-.18446E-2,-.126E-5,0
MOLNIYA 3-13 [?],1980-063A,2024-01-20T03:12:55.001088,2.00669780,.7295243,63.1667,57.6919,277.8396,12.2473,0,U,11896,999,31876,0,-.349E-5,0
MOLNIYA 1-52 [?],1981-123A,2024-01-20T12:58:04.753056,2.00369157,.7144666,61.4448,197.3754,262.5359,18.5966,0,U,13012,999,30832,-.2904E-2,.56E-5,0
MOLNIYA 1-53 [?],1982-015A,2024-01-19T08:05:38.463072,2.00821052,.691861,62.6949,145.8451,283.2066,13.3153,0,U,13070,999,30691,-.33588E-2,-.748E-5,0
MOLNIYA 3-20 [?],1983-015A,2024-01-17T19:06:14.796576,2.00661853,.7255294,62.1112,262.8546,264.5872,16.8656,0,U,13875,999,23533,.1106E-1,.1587E-4,0
MOLNIYA 1-56 [?],1983-019A,2024-01-19T17:31:20.734176,1.99945064,.7338222,62.6030,285.4362,269.7534,14.4440,0,U,13890,999,29822,-.19055E-3,-.558E-5,0
MOLNIYA 1-63 [?],1984-124A,2024-01-20T11:25:32.284704,2.00701314,.6951438,63.6468,107.2974,256.5991,86.5017,0,U,15429,999,28643,0,.1216E-4,0
MOLNIYA 3-24 [?],1985-040A,2024-01-19T11:04:28.786656,2.55647923,.6919305,63.0802,329.1795,248.3901,28.6825,0,U,15738,999,31872,.16881E-4,-.1E-6,0
MOLNIYA 3-27 [?],1985-117A,2024-01-20T03:41:04.329312,2.12401023,.7158482,63.7542,0.0515,245.6393,27.6099,0,U,16393,999,28653,0,-.83E-6,0
MOLNIYA 1-69 [?],1986-089A,2024-01-20T14:42:17.246304,2.00618288,.6930293,63.9258,127.5926,253.4392,25.2852,0,U,17078,999,27253,0,-.383E-5,0
MOLNIYA 3-31 [?],1987-008A,2024-01-20T03:02:28.167360,2.00700861,.7333184,63.4393,51.5288,253.0459,21.0853,0,U,17328,999,26753,.13202E-2,-.177E-5,0
MOLNIYA 1-71 [?],1988-017A,2024-01-16T02:10:09.079968,2.00607741,.7422804,63.1476,40.5688,257.2546,18.2164,0,U,18946,999,26264,.9228E-3,-.276E-5,0
MOLNIYA 1-75 [?],1989-014A,2024-01-15T19:48:56.836512,2.00482012,.664449,63.8322,224.9566,263.1072,23.0782,0,U,19807,999,25557,0,.829E-5,0
MOLNIYA 1-80 [?],1991-012A,2024-01-19T21:38:47.812128,2.05236000,.65656,65.0706,272.7162,269.8465,20.7763,0,U,21118,999,24291,0,.817E-5,0
MOLNIYA 3-40 [?],1991-022A,2024-01-17T03:08:34.619136,2.03012179,.6594581,64.8960,266.9804,266.9903,21.7718,0,U,21196,999,24140,0,-.899E-5,0
MOLNIYA 1-81 [?],1991-043A,2024-01-18T17:49:51.975552,2.00621763,.6926731,63.6735,272.9006,264.0032,20.0701,0,U,21426,999,23880,0,.57E-6,0
MOLNIYA 3-41 [?],1991-065A,2024-01-20T05:44:04.490304,2.04363455,.7169185,63.9558,96.3276,251.6298,23.6437,0,U,21706,999,23875,0,-.1183E-4,0
MOLNIYA 3-42 [?],1992-067A,2024-01-20T08:52:48.557280,2.20433803,.6525431,64.6784,154.5581,257.4706,27.3293,0,U,22178,999,9288,0,.149E-5,0
MOLNIYA 1-86 [?],1993-035A,2024-01-20T17:27:55.232640,5.63136971,.4868051,63.0333,258.0850,16.0707,355.1700,0,U,22671,999,38502,.9741E-3,.839E-5,0
MOLNIYA 1-87 [?],1993-079A,2024-01-20T05:16:41.168352,2.02855240,.6976094,64.7552,23.8687,279.7371,13.8797,0,U,22949,999,8673,0,.1015E-4,0
MOLNIYA 1-88 [?],1994-081A,2024-01-20T06:21:49.252896,3.34497254,.5877173,64.3801,66.4135,272.4708,25.5078,0,U,23420,999,13316,0,-.64E-6,0
MOLNIYA 3-47 [?],1995-042A,2024-01-20T02:15:56.464128,2.01964587,.6973913,64.8625,5.4945,279.8358,13.8881,0,U,23642,999,20876,0,.788E-5,0
MOLNIYA 1-90 [?],1997-054A,2024-01-19T20:25:52.998240,3.18689207,.6105508,64.1369,31.7026,293.5233,15.2714,0,U,24960,999,22653,.23314E-2,-.71E-6,0
MOLNIYA 1-91 [?],1998-054A,2024-01-20T08:43:58.550304,2.36445088,.681715,63.7089,59.0780,291.2206,11.7758,0,U,25485,999,19279,0,-.55E-6,0
MOLNIYA 3-50 [?],1999-036A,2024-01-19T16:25:12.838368,2.00653226,.710509,63.4460,251.9483,282.7047,12.3612,0,U,25847,999,17977,-.34769E-2,.109E-5,0
