OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2024-01-20T13:49:54.791904,13.16593703,.0002594,87.9046,43.6656,108.1086,252.0327,0,U,44057,999,23595,-.25755E-4,.3E-7,0
ONEWEB-0010,2019-010B,2024-01-20T14:26:23.208864,13.16595169,.0002483,87.9041,43.6383,88.6091,271.5324,0,U,44058,999,23600,.19156E-3,.86E-6,0
ONEWEB-0008,2019-010C,2024-01-20T13:13:26.970240,13.16592741,.0001572,87.9048,43.6500,94.2333,265.8978,0,U,44059,999,23611,-.8461E-4,-.19E-6,0
ONEWEB-0007,2019-010D,2024-01-20T13:44:37.367808,13.15547921,.0002221,87.8977,74.0891,105.9314,254.2061,0,U,44060,999,23585,-.78013E-3,-.281E-5,0
ONEWEB-0006,2019-010E,2024-01-20T13:24:05.358240,13.15546335,.000219,87.8968,74.0807,97.6938,262.4441,0,U,44061,999,23590,-.38584E-3,-.132E-5,0
ONEWEB-0011,2019-010F,2024-01-20T14:56:30.435936,13.15549463,.0001968,87.8971,74.0735,90.5284,269.6072,0,U,44062,999,23590,-.23384E-3,-.75E-6,0
ONEWEB-0013,2020-008A,2024-01-20T15:29:28.445568,13.09362069,.0001595,87.8546,229.4176,125.2429,234.8848,0,U,45131,999,19185,.2245E-2,.785E-5,0
ONEWEB-0017,2020-008B,2024-01-20T15:50:14.528832,13.10375573,.0001541,87.8899,210.7755,85.2508,274.8796,0,U,45132,999,19366,.14419E-2,.516E-5,0
ONEWEB-0020,2020-008C,2024-01-20T13:15:46.895040,13.10371192,.0001532,87.8898,210.7826,84.6788,275.4514,0,U,45133,999,19327,-.16252E-2,-.555E-5,0
ONEWEB-0021,2020-008D,2024-01-20T13:36:51.679584,13.10376625,.0001524,87.8907,210.7883,91.3117,268.8185,0,U,45134,999,19358,-.88621E-3,-.297E-5,0
ONEWEB-0022,2020-008E,2024-01-20T14:10:58.766016,13.10393485,.0001665,87.8901,210.8015,77.4916,282.6397,0,U,45135,999,19328,.20879E-2,.742E-5,0
ONEWEB-0023,2020-008F,2024-01-20T13:55:35.935392,13.10375510,.0001011,87.8902,210.7775,91.2562,268.8681,0,U,45136,999,19301,.18836E-2,.67E-5,0
ONEWEB-0024,2020-008G,2024-01-20T13:13:27.687360,13.10372983,.0001618,87.8890,210.7861,94.3985,265.7328,0,U,45137,999,19317,-.15869E-2,-.541E-5,0
ONEWEB-0025,2020-008H,2024-01-20T13:39:12.487392,13.10377340,.0001446,87.8893,210.7822,99.2921,260.8369,0,U,45138,999,19350,-.2322E-3,-.68E-6,0
ONEWEB-0026,2020-008J,2024-01-20T12:34:28.915392,13.11164866,.0002008,87.8957,195.6883,100.5848,259.5506,0,U,45139,999,19682,-.324E+0,-.113011E-2,0
ONEWEB-0028,2020-008K,2024-01-20T11:30:21.832704,13.11415792,.000148,87.8964,195.7462,120.6653,239.4621,0,U,45140,999,19345,.14127E-2,.513E-5,0
ONEWEB-0032,2020-008L,2024-01-20T14:02:36.413952,13.10373705,.0001611,87.8893,210.8237,93.0108,267.1203,0,U,45141,999,19323,.15999E-2,.571E-5,0
ONEWEB-0033,2020-008M,2024-01-20T13:25:08.583168,13.10374437,.0001718,87.8894,210.8364,85.0072,275.1252,0,U,45142,999,19314,-.17969E-2,-.615E-5,0
ONEWEB-0035,2020-008N,2024-01-20T14:11:59.097408,13.10372348,.0001648,87.8897,210.8041,88.7317,271.3999,0,U,45143,999,19287,.22687E-2,.805E-5,0
