OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM-X [-],1991-050C,2024-01-20T18:29:21.752160,14.42334663,.0002699,98.4100,90.2832,307.4970,52.5974,0,U,21576,999,70830,.2085E-3,.645E-5,0
ORBCOMM FM01 [-],1995-017A,2024-01-20T02:35:58.410816,14.78083453,.0004705,69.9675,263.3476,341.2713,18.8261,0,U,23545,999,53625,.87912E-3,.6295E-4,0
ORBCOMM FM02 [-],1995-017B,2024-01-20T02:33:47.615040,14.77732985,.0007099,69.9700,282.5769,344.4020,15.6908,0,U,23546,999,53590,.10184E-2,.7246E-4,0
ORBCOMM FM08 [-],1997-084A,2024-01-20T18:27:00.637632,14.41875929,.0006174,45.0153,304.5911,181.0373,179.0465,0,U,25112,999,36734,.94133E-3,.2968E-4,0
ORBCOMM FM10 [-],1997-084B,2024-01-20T18:28:21.673056,14.41805175,.0003748,45.0167,306.3641,143.2671,216.8436,0,U,25113,999,36733,.87343E-3,.2738E-4,0
ORBCOMM FM11 [+],1997-084C,2024-01-19T21:05:12.409440,14.41681650,.0004462,45.0152,310.5959,140.3459,219.7718,0,U,25114,999,36716,.78734E-3,.2448E-4,0
ORBCOMM FM12 [-],1997-084D,2024-01-20T19:21:00.738720,14.41668407,.0003515,45.0161,305.8357,145.9168,214.1908,0,U,25115,999,36733,.82801E-3,.2581E-4,0
ORBCOMM FM09 [-],1997-084E,2024-01-20T17:53:49.727616,14.41638087,.0004775,45.0162,306.7800,127.3603,232.7682,0,U,25116,999,36732,.85792E-3,.2678E-4,0
ORBCOMM FM05 [-],1997-084F,2024-01-20T03:51:55.024128,14.42039759,.0001194,45.0164,308.1877,171.2268,188.8603,0,U,25117,999,36631,.84931E-3,.2672E-4,0
ORBCOMM FM06 [+],1997-084G,2024-01-20T19:39:13.047264,14.42027474,.0000688,45.0152,305.2297,215.9106,173.2598,0,U,25118,999,36734,.98421E-3,.3119E-4,0
ORBCOMM FM07 [-],1997-084H,2024-01-18T22:16:47.496864,14.41949812,.0001668,45.0150,314.7276,135.3143,224.7842,0,U,25119,999,36704,.98248E-3,.3108E-4,0
ORBCOMM FM03 [-],1998-007B,2024-01-20T07:17:55.047840,14.31732605,.0045086,107.9726,162.1166,65.2640,295.3182,0,U,25158,999,35042,.78609E-3,.1995E-4,0
ORBCOMM FM04 [+],1998-007C,2024-01-20T07:30:10.848384,14.31988511,.0040616,107.9712,164.9968,62.9530,297.5745,0,U,25159,999,35059,.78471E-3,.1997E-4,0
ORBCOMM FM17 [-],1998-046A,2024-01-20T18:37:33.475296,14.32722316,.0003113,44.9930,155.9564,177.3378,182.7485,0,U,25413,999,32965,.8218E-3,.2117E-4,0
ORBCOMM FM18 [-],1998-046B,2024-01-20T13:27:08.051040,14.35350424,.0006051,44.9940,86.3582,227.2534,132.7804,0,U,25414,999,33037,.9117E-3,.2499E-4,0
ORBCOMM FM19 [+],1998-046C,2024-01-20T14:43:27.950880,14.35195615,.0004695,44.9949,87.3726,224.2781,290.3740,0,U,25415,999,33034,.82145E-3,.223E-4,0
ORBCOMM FM20 [+],1998-046D,2024-01-20T13:07:45.408576,14.34799311,.0002113,44.9946,88.9238,235.3157,124.7490,0,U,25416,999,33043,.6226E-3,.1641E-4,0
ORBCOMM FM16 [-],1998-046E,2024-01-20T13:48:14.020128,14.35625001,.0005889,44.9947,85.3261,239.9502,120.0761,0,U,25417,999,33036,.93616E-3,.2584E-4,0
ORBCOMM FM15 [-],1998-046F,2024-01-20T07:15:44.879328,14.35370468,.0005359,44.9977,90.4202,239.6921,120.3397,0,U,25418,999,33033,.85532E-3,.2336E-4,0
ORBCOMM FM14 [-],1998-046G,2024-01-20T13:47:28.017312,14.35502036,.0004179,44.9963,88.3840,233.6362,266.6051,0,U,25419,999,33032,.9255E-3,.2546E-4,0
ORBCOMM FM13 [+],1998-046H,2024-01-20T07:59:01.152672,14.34879837,.0006325,44.9976,93.8177,224.6263,135.4076,0,U,25420,999,32936,.73741E-3,.1974E-4,0
ORBCOMM FM21 [-],1998-053A,2024-01-20T13:24:48.737088,14.34865590,.000152,45.0075,176.9382,180.4321,179.6524,0,U,25475,999,32374,.69908E-3,.1863E-4,0
ORBCOMM FM22 [-],1998-053B,2024-01-20T18:46:37.690752,14.35298101,.0003296,45.0061,173.5816,174.0759,186.0128,0,U,25476,999,32379,.78553E-3,.213E-4,0
ORBCOMM FM23 [-],1998-053C,2024-01-20T19:09:22.747680,14.34874588,.0002573,45.0064,178.2600,172.9101,187.1783,0,U,25477,999,32390,.80448E-3,.2166E-4,0
ORBCOMM FM24 [-],1998-053D,2024-01-20T12:57:02.392992,14.35138029,.0002186,45.0063,178.6362,177.9622,182.1234,0,U,25478,999,32386,.82514E-3,.2237E-4,0
ORBCOMM FM25 [-],1998-053E,2024-01-20T12:06:34.314048,14.35122008,.0004628,45.0056,177.0400,192.5222,167.5511,0,U,25479,999,32387,.80534E-3,.218E-4,0
ORBCOMM FM26 [-],1998-053F,2024-01-20T12:58:31.740960,14.34643559,.0006657,45.0050,170.5517,212.7479,147.2956,0,U,25480,999,32382,.79311E-3,.2123E-4,0
ORBCOMM FM27 [+],1998-053G,2024-01-20T18:28:01.224768,14.35100070,.0000692,45.0040,176.0509,198.2012,161.8811,0,U,25481,999,32388,.81831E-3,.2216E-4,0
ORBCOMM FM28 [-],1998-053H,2024-01-20T08:57:52.516800,14.35571208,.0005632,45.0055,116.7718,238.3892,121.6406,0,U,25482,999,32445,.82444E-3,.2256E-4,0
ORBCOMM FM30 [-],1999-065A,2024-01-19T22:57:09.391680,14.34785332,.0007986,45.0334,358.7296,310.6994,49.3159,0,U,25980,999,26053,.76578E-3,.2051E-4,0
ORBCOMM FM31 [-],1999-065B,2024-01-20T06:29:51.281952,14.34799720,.0004839,45.0245,351.0265,326.9998,33.0547,0,U,25981,999,26013,.70126E-3,.1866E-4,0
ORBCOMM FM32 [+],1999-065C,2024-01-20T07:28:51.008736,14.33775583,.0007077,45.0176,3.8292,330.9514,29.0939,0,U,25982,999,26078,.71907E-3,.1877E-4,0
