OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SKYSAT-A,2013-066C,2024-01-20T03:50:39.320448,15.03677684,.0028093,97.5108,84.9055,92.0107,268.4336,0,U,39418,999,55594,.30806E-3,.4196E-4,0
SKYSAT-B,2014-037D,2024-01-20T14:38:40.159392,14.83382783,.0004933,98.3422,285.8622,237.2666,122.8071,0,U,40072,999,51549,.29967E-3,.24E-4,0
SKYSAT-C1,2016-040C,2024-01-20T04:24:20.286432,15.30638614,.0006342,97.0862,87.7201,88.5663,271.6305,0,U,41601,999,42336,.47854E-3,.1412E-3,0
SKYSAT-C4,2016-058B,2024-01-20T14:18:44.410176,15.33689889,.0002969,97.0361,75.3404,121.6872,238.4662,0,U,41771,999,41043,.41355E-3,.13408E-3,0
SKYSAT-C5,2016-058C,2024-01-20T03:19:22.584576,15.37730744,.0003401,97.1843,78.8276,49.6252,310.5290,0,U,41772,999,40878,.49336E-3,.18227E-3,0
SKYSAT-C2,2016-058D,2024-01-20T14:29:57.260544,15.30323145,.0003963,97.0381,74.9198,135.7534,224.4025,0,U,41773,999,41039,.44132E-3,.12884E-3,0
SKYSAT-C3,2016-058E,2024-01-20T11:05:18.148704,15.40462699,.000395,97.0375,80.1155,239.1896,120.8963,0,U,41774,999,41073,.50209E-3,.20292E-3,0
SKYSAT-C11,2017-068A,2024-01-20T07:05:19.262112,15.33767632,.0005215,97.3402,146.7967,105.2234,254.9585,0,U,42987,999,34778,.54892E-3,.17875E-3,0
SKYSAT-C10,2017-068B,2024-01-20T07:18:23.651424,15.31159625,.0004636,97.3471,147.5532,220.3095,139.7803,0,U,42988,999,34781,.55135E-3,.16541E-3,0
SKYSAT-C9,2017-068C,2024-01-20T07:39:42.837120,15.32171623,.0022703,97.3407,145.8324,125.5996,234.7365,0,U,42989,999,34798,.54717E-3,.17073E-3,0
SKYSAT-C8,2017-068D,2024-01-20T08:34:20.669952,15.30454761,.0004267,97.3498,147.3876,68.8647,291.3050,0,U,42990,999,34779,.54358E-3,.15953E-3,0
SKYSAT-C7,2017-068E,2024-01-20T07:09:14.721984,15.30801335,.0003709,97.3498,147.6433,135.7119,224.4419,0,U,42991,999,34780,.55655E-3,.16512E-3,0
