OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OPS 6582 (TRANSIT 5B-5),1964-083D,2024-01-20T13:37:17.601312,13.56858550,.0040236,90.0383,197.5828,329.5262,99.1395,0,U,965,999,92445,.15515E-3,.12E-5,0
LES-1,1965-008C,2024-01-20T06:47:25.223712,9.88353855,.0014042,32.1482,326.7973,335.5393,24.4438,0,U,1002,999,12923,.10043E-2,.16E-6,0
SOLRAD 7B,1965-016D,2024-01-20T05:44:57.481152,13.94749991,.0022156,70.0801,304.6410,202.2233,157.7915,0,U,1291,999,99417,.87354E-4,.65E-6,0
SECOR 4 (EGRS 4),1965-027B,2024-01-20T08:38:22.828416,12.92635460,.0030469,90.2423,356.0158,338.1940,192.6641,0,U,1315,999,77338,.63245E-4,.24E-6,0
TIROS 10,1965-051A,2024-01-20T06:49:59.237760,14.40779368,.0055681,98.4221,137.2201,198.0753,161.8457,0,U,1430,999,6931,.17845E-3,.537E-5,0
ALOUETTE 2,1965-098A,2024-01-20T06:16:18.613056,12.26805424,.1336149,79.8036,303.4848,212.6144,138.5146,0,U,1804,999,57142,.23382E-3,.705E-5,0
OV3-3,1966-070A,2024-01-20T17:44:32.534880,13.15277745,.1140115,81.3369,8.7372,227.9748,121.8736,0,U,2389,999,48209,.59827E-3,.11596E-3,0
SECOR 7 (EGRS 7),1966-077B,2024-01-20T15:07:49.443168,8.59615814,.0015019,90.3247,267.2338,224.0404,135.9252,0,U,2411,999,80228,-.11543E-1,-.22E-6,0
ERS 15,1966-077C,2024-01-20T01:56:03.054624,8.59076776,.0008746,90.3244,267.0282,229.5766,130.4323,0,U,2412,999,31496,0,.2E-7,0
ISIS 1,1969-009A,2024-01-20T03:07:41.367360,11.29828760,.1708974,88.4244,240.6729,222.3514,123.2474,0,U,3669,999,26047,.25208E-3,.351E-5,0
SECOR 13 (EGRS 13),1969-037B,2024-01-20T14:01:46.718400,13.42917007,.0038842,99.7736,273.6819,243.8933,188.8738,0,U,3891,999,68382,.38246E-4,-.22E-6,0
ATS 5,1969-069A,2024-01-20T13:00:32.582592,0.99487290,.0003839,2.2184,271.3688,353.2392,137.2968,0,U,4068,999,3758,0,-.36E-6,0
OPS 7613 (P/L 4),1969-082E,2024-01-20T15:24:27.345024,13.95717444,.002156,70.0143,180.3021,203.0750,234.8434,0,U,4237,999,76370,.14675E-3,.148E-5,0
OPS 7613 (P/L 1),1969-082B,2024-01-20T12:18:37.418976,13.98698390,.0017306,70.0097,51.9481,143.5302,216.6988,0,U,4256,999,76757,.21702E-3,.259E-5,0
SHINSEI (MS-F2),1971-080A,2024-01-20T20:10:10.170336,12.74178767,.0639691,32.0564,303.5735,351.6592,7.3785,0,U,5485,999,43732,.1876E-3,.11E-5,0
PROSPERO (BLACK ARROW),1971-093A,2024-01-20T08:34:40.530720,13.97234109,.0517366,82.0425,339.8149,219.7358,136.4831,0,U,5580,999,62558,.37268E-3,.1679E-4,0
OPS 7898 (P/L 2),1971-110C,2024-01-20T10:14:53.473056,13.74617059,.0009022,69.9904,16.2308,210.7005,149.3562,0,U,5680,999,22744,.9688E-4,.42E-6,0
NOAA 2 (ITOS-D),1972-082A,2024-01-20T14:37:17.174784,12.53173528,.0004134,102.0095,17.9058,45.9873,68.1735,0,U,6235,999,34489,.21219E-3,-.13E-6,0
EXPLORER 50 (IMP-8),1973-078A,2024-01-12T14:15:28.639008,0.08256289,.2257838,14.7147,263.3496,230.7684,359.6974,0,U,6893,999,1116,0,-.972E-5,0
OSCAR 7 (AO-7),1974-089B,2024-01-20T13:46:35.810976,12.53671364,.0012278,101.9692,13.8831,9.1688,109.7949,0,U,7530,999,25041,.21289E-3,-.12E-6,0
TIROS N,1978-096A,2024-01-20T18:08:56.290848,14.18714552,.0009498,98.5550,66.5475,264.1245,95.8849,0,U,11060,999,55440,.16933E-3,.309E-5,0
PHASE 3B (AO-10),1983-058B,2024-01-15T22:11:16.863936,2.05871616,.6032805,27.4733,3.2838,236.9641,50.7403,0,U,14129,999,27730,0,-.488E-5,0
HILAT,1983-063A,2024-01-20T15:03:39.189024,14.37276601,.0041318,82.0233,257.0759,71.2412,349.5291,0,U,14154,999,12131,.22283E-3,.686E-5,0
UOSAT 2 (UO-11),1984-021B,2024-01-20T20:19:20.172000,14.85918690,.0007521,97.6859,354.8334,194.8364,165.2632,0,U,14781,999,14745,.29064E-3,.2484E-4,0
NOAA 9,1984-123A,2024-01-20T15:24:10.245600,14.16494817,.0014222,99.1100,14.5037,319.8560,156.7190,0,U,15427,999,1901,.18933E-3,.33E-5,0
GEOSAT,1985-021A,2024-01-20T15:01:03.840096,14.38828206,.0001923,108.0616,53.5801,253.3692,106.7238,0,U,15595,999,3634,.17546E-3,.405E-5,0
EUTELSAT 1-F4 (ECS 4),1987-078B,2024-01-20T07:41:18.844800,0.98687631,.000957,14.4569,348.3803,21.0091,147.1791,0,U,18351,999,11808,0,-.82E-6,0
AKEBONO (EXOS-D),1989-016A,2024-01-20T14:22:44.152896,13.88788408,.0948659,74.9442,103.3436,194.0044,163.3030,0,U,19822,999,20535,.1933E-2,.230602E-2,.71403E-5
PACSAT (AO-16),1990-005D,2024-01-20T14:01:35.807808,14.33260228,.0009747,98.8974,21.5744,289.0137,186.9231,0,U,20439,999,77604,.16557E-3,.409E-5,0
LUSAT (LO-19),1990-005G,2024-01-20T13:12:00.172800,14.33417230,.0010655,98.8698,7.0195,260.9972,99.0006,0,U,20442,999,77648,.17271E-3,.43E-5,0
IRS-1B,1991-061A,2024-01-20T14:24:06.907680,13.97569859,.0023508,99.3474,357.9673,230.9299,247.0696,0,U,21688,999,54575,.36336E-3,.467E-5,0
COSMOS 2197,1992-042A,2024-01-20T15:23:15.594144,12.64207842,.0013668,82.5920,70.3231,112.0366,10.2132,0,U,22034,999,45427,.57359E-4,.21E-6,0
PEGASUS R/B,1993-009C,2024-01-20T14:00:53.904672,14.54954329,.0046471,24.9763,207.8528,9.8936,350.2482,0,U,22491,999,64138,.37389E-3,.1861E-4,0
EYESAT A (AO-27),1993-061C,2024-01-20T14:52:08.678496,14.30413634,.0009015,98.8126,71.6903,147.7642,212.4092,0,U,22825,999,58137,.1094E-3,.239E-5,0
ITAMSAT (IO-26),1993-061D,2024-01-20T01:52:00.001056,14.30785919,.0009678,98.8072,71.0028,135.7228,224.4730,0,U,22826,999,58157,.11564E-3,.257E-5,0
RADIO ROSTO (RS-15),1994-085A,2024-01-20T13:23:59.269632,11.27575426,.0154934,64.8176,284.1343,171.3847,188.9790,0,U,23439,999,19683,-.89879E-4,-.46E-6,0
JAS-2 (FO-29),1996-046B,2024-01-20T10:14:53.434176,13.53170213,.0349555,98.5631,334.7048,213.4948,144.3644,0,U,24278,999,35431,.40088E-4,.3E-7,0
FORTE,1997-047A,2024-01-20T13:45:12.280320,14.26980225,.0020731,69.9526,197.2511,28.5973,331.6281,0,U,24920,999,37329,.21539E-3,.468E-5,0
NOAA 15,1998-030A,2024-01-20T19:41:43.342656,14.26476387,.0010998,98.5857,50.9342,43.0017,317.2021,0,U,25338,999,33628,.15264E-3,.325E-5,0
TECHSAT 1B (GO-32),1998-043D,2024-01-20T11:44:41.515296,14.23972999,.0000804,98.9012,345.1678,175.7516,184.3669,0,U,25397,999,32625,.12217E-3,.235E-5,0
ISS (ZARYA),1998-067A,2024-01-20T21:04:49.973952,15.49659864,.0004951,51.6420,330.2296,110.9950,344.4936,0,U,25544,999,43555,.3855E-3,.21348E-3,0
ORSTED,1999-008B,2024-01-20T05:49:30.262368,14.49571550,.0137288,96.4826,119.4202,122.4945,238.9610,0,U,25635,999,31452,.34395E-3,.1458E-4,0
LANDSAT 7,1999-020A,2024-01-20T20:12:15.081408,14.60425550,.0001677,97.9057,54.5263,90.4405,23.5255,0,U,25682,999,31754,.17871E-3,.822E-5,0
ORBCOMM FM36,1999-065E,2024-01-20T01:36:57.834720,14.35081543,.0004725,45.0414,1.1847,259.2572,100.7744,0,U,25984,999,26049,.74442E-3,.2002E-4,0
DMSP 5D-3 F15 (USA 147),1999-067A,2024-01-20T14:00:30.528288,14.16892235,.000968,99.0714,33.1144,343.2821,125.8928,0,U,25991,999,24619,.22284E-3,.401E-5,0
OPAL (OO-38),2000-004C,2024-01-20T07:46:46.407072,14.37199551,.0036177,100.1919,142.9555,358.0408,2.0626,0,U,26063,999,25700,.14623E-3,.379E-5,0
IMAGE,2000-017A,2024-01-18T18:33:38.913120,1.68650415,.740406,94.5352,301.0414,32.8637,356.4910,0,U,26113,999,14665,-.15331E-1,.19E-6,0
