OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SARSAT 7 (NOAA 15),1998-030A,2024-01-20T19:41:43.342656,14.26476387,.0010998,98.5857,50.9342,43.0017,317.2021,0,U,25338,999,33628,.15264E-3,.325E-5,0
GPS BIIR-08,2003-005A,2024-01-20T14:56:37.550976,2.00558091,.0137706,55.1731,249.9079,46.2444,324.4860,0,U,27663,999,15369,0,.56E-6,0
GPS BIIR-11,2004-009A,2024-01-20T15:12:09.464832,2.00562971,.0092695,55.5787,310.9660,142.6997,33.2700,0,U,28190,999,14535,0,-.87E-6,0
GPS BIIR-13,2004-045A,2024-01-20T13:43:46.874784,2.00537925,.0164929,55.4431,0.1572,287.5890,251.7101,0,U,28474,999,14080,0,-.95E-6,0
SARSAT 10 (NOAA 18),2005-018A,2024-01-20T19:20:22.003872,14.13105005,.0015137,98.8897,98.9411,122.6204,237.6431,0,U,28654,999,96230,.21469E-3,.357E-5,0
GPS BIIR-14M,2005-038A,2024-01-20T14:19:40.610784,2.00565863,.0139025,55.6274,308.4236,282.6555,251.3149,0,U,28874,999,13421,0,-.84E-6,0
METEOSAT-9 (MSG-2),2005-049B,2024-01-20T18:09:19.982592,1.00274252,.0000699,7.3457,62.0980,218.9834,156.5504,0,U,28912,999,6627,0,.124E-5,0
GOES 13,2006-018A,2024-01-20T13:09:42.661152,0.99155517,.0088033,2.2378,87.0713,248.5079,100.8639,0,U,29155,999,3455,0,-.224E-5,0
GPS BIIR-16M,2006-052A,2024-01-19T22:11:46.093056,2.00557676,.0087013,55.1987,248.9040,80.3573,280.6937,0,U,29601,999,12577,0,.53E-6,0
GPS BIIR-17M,2007-047A,2024-01-20T05:33:02.950560,2.00572108,.015228,53.5300,116.4238,73.5328,288.1337,0,U,32260,999,11918,0,-.5E-6,0
GPS BIIR-18M,2007-062A,2024-01-20T07:24:52.269984,2.00565757,.0024165,55.7632,309.2766,148.9521,35.4236,0,U,32384,999,11788,0,-.85E-6,0
