OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-01-20T12:10:45.787296,14.32818276,.0024396,74.0397,140.3152,30.8411,329.4167,0,U,22675,999,59857,.97494E-4,.241E-5,0
COSMOS 2251 DEB,1993-036E,2024-01-20T12:09:43.765056,14.32262728,.0015526,74.0369,147.0120,328.6568,105.3528,0,U,33757,999,78084,.8761E-4,.211E-5,0
COSMOS 2251 DEB,1993-036F,2024-01-20T12:02:07.102176,14.43323611,.0022991,74.0325,70.6547,305.0961,174.8030,0,U,33758,999,78287,.12873E-2,.4329E-4,0
COSMOS 2251 DEB,1993-036G,2024-01-20T04:35:51.698112,14.66822399,.0020254,74.0169,284.1935,207.3457,274.5939,0,U,33759,999,78790,.18149E-2,.10145E-3,0
COSMOS 2251 DEB,1993-036H,2024-01-20T14:09:52.020288,14.34836755,.0020446,74.0322,110.9667,16.5564,99.1511,0,U,33760,999,78194,.18547E-3,.502E-5,0
COSMOS 2251 DEB,1993-036J,2024-01-20T06:28:42.193056,14.38827057,.0025527,74.0381,93.3620,341.9746,81.4976,0,U,33761,999,78261,.68392E-3,.2086E-4,0
COSMOS 2251 DEB,1993-036K,2024-01-20T11:43:58.285920,14.33260494,.0015331,74.0421,135.2408,5.5093,76.4094,0,U,33762,999,78128,.93257E-4,.231E-5,0
COSMOS 2251 DEB,1993-036M,2024-01-20T14:58:38.262144,14.36858065,.0025299,74.0353,108.1455,243.7076,226.6633,0,U,33764,999,78206,.63653E-3,.1862E-4,0
COSMOS 2251 DEB,1993-036N,2024-01-20T15:03:30.926592,14.72266281,.0134272,74.0178,118.3432,26.7673,80.6846,0,U,33765,999,79324,.93009E-3,.6745E-4,0
COSMOS 2251 DEB,1993-036P,2024-01-20T13:51:07.375680,14.31174408,.0066453,74.1902,308.2748,345.7257,14.2013,0,U,33766,999,77829,.11279E-2,.3027E-4,0
COSMOS 2251 DEB,1993-036R,2024-01-20T15:15:11.259072,13.57148970,.0371792,74.0683,255.8667,207.3700,185.6053,0,U,33768,999,73901,.50088E-3,.537E-5,0
COSMOS 2251 DEB,1993-036T,2024-01-20T14:10:11.951904,14.83186006,.0025277,74.0170,196.0536,79.0245,347.9952,0,U,33770,999,79031,.552E-2,.4559E-3,0
COSMOS 2251 DEB,1993-036U,2024-01-20T12:50:53.892672,14.50576430,.0031456,74.0492,51.5696,268.1536,248.8734,0,U,33779,999,78423,.10864E-2,.426E-4,0
COSMOS 2251 DEB,1993-036X,2024-01-20T06:23:49.667712,14.37122799,.0022733,74.0352,115.0147,349.1711,81.3245,0,U,33782,999,78166,.7247E-3,.2134E-4,0
COSMOS 2251 DEB,1993-036Z,2024-01-20T10:42:38.673216,14.80540980,.0040448,74.1904,130.4624,177.4750,256.5609,0,U,33784,999,79668,.32244E-2,.25117E-3,0
COSMOS 2251 DEB,1993-036AA,2024-01-20T12:35:33.156384,14.50428770,.0024028,73.8791,315.4265,43.8598,71.8902,0,U,33785,999,78400,.29486E-2,.11557E-3,0
COSMOS 2251 DEB,1993-036AE,2024-01-20T13:26:47.637312,13.86869080,.0244394,74.0631,180.4422,96.1604,332.5307,0,U,33789,999,75492,.11667E-2,.1703E-4,0
COSMOS 2251 DEB,1993-036AG,2024-01-20T14:58:11.167104,14.37203909,.0032621,74.1751,226.3335,254.3023,161.8992,0,U,33791,999,78087,.12895E-2,.3838E-4,0
COSMOS 2251 DEB,1993-036AH,2024-01-20T09:45:58.917888,13.43855172,.0437194,73.9009,9.3533,198.1466,278.6443,0,U,33792,999,73134,.72172E-3,.718E-5,0
COSMOS 2251 DEB,1993-036AJ,2024-01-20T07:18:45.785376,14.23379339,.008543,73.9864,324.1863,269.3790,245.0059,0,U,33793,999,77338,.12974E-2,.3031E-4,0
COSMOS 2251 DEB,1993-036AL,2024-01-20T11:07:35.664672,14.75473209,.0067922,74.0433,20.2803,287.9306,196.6696,0,U,33795,999,79716,.14813E-2,.10442E-3,0
COSMOS 2251 DEB,1993-036AN,2024-01-20T02:59:05.180064,14.52120733,.0069779,74.0488,265.6173,170.2786,305.7114,0,U,33797,999,78910,.64681E-3,.2676E-4,0
COSMOS 2251 DEB,1993-036AP,2024-01-20T08:37:50.057760,14.43102873,.0095202,74.0315,344.0778,274.8653,206.0324,0,U,33798,999,78600,.36433E-3,.1262E-4,0
COSMOS 2251 DEB,1993-036AQ,2024-01-20T08:03:44.345952,14.55457423,.0046409,74.0416,337.5378,228.3272,256.0865,0,U,33799,999,78659,.23996E-2,.10575E-3,0
COSMOS 2251 DEB,1993-036AW,2024-01-20T12:38:15.797472,14.54525752,.0064636,74.0313,184.9223,187.0467,172.9795,0,U,33805,999,79150,.66686E-3,.2894E-4,0
COSMOS 2251 DEB,1993-036AX,2024-01-20T13:01:56.979840,15.04982806,.0030528,74.0702,48.1210,246.0213,235.1837,0,U,33806,999,79715,.49473E-2,.71584E-3,0
COSMOS 2251 DEB,1993-036BC,2024-01-20T02:42:11.572416,14.75439668,.0056503,73.8505,263.3771,135.4918,16.1645,0,U,33811,999,79707,.1558E-2,.1085E-3,0
COSMOS 2251 DEB,1993-036BE,2024-01-20T02:41:18.940128,14.87704397,.0072823,74.0433,264.8020,150.9591,359.1492,0,U,33813,999,80090,.16682E-2,.15964E-3,0
COSMOS 2251 DEB,1993-036BG,2024-01-20T14:05:52.003680,14.51879003,.0049977,73.9813,96.5145,337.5472,140.5280,0,U,33815,999,78160,.33772E-2,.13831E-3,0
COSMOS 2251 DEB,1993-036BH,2024-01-20T14:16:42.513600,13.79824527,.0271677,73.8948,196.8447,340.1267,18.9426,0,U,33816,999,75119,.65906E-3,.876E-5,0
COSMOS 2251 DEB,1993-036BJ,2024-01-20T08:14:32.584416,14.86968401,.0045198,74.0594,359.6898,256.7409,102.8728,0,U,33817,999,79844,.29853E-2,.27292E-3,0
COSMOS 2251 DEB,1993-036BK,2024-01-20T14:50:01.375872,14.73435356,.0064521,74.0945,107.6254,295.1174,180.8530,0,U,33818,999,79552,.18526E-2,.12414E-3,0
COSMOS 2251 DEB,1993-036BL,2024-01-20T08:32:26.310912,14.27457542,.0092541,74.1829,17.7507,72.1832,35.7860,0,U,33819,999,77598,.10875E-2,.2771E-4,0
COSMOS 2251 DEB,1993-036BN,2024-01-20T16:56:55.908096,14.92693559,.0105226,74.0497,125.4352,349.2749,131.9326,0,U,33821,999,80564,.92538E-3,.1061E-3,0
COSMOS 2251 DEB,1993-036BP,2024-01-20T07:24:28.358784,14.05954789,.0173057,74.0784,329.1739,187.1538,296.2185,0,U,33822,999,76296,.15188E-2,.2824E-4,0
COSMOS 2251 DEB,1993-036BQ,2024-01-20T19:48:45.264096,13.95991253,.0216711,73.8111,279.1640,163.8857,263.8806,0,U,33823,999,75950,.71362E-3,.1166E-4,0
COSMOS 2251 DEB,1993-036BR,2024-01-20T12:14:33.387360,14.86729392,.0068709,74.0135,35.6469,304.9604,180.3324,0,U,33824,999,79620,.3375E-2,.31455E-3,0
COSMOS 2251 DEB,1993-036BS,2024-01-20T04:13:06.032928,14.54679223,.0104407,73.9916,278.4308,53.7613,66.4603,0,U,33825,999,78756,.17873E-2,.8203E-4,0
COSMOS 2251 DEB,1993-036BT,2024-01-20T15:47:21.570720,14.36932059,.0110064,74.0650,255.7730,119.6687,307.4235,0,U,33826,999,77777,.17946E-2,.5674E-4,0
COSMOS 2251 DEB,1993-036BV,2024-01-20T14:43:11.424288,14.40265072,.0032662,74.0488,81.2179,325.3547,200.6201,0,U,33828,999,78333,.71807E-3,.2262E-4,0
COSMOS 2251 DEB,1993-036BX,2024-01-20T18:48:58.443264,14.63943364,.0052169,74.0382,133.3114,70.1377,48.3384,0,U,33830,999,79347,.1249E-2,.6644E-4,0
COSMOS 2251 DEB,1993-036BZ,2024-01-20T14:07:23.025216,14.46833823,.0037021,74.0598,76.4194,285.2266,225.5131,0,U,33832,999,78365,.20269E-2,.739E-4,0
COSMOS 2251 DEB,1993-036CB,2024-01-20T07:50:08.659104,14.86765570,.0048207,74.0680,336.2176,215.0352,302.3335,0,U,33834,999,79909,.21427E-2,.19509E-3,0
COSMOS 2251 DEB,1993-036CC,2024-01-20T07:46:53.345856,14.51422106,.0071185,74.0638,334.5025,208.4059,279.0915,0,U,33835,999,78704,.13377E-2,.5492E-4,0
COSMOS 2251 DEB,1993-036CD,2024-01-20T11:33:39.870144,14.62445866,.0031508,74.0034,166.0505,189.6014,236.6305,0,U,33836,999,53910,.191E-2,.9724E-4,0
COSMOS 2251 DEB,1993-036CE,2024-01-20T03:31:08.536512,14.47901992,.0036517,74.0141,276.7774,304.7696,55.0027,0,U,33837,999,78761,.44787E-3,.1646E-4,0
COSMOS 2251 DEB,1993-036CF,2024-01-20T10:25:00.185952,14.44489384,.0030667,74.0403,2.5504,292.8245,190.4527,0,U,33838,999,78558,.86463E-3,.2977E-4,0
COSMOS 2251 DEB,1993-036CG,2024-01-20T06:11:14.601696,14.60655443,.0089763,74.0418,93.3968,22.2400,33.9652,0,U,33839,999,79455,.34424E-3,.1742E-4,0
COSMOS 2251 DEB,1993-036CJ,2024-01-20T16:53:45.784896,14.36057705,.0021619,74.0384,110.4885,359.7875,119.3577,0,U,33841,999,78221,.38879E-3,.1108E-4,0
COSMOS 2251 DEB,1993-036CK,2024-01-20T12:03:26.881344,14.39835017,.0050041,74.0342,61.8278,337.7182,22.1798,0,U,33842,999,78363,.53553E-3,.168E-4,0
COSMOS 2251 DEB,1993-036CL,2024-01-20T13:41:56.780448,14.78934242,.0141765,73.9770,202.9486,161.4038,199.2396,0,U,33843,999,78947,.5471E-2,.48104E-3,0
COSMOS 2251 DEB,1993-036CM,2024-01-20T16:40:21.023328,14.30716359,.0050437,74.0658,233.3612,70.2657,357.3645,0,U,33844,999,77860,.55229E-3,.144E-4,0
COSMOS 2251 DEB,1993-036CR,2024-01-20T14:54:00.747936,14.35825492,.0050303,74.0336,197.2854,65.6524,9.9398,0,U,33848,999,77867,.16389E-2,.4792E-4,0
COSMOS 2251 DEB,1993-036CT,2024-01-20T11:41:57.963552,14.71171683,.0035551,74.0110,168.8613,108.1983,252.3064,0,U,33890,999,79112,.33134E-2,.20642E-3,0
COSMOS 2251 DEB,1993-036CV,2024-01-20T04:03:49.596192,14.19278638,.0119492,73.8050,281.5594,76.0364,47.0001,0,U,33892,999,77114,.95572E-3,.2128E-4,0
COSMOS 2251 DEB,1993-036CX,2024-01-20T06:48:14.428512,13.17461419,.0587356,73.7703,336.9993,353.7140,5.6792,0,U,33894,999,71574,.65626E-2,.6193E-4,0
COSMOS 2251 DEB,1993-036CZ,2024-01-20T06:13:10.217856,14.14929508,.0135664,73.7723,329.9125,261.0060,216.4559,0,U,33896,999,76930,.13474E-2,.2819E-4,0
COSMOS 2251 DEB,1993-036DC,2024-01-20T12:47:11.054976,14.51642526,.0071347,74.0584,318.1250,199.7434,277.8242,0,U,33899,999,78760,.12031E-2,.496E-4,0
COSMOS 2251 DEB,1993-036DD,2024-01-20T14:12:58.980384,14.52859832,.0053347,74.0194,233.1567,194.8136,196.0936,0,U,33900,999,78964,.69691E-3,.2893E-4,0
COSMOS 2251 DEB,1993-036DE,2024-01-20T09:30:35.338176,14.69386656,.0098574,73.7847,14.2453,270.8241,88.1634,0,U,33901,999,79210,.14738E-2,.9367E-4,0
COSMOS 2251 DEB,1993-036DJ,2024-01-20T10:14:23.680608,14.30689101,.0061164,73.8887,153.3995,182.5904,248.3252,0,U,33905,999,77769,.14216E-2,.3769E-4,0
COSMOS 2251 DEB,1993-036DK,2024-01-20T12:22:11.900928,14.41028619,.0048822,74.0351,180.1371,27.4464,42.3080,0,U,33906,999,77980,.22514E-2,.7326E-4,0
COSMOS 2251 DEB,1993-036DL,2024-01-20T11:48:34.019424,14.17704604,.014346,74.0722,198.6119,68.0608,324.0345,0,U,33907,999,76723,.26979E-2,.6061E-4,0
COSMOS 2251 DEB,1993-036DM,2024-01-20T07:48:52.135488,13.97846409,.0245977,73.8433,345.4147,136.0521,226.0467,0,U,33908,999,75763,.2182E-2,.3975E-4,0
COSMOS 2251 DEB,1993-036DQ,2024-01-20T11:09:11.875392,14.53088549,.0020119,74.1003,46.0721,200.8031,282.4233,0,U,33911,999,78515,.21761E-2,.9005E-4,0
COSMOS 2251 DEB,1993-036DR,2024-01-20T13:39:41.910048,14.44499856,.001662,74.0388,46.2884,290.9759,235.2009,0,U,33912,999,78427,.12698E-2,.4368E-4,0
COSMOS 2251 DEB,1993-036DS,2024-01-20T09:41:38.573088,14.43372619,.0054341,74.0372,35.8036,307.5416,172.9180,0,U,33913,999,78449,.10581E-2,.3609E-4,0
COSMOS 2251 DEB,1993-036DT,2024-01-20T14:04:00.984864,13.70464719,.0310341,74.0889,74.6000,337.0663,176.4339,0,U,33914,999,74593,.10969E-2,.1341E-4,0
COSMOS 2251 DEB,1993-036DU,2024-01-20T15:00:23.022144,14.31294813,.0112539,74.0432,218.9452,120.5972,307.0391,0,U,33915,999,77841,.76436E-3,.2143E-4,0
COSMOS 2251 DEB,1993-036DV,2024-01-20T14:54:50.484096,13.67263150,.0326672,74.0516,96.6197,61.3827,53.1412,0,U,33916,999,74426,.44317E-3,.518E-5,0
COSMOS 2251 DEB,1993-036DW,2024-01-20T13:37:05.556288,13.66062882,.034462,74.1047,174.5301,77.5371,286.4071,0,U,33917,999,74269,.18071E-2,.2218E-4,0
COSMOS 2251 DEB,1993-036DY,2024-01-20T13:31:11.767296,14.75347655,.0024336,74.0437,203.4832,86.0195,274.3760,0,U,33919,999,79090,.37564E-2,.25665E-3,0
COSMOS 2251 DEB,1993-036DZ,2024-01-20T09:22:21.956160,14.43029262,.0049546,74.0664,158.0754,345.9867,13.9911,0,U,33920,999,78074,.20936E-2,.71E-4,0
COSMOS 2251 DEB,1993-036EB,2024-01-20T08:32:52.857312,14.45267531,.0026937,74.0514,1.8296,282.0231,197.4956,0,U,33922,999,78559,.91958E-3,.3215E-4,0
COSMOS 2251 DEB,1993-036ED,2024-01-20T05:14:32.487648,13.48541493,.0407611,73.9155,301.7941,104.0375,260.6389,0,U,33924,999,73397,.68231E-3,.689E-5,0
COSMOS 2251 DEB,1993-036EH,2024-01-20T09:25:06.462624,14.44714492,.0063111,73.9266,273.4412,358.8669,1.2333,0,U,33928,999,78636,.49497E-3,.1731E-4,0
COSMOS 2251 DEB,1993-036EK,2024-01-20T00:16:59.500128,14.63547026,.0018126,74.0220,357.4648,196.1218,228.3233,0,U,33930,999,78569,.45969E-2,.23964E-3,0
COSMOS 2251 DEB,1993-036EL,2024-01-20T14:53:04.698528,14.72666212,.0179646,74.0180,228.3195,130.6687,231.0259,0,U,33931,999,78942,.25925E-2,.2139E-3,0
COSMOS 2251 DEB,1993-036EM,2024-01-20T11:23:29.203584,14.35213674,.0038525,74.0352,149.3138,35.0013,325.3660,0,U,33932,999,78053,.82154E-3,.2344E-4,0
COSMOS 2251 DEB,1993-036EN,2024-01-20T16:48:57.883680,14.30962487,.0074345,74.0882,239.0614,66.0488,294.8425,0,U,33933,999,77881,.47149E-3,.1253E-4,0
COSMOS 2251 DEB,1993-036EP,2024-01-20T07:15:08.784000,14.50145271,.0021666,74.0433,330.7314,260.0445,99.8270,0,U,33934,999,78669,.14943E-2,.5799E-4,0
COSMOS 2251 DEB,1993-036EQ,2024-01-20T12:32:31.100352,14.82597190,.0032876,73.9994,85.2192,25.6912,334.5890,0,U,33935,999,79400,.30263E-2,.24646E-3,0
COSMOS 2251 DEB,1993-036ER,2024-01-20T03:07:12.784512,14.52227917,.0033704,74.0216,273.0498,234.5273,125.2742,0,U,33936,999,78806,.98039E-3,.3983E-4,0
