OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIJING 1,2005-043A,2024-01-20T19:16:52.318848,14.62101902,.0015664,98.1806,144.9575,146.9598,213.2585,0,U,28890,999,97221,.16986E-3,.807E-5,0
HJ-1A,2008-041A,2024-01-20T18:47:15.181440,14.79165720,.0021629,97.6360,35.1859,132.6954,227.6085,0,U,33320,999,82841,.32165E-3,.2346E-4,0
HJ-1B,2008-041B,2024-01-20T19:52:55.651296,14.79673761,.0038715,97.6338,39.7377,178.5554,181.5777,0,U,33321,999,82843,.23843E-3,.1762E-4,0
YAOGAN 4,2008-061A,2024-01-20T18:25:45.416064,14.79076964,.0016429,97.8697,315.6481,50.5208,309.7453,0,U,33446,999,81561,.33966E-3,.2468E-4,0
DEIMOS-1,2009-041A,2024-01-20T18:46:35.284512,14.72951411,.0002477,97.6755,210.7056,117.2437,242.9024,0,U,35681,999,77746,.20873E-3,.1293E-4,0
UK-DMC 2,2009-041C,2024-01-20T18:44:17.096352,14.72775620,.000127,97.7565,174.8012,99.9286,260.2066,0,U,35683,999,77716,.28383E-3,.1767E-4,0
RISAT 1,2012-017A,2024-01-20T15:15:55.467360,15.20228487,.0004884,97.5343,37.8682,61.2952,298.8773,0,U,38248,999,64700,.51942E-3,.11204E-3,0
DMC3-FM1,2015-032A,2024-01-20T20:09:39.134592,14.83266588,.0007161,97.7721,263.9414,64.2502,295.9451,0,U,40715,999,45958,.17859E-3,.1409E-4,0
DMC3-FM2,2015-032B,2024-01-20T19:05:59.080416,14.83267935,.0009106,97.7772,264.8710,67.1214,293.0960,0,U,40716,999,45957,.18213E-3,.1439E-4,0
DMC3-FM3,2015-032C,2024-01-20T19:37:15.338496,14.83259674,.0010572,97.7818,266.0873,63.7203,296.5096,0,U,40717,999,45958,.17888E-3,.1412E-4,0
