OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2024-01-20T17:47:43.048608,14.19865076,.0015562,98.9624,71.6513,225.2894,256.8713,0,U,25730,999,27330,.17143E-2,.3597E-4,0
FENGYUN 1C DEB,1999-025X,2024-01-20T09:04:29.549856,12.93769458,.0574008,99.2110,176.4475,356.3419,62.1435,0,U,29733,999,80156,.21872E-2,.1237E-4,0
FENGYUN 1C DEB,1999-025Y,2024-01-20T14:30:45.889056,12.87172322,.0630881,99.1605,60.5507,154.5980,8.0194,0,U,29734,999,79628,.43005E-2,.2561E-4,0
FENGYUN 1C DEB,1999-025Z,2024-01-20T12:44:14.343648,12.70936083,.0720684,99.3784,47.3723,264.1568,87.6998,0,U,29735,999,78608,.36977E-2,.2099E-4,0
FENGYUN 1C DEB,1999-025AA,2024-01-20T08:39:28.702368,12.55695668,.0731941,99.4440,325.4047,240.4657,253.3476,0,U,29736,999,77847,.25548E-3,.79E-6,0
FENGYUN 1C DEB,1999-025AB,2024-01-20T02:42:57.645216,12.62644596,.0716268,99.5855,84.9663,194.4584,194.0912,0,U,29737,999,78116,.51612E-2,.2488E-4,0
FENGYUN 1C DEB,1999-025AC,2024-01-20T17:47:04.815744,12.55567209,.086766,99.4324,309.2996,349.2208,9.1287,0,U,29738,999,77518,.11323E-1,.7762E-4,0
FENGYUN 1C DEB,1999-025AE,2024-01-20T14:18:58.485600,12.05466475,.0998726,99.0483,64.1830,135.7780,232.7643,0,U,29740,999,74584,.65759E-2,.2569E-4,0
FENGYUN 1C DEB,1999-025AF,2024-01-18T10:26:39.284160,11.98435589,.1023522,99.1884,84.8394,342.6981,71.6500,0,U,29741,999,74150,.56646E-2,.208E-4,0
FENGYUN 1C DEB,1999-025AL,2024-01-19T11:05:23.980704,13.35359449,.0645688,99.6410,201.2693,299.4993,54.3225,0,U,29746,999,74209,.11313E+0,.195767E-2,0
FENGYUN 1C DEB,1999-025AN,2023-12-24T17:40:29.293824,11.75076450,.0953606,99.8642,97.1523,236.8023,113.8046,0,U,29748,999,70240,.19034E+0,.38078E-3,0
FENGYUN 1C DEB,1999-025AQ,2024-01-20T01:08:47.480928,14.08536458,.0037396,98.8365,59.6957,96.6572,324.0209,0,U,29750,999,87318,.44901E-3,.733E-5,0
FENGYUN 1C DEB,1999-025AR,2024-01-20T01:53:31.485696,14.22559442,.0090232,98.6226,59.2916,353.9499,60.4797,0,U,29751,999,88221,.28447E-3,.619E-5,0
FENGYUN 1C DEB,1999-025AT,2024-01-20T14:01:33.703104,15.21979101,.0017412,98.8656,26.6236,179.8182,180.3059,0,U,29753,999,89633,.12432E-1,.296052E-2,0
FENGYUN 1C DEB,1999-025AU,2024-01-20T05:14:58.514784,14.14429648,.0038545,98.8768,118.2244,56.9958,11.5237,0,U,29754,999,87547,.12877E-2,.244E-4,0
FENGYUN 1C DEB,1999-025AW,2024-01-20T17:45:43.225632,14.67393997,.0031587,99.2466,200.8632,244.9695,114.8225,0,U,29756,999,89257,.60018E-2,.34292E-3,0
FENGYUN 1C DEB,1999-025AY,2024-01-20T13:10:49.120032,14.25268658,.0030126,98.8526,115.0452,180.7568,305.7297,0,U,29758,999,87756,.35412E-2,.8335E-4,0
FENGYUN 1C DEB,1999-025BA,2024-01-20T06:16:37.370496,14.07316340,.0131814,98.7709,36.4609,327.2393,32.0652,0,U,29760,999,87349,.45403E-3,.781E-5,0
FENGYUN 1C DEB,1999-025BC,2024-01-19T22:50:25.814688,14.20535021,.020947,98.5230,17.7831,187.3896,229.1837,0,U,29762,999,88105,.29881E-3,.756E-5,0
FENGYUN 1C DEB,1999-025BD,2024-01-20T12:30:51.747264,14.06806313,.0129039,98.6980,17.3163,334.0977,148.1999,0,U,29763,999,87313,.53457E-3,.916E-5,0
FENGYUN 1C DEB,1999-025BF,2024-01-20T00:24:28.640160,14.01840785,.0059221,98.8936,51.8255,220.0349,208.5702,0,U,29765,999,87044,.29205E-3,.407E-5,0
FENGYUN 1C DEB,1999-025BG,2024-01-20T12:50:18.849696,13.92310149,.0155969,98.6295,6.4433,44.2183,79.5591,0,U,29766,999,86154,.24866E-2,.3488E-4,0
FENGYUN 1C DEB,1999-025BH,2024-01-20T07:38:48.827616,13.93382889,.0364643,98.1995,55.4077,219.9156,273.8462,0,U,29767,999,85921,.26288E-2,.5925E-4,0
FENGYUN 1C DEB,1999-025BK,2024-01-20T13:05:59.729280,14.07418574,.0099373,99.1604,60.7528,268.0724,90.9061,0,U,29769,999,86949,.22983E-2,.4E-4,0
FENGYUN 1C DEB,1999-025BL,2024-01-19T16:53:54.419712,14.12968721,.0069813,98.8889,91.6635,91.4811,32.1251,0,U,29770,999,87273,.19185E-2,.3617E-4,0
FENGYUN 1C DEB,1999-025BN,2024-01-20T15:28:38.496864,13.99383948,.0142915,98.4515,276.8667,78.6149,357.7048,0,U,29772,999,86561,.1848E-2,.2898E-4,0
FENGYUN 1C DEB,1999-025BP,2024-01-20T08:36:55.387296,14.24878777,.0050012,98.9000,153.1049,131.0462,292.0271,0,U,29773,999,88327,.79459E-3,.1835E-4,0
FENGYUN 1C DEB,1999-025BQ,2024-01-19T23:42:58.600800,14.21623364,.0050602,99.0429,296.1674,307.3260,181.4150,0,U,29774,999,88228,.33396E-3,.695E-5,0
FENGYUN 1C DEB,1999-025BS,2024-01-20T17:05:29.345280,14.07095539,.0024643,98.8502,58.6862,59.7155,61.9483,0,U,29776,999,87356,.28339E-3,.432E-5,0
FENGYUN 1C DEB,1999-025BT,2024-01-20T08:53:52.056960,13.91668666,.0092702,99.3823,66.9240,278.1996,146.1956,0,U,29777,999,86409,.202E-3,.219E-5,0
FENGYUN 1C DEB,1999-025BV,2024-01-20T12:14:17.742912,14.12240716,.0063863,98.7178,45.6105,337.8088,22.0323,0,U,29779,999,87637,.45002E-3,.8E-5,0
FENGYUN 1C DEB,1999-025BW,2024-01-20T12:05:05.181216,14.13183934,.0047328,99.3026,264.9609,285.0329,74.5607,0,U,29780,999,87273,.25608E-2,.4797E-4,0
FENGYUN 1C DEB,1999-025BX,2024-01-19T23:07:43.510656,14.02503674,.0073986,98.7934,30.0011,312.2887,106.0323,0,U,29781,999,86922,.12812E-2,.1977E-4,0
FENGYUN 1C DEB,1999-025BY,2024-01-20T01:10:41.318976,14.06362830,.005646,99.1497,58.9505,339.2842,82.0154,0,U,29782,999,86915,.21072E-2,.3483E-4,0
FENGYUN 1C DEB,1999-025CA,2024-01-20T16:10:47.765280,14.27403084,.0062751,98.9803,274.9002,145.2461,270.1204,0,U,29784,999,88478,.68666E-3,.1673E-4,0
FENGYUN 1C DEB,1999-025CB,2024-01-20T13:43:55.719552,15.42639028,.0021635,99.0160,234.6045,334.2166,25.7996,0,U,29785,999,90327,.11035E-1,.516426E-2,0
FENGYUN 1C DEB,1999-025CC,2024-01-20T13:56:56.713344,14.08315360,.0079539,98.7942,51.0769,97.1889,22.8350,0,U,29786,999,87415,.23294E-3,.368E-5,0
FENGYUN 1C DEB,1999-025CE,2024-01-20T15:39:07.221888,14.17579679,.0045598,98.8317,87.3695,25.1864,127.6289,0,U,29788,999,87519,.21438E-2,.4358E-4,0
FENGYUN 1C DEB,1999-025CF,2024-01-19T13:36:13.326624,13.51213418,.0305018,99.4804,226.6106,224.2559,194.9781,0,U,29789,999,83644,.26217E-2,.2231E-4,0
FENGYUN 1C DEB,1999-025CG,2024-01-20T09:40:02.136864,14.29558492,.0080473,99.0714,334.8613,24.2311,336.2621,0,U,29790,999,88623,.81932E-3,.2123E-4,0
FENGYUN 1C DEB,1999-025CH,2024-01-20T20:05:00.659616,14.41662208,.0054605,98.9931,326.7329,337.4057,81.1713,0,U,29791,999,88828,.30566E-2,.10102E-3,0
FENGYUN 1C DEB,1999-025CJ,2024-01-20T08:23:33.093312,14.09942936,.0052785,98.8197,77.9803,200.8131,159.0891,0,U,29792,999,87163,.19448E-2,.3429E-4,0
FENGYUN 1C DEB,1999-025CK,2024-01-19T14:44:11.103360,13.97357536,.0146347,98.4073,250.9097,127.5557,298.2813,0,U,29793,999,86455,.11459E-2,.1724E-4,0
FENGYUN 1C DEB,1999-025CL,2024-01-20T14:22:45.657984,14.05973639,.0162413,98.2053,237.2155,223.5865,159.4909,0,U,29794,999,87121,.14179E-2,.2579E-4,0
FENGYUN 1C DEB,1999-025CM,2024-01-20T08:53:13.324704,13.92298920,.0112886,98.7704,176.3502,16.8244,45.6259,0,U,29795,999,86428,.26953E-3,.323E-5,0
FENGYUN 1C DEB,1999-025CN,2024-01-20T03:25:48.219744,14.09360124,.0054859,98.9386,72.2990,63.5322,1.7715,0,U,29796,999,87294,.9441E-3,.1625E-4,0
FENGYUN 1C DEB,1999-025CQ,2024-01-20T17:14:33.664416,13.95031328,.0116752,99.3420,68.7266,359.3224,125.8486,0,U,29798,999,86262,.19902E-2,.2792E-4,0
FENGYUN 1C DEB,1999-025CS,2024-01-20T16:10:03.053280,13.92120602,.014087,98.3230,103.8255,5.7982,160.4418,0,U,29800,999,85937,.23508E-2,.3225E-4,0
FENGYUN 1C DEB,1999-025CT,2024-01-20T14:54:32.668416,14.34566656,.0106417,98.8724,259.7720,144.2702,270.6372,0,U,29801,999,89013,.24254E-3,.682E-5,0
