OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TANTRUM (TYVAK-1015),2023-202A,2024-01-20T08:33:39.210048,15.87166616,.0159962,140.0137,181.5121,21.3015,339.4396,0,U,58616,999,451,.6457E-3,.553502E-2,-.98445E-5
STARLINK-31054,2023-203B,2024-01-20T22:00:00.999936,15.27057599,.0001072,43.0001,139.8312,294.3814,317.1640,0,U,58619,999,563,-.60386E-1,-.1496427E-1,0
STARLINK-31118,2023-203C,2024-01-20T22:00:00.999936,15.27849281,.0001648,43.0003,139.8036,276.5663,346.5535,0,U,58620,999,575,-.79476E-1,-.1993929E-1,0
STARLINK-31134,2023-203D,2024-01-20T22:00:00.999936,15.27562179,.0001769,43.0005,139.6902,295.3979,14.2050,0,U,58621,999,569,.19428E-2,.5356E-3,0
STARLINK-31133,2023-203E,2024-01-20T22:00:00.999936,15.28020946,.00019,43.0003,139.7755,270.1750,4.4714,0,U,58622,999,451,-.54018E-1,-.1369487E-1,0
STARLINK-31068,2023-203F,2024-01-20T14:00:01.000224,15.27576304,.0001978,43.0001,141.6317,261.3419,349.7430,0,U,58623,999,564,-.69268E-3,-.19272E-3,0
STARLINK-31129,2023-203G,2024-01-20T22:00:00.999936,15.27666133,.000185,43.0004,139.7191,255.8438,42.0660,0,U,58624,999,569,-.70639E-2,-.190245E-2,0
STARLINK-30774,2023-203H,2024-01-20T22:00:00.999936,15.27706725,.0002138,43.0006,139.6338,261.2340,71.4177,0,U,58625,999,575,-.52994E-2,-.143859E-2,0
STARLINK-31086,2023-203J,2024-01-20T22:00:00.999936,15.38152279,.0002121,43.0004,139.4336,290.2353,126.0428,0,U,58626,999,575,-.39894E-2,-.150545E-2,0
STARLINK-31065,2023-203K,2024-01-20T22:00:00.999936,15.36244416,.0001129,43.0003,139.4470,267.0164,143.2430,0,U,58627,999,564,.13951E-2,.50422E-3,0
STARLINK-31092,2023-203L,2024-01-20T22:00:00.999936,15.27530362,.0001581,43.0004,139.6058,272.3645,71.8800,0,U,58628,999,569,.29566E-2,.81881E-3,0
STARLINK-31091,2023-203M,2024-01-20T22:00:00.999936,15.27548653,.0001543,43.0006,139.5493,279.6290,87.7842,0,U,58629,999,558,.2653E-2,.73402E-3,0
STARLINK-31084,2023-203N,2024-01-20T22:00:00.999936,15.27587033,.0001525,43.0005,139.5212,290.6213,88.3648,0,U,58630,999,575,.30116E-2,.83572E-3,0
STARLINK-31064,2023-203P,2024-01-20T14:00:01.000224,15.27564673,.0001405,43.0001,141.3482,260.4169,106.6584,0,U,58631,999,564,-.29547E-3,-.838E-4,0
STARLINK-31081,2023-203Q,2024-01-20T22:00:00.999936,15.27552664,.000194,43.0000,139.4366,279.7923,134.0956,0,U,58632,999,570,.1083E-2,.29635E-3,0
STARLINK-31022,2023-203R,2024-01-20T22:00:00.999936,15.27594110,.0001667,43.0004,139.4926,268.7169,121.9901,0,U,58633,999,574,-.11704E-2,-.32343E-3,0
STARLINK-31025,2023-203S,2024-01-20T14:00:01.000224,15.48881993,.0001405,42.9995,139.5282,284.8253,100.3355,0,U,58634,999,578,.7833E-3,.43179E-3,0
STARLINK-31018,2023-203T,2024-01-20T22:00:00.999936,15.25941251,.0001149,42.9995,139.9784,229.0552,320.9697,0,U,58635,999,575,-.27207E-2,-.70812E-3,0
STARLINK-31008,2023-203U,2024-01-20T22:00:00.999936,15.25870537,.0001226,42.9994,140.0084,308.5968,229.0001,0,U,58636,999,575,.18654E-2,.48803E-3,0
STARLINK-31077,2023-203V,2024-01-20T14:00:01.000224,15.28078625,.0000702,42.9992,141.8335,267.8377,259.2098,0,U,58637,999,564,-.68815E-1,-.1734137E-1,0
STARLINK-31078,2023-203W,2024-01-20T22:00:00.999936,15.27529863,.0002344,42.9996,139.9214,267.7907,306.1777,0,U,58638,999,575,.27225E-2,.7531E-3,0
STARLINK-31070,2023-203X,2024-01-20T22:00:00.999936,15.27896627,.0001534,42.9999,139.8649,267.1434,330.0224,0,U,58639,999,575,-.40525E-1,-.1034575E-1,0
STARLINK-31090,2023-203Y,2024-01-18T14:19:58.462752,15.51272279,.0000764,42.9986,152.2500,198.5725,161.5108,0,U,58640,999,541,.11953E-2,.72199E-3,0
TIANMU-1 11,2023-205A,2024-01-20T18:56:54.313728,15.13862424,.0011493,97.4199,49.7132,177.3138,182.8157,0,U,58645,999,405,.31904E-3,.5714E-4,0
TIANMU-1 12,2023-205B,2024-01-20T19:01:24.349152,15.13631310,.0010393,97.4185,49.7039,173.0651,187.0726,0,U,58646,999,404,.33593E-3,.598E-4,0
TIANMU-1 13,2023-205C,2024-01-20T19:11:11.757696,15.13151298,.0010836,97.4216,49.7058,166.2158,193.9371,0,U,58647,999,404,.34739E-3,.6104E-4,0
TIANMU-1 14,2023-205D,2024-01-20T17:27:05.237280,15.13621376,.0011028,97.4141,49.6227,170.8911,189.2523,0,U,58648,999,403,.32878E-3,.585E-4,0
KZ-1A R/B,2023-205E,2024-01-20T15:41:26.641248,15.81941078,.0155369,97.4058,51.8893,295.9409,62.5919,0,U,58649,999,417,.89365E-3,.455183E-2,.2335E-5
SHIYAN 24C 01,2023-206A,2024-01-20T19:42:49.879296,15.06672625,.0011605,97.3357,28.6310,175.8167,184.3160,0,U,58650,999,389,.36173E-3,.5318E-4,0
SHIYAN 24C 02,2023-206B,2024-01-20T19:41:37.539168,15.06661193,.0009844,97.3360,28.6331,197.0327,163.0572,0,U,58651,999,389,.31651E-3,.4642E-4,0
SHIYAN 24C 03,2023-206C,2024-01-20T19:42:42.510240,15.06675475,.0011407,97.3353,28.6295,194.0295,166.0618,0,U,58652,999,388,.24942E-3,.3648E-4,0
BEIDOU-3 M25,2023-207A,2024-01-19T12:00:00.000000,1.86231622,.0003594,55.0020,92.1740,252.7320,285.8580,0,U,58654,999,45,0,-.68E-6,0
BEIDOU-3 M26,2023-207B,2024-01-05T20:19:36.281280,1.85607573,.0316732,54.6471,92.7627,68.9835,87.0455,0,U,58655,999,19,0,-.37E-6,0
YZ-1 R/B,2023-207C,2024-01-19T20:13:26.285376,1.79266334,.0027922,55.0464,92.0262,330.0079,29.8698,0,U,58656,999,44,0,-.54E-6,0
CZ-3B R/B,2023-207D,2024-01-20T08:50:01.650624,4.43862562,.5788118,54.9730,78.9650,178.2103,185.5917,0,U,58657,999,111,.21362E-2,.58303E-3,0
COSMOS 2574,2023-209A,2024-01-20T17:30:37.493568,15.72827192,.0004559,96.7549,279.1938,311.9494,48.1382,0,U,58658,999,384,.22969E-3,.30977E-3,0
SL-4 R/B,2023-209B,2024-01-20T06:17:04.487136,15.75360164,.0001687,96.7581,278.8136,281.1363,78.9714,0,U,58659,999,375,.55309E-3,.83794E-3,0
TIANMU-1 19,2023-208A,2024-01-20T20:30:03.837312,15.13154555,.0011754,97.3998,137.3093,156.5343,203.6427,0,U,58660,999,372,.45414E-3,.8004E-4,0
TIANMU-1 20,2023-208B,2024-01-20T20:21:48.968352,15.14086161,.0011348,97.3920,137.2914,168.3696,191.7800,0,U,58661,999,372,.42884E-3,.7754E-4,0
TIANMU-1 21,2023-208C,2024-01-20T20:19:11.788608,15.14315932,.0010392,97.3966,137.3089,168.7284,191.4183,0,U,58662,999,372,.46043E-3,.8383E-4,0
TIANMU-1 22,2023-208D,2024-01-20T20:11:40.046208,15.14629846,.0010761,97.3980,137.3205,177.4794,182.6495,0,U,58663,999,372,.42822E-3,.7861E-4,0
STARLINK-31113,2023-211B,2024-01-20T22:00:00.999936,15.45398865,.0001331,42.9996,156.6973,276.0383,282.3247,0,U,58668,999,471,-.49919E-1,-.2158273E-1,0
STARLINK-31128,2023-211C,2024-01-20T14:00:01.000224,15.48888814,.0001785,42.9996,158.6131,255.8954,253.8925,0,U,58669,999,449,.91752E-3,.50697E-3,0
STARLINK-31083,2023-211D,2024-01-20T14:00:01.000224,15.45662444,.0001105,42.9996,158.6475,284.7768,211.6533,0,U,58670,999,460,-.50265E-1,-.2188877E-1,0
