OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2024-01-20T21:04:49.973952,15.49659864,.0004951,51.6420,330.2296,110.9950,344.4936,0,U,25544,999,43555,.3855E-3,.21348E-3,0
ISS DEB,1998-067RZ,2024-01-20T19:02:14.137152,15.95475683,.0001848,51.6237,254.5418,168.4912,191.6139,0,U,47853,999,16317,.36827E-3,.147431E-2,.197E-4
CSS (TIANHE),2021-035A,2024-01-20T18:34:13.567296,15.62549168,.0007576,41.4686,269.8439,206.9967,153.0479,0,U,48274,999,15586,.31918E-3,.29096E-3,0
ISS (NAUKA),2021-066A,2024-01-20T10:15:46.052640,15.49642494,.0005091,51.6417,332.4645,108.4197,350.8424,0,U,49044,999,43548,.42405E-3,.23521E-3,0
FREGAT DEB,2011-037PF,2024-01-20T05:51:05.196960,12.11381672,.0981936,51.6340,52.0434,170.8842,191.1362,0,U,49271,999,11712,.4411E-2,.1757E-4,0
CSS (WENTIAN),2022-085A,2024-01-20T03:13:50.971872,15.62513321,.000735,41.4689,273.7443,202.7408,157.3107,0,U,53239,999,15576,.44348E-3,.40561E-3,0
CSS (MENGTIAN),2022-143A,2024-01-20T03:13:50.971872,15.62513321,.000735,41.4689,273.7443,202.7408,157.3107,0,U,54216,999,15576,.44348E-3,.40561E-3,0
TIANZHOU-6,2023-063A,2024-01-19T04:39:13.391136,15.64253285,.0010873,41.4697,279.3888,162.8101,335.0246,0,U,56446,999,3966,.22319E-3,.21674E-3,0
ISS DEB,1998-067VP,2024-01-20T01:22:25.361472,15.68442751,.0004922,51.6343,321.9306,126.2764,233.8688,0,U,57212,999,3252,.62638E-3,.7222E-3,0
1998-067VR,1998-067VR,2024-01-20T18:01:51.588192,16.04733075,.000635,51.6235,306.9055,161.7182,198.4059,0,U,57313,999,3109,.13489E-2,.933532E-2,.4635E-3
MOONLIGHTER,1998-067VU,2024-01-20T19:27:45.594432,15.87275044,.0007782,51.6274,310.3919,167.2831,192.8371,0,U,57316,999,3104,.19858E-2,.568314E-2,0
PROGRESS-MS 24,2023-125A,2024-01-20T10:15:46.052640,15.49642494,.0005091,51.6417,332.4645,108.4197,350.8424,0,U,57691,999,43548,.42405E-3,.23521E-3,0
CREW DRAGON 7,2023-128A,2024-01-20T08:17:20.270400,15.49637024,.0004757,51.6399,332.8743,110.2915,249.8585,0,U,57697,999,43546,.41045E-3,.22744E-3,0
SOYUZ-MS 24,2023-143A,2024-01-20T08:17:20.270400,15.49637024,.0004757,51.6399,332.8743,110.2915,249.8585,0,U,57862,999,43546,.41045E-3,.22744E-3,0
SHENZHOU-17 (SZ-17),2023-164A,2024-01-20T03:13:50.971872,15.62513321,.000735,41.4689,273.7443,202.7408,157.3107,0,U,58146,999,15576,.44348E-3,.40561E-3,0
ISS DEB,1998-067WA,2024-01-20T05:37:56.636256,15.64878296,.0006447,51.6364,329.1345,103.9849,256.1863,0,U,58174,999,1349,.13509E-2,.136521E-2,0
ISS DEB,1998-067WC,2024-01-20T02:09:34.435296,15.57632516,.0004238,51.6394,331.9235,94.4147,265.7329,0,U,58229,999,1223,.83644E-3,.63048E-3,0
PROGRESS-MS 25,2023-184A,2024-01-20T08:17:20.270400,15.49637024,.0004757,51.6399,332.8743,110.2915,249.8585,0,U,58460,999,43546,.41045E-3,.22744E-3,0
BEAK,1998-067WD,2024-01-20T09:52:11.682912,15.54700230,.000625,51.6401,331.8192,108.9925,251.1744,0,U,58612,999,521,.92296E-3,.62437E-3,0
CLARK SAT-1 (AMBITIOUS),1998-067WE,2024-01-20T20:09:11.807136,15.57218326,.0008412,51.6394,329.4312,129.5952,230.5784,0,U,58613,999,525,.16111E-2,.121028E-2,0
TIANZHOU-7,2024-013A,2024-01-20T03:13:50.971872,15.62513321,.000735,41.4689,273.7443,202.7408,157.3107,0,U,58811,999,15576,.44348E-3,.40561E-3,0
CZ-7 R/B,2024-013B,2024-01-20T19:50:21.058368,16.10461908,.0082598,41.4712,268.1797,198.5920,251.3599,0,U,58812,999,52,.54895E-3,.976457E-2,.75536E-5
2024-013C,2024-013C,2024-01-18T02:44:11.395392,15.73710950,.0234014,41.8298,285.9373,181.6233,328.2070,0,U,58813,999,9,0,-.2294E-4,.7267E-5
2024-013D,2024-013D,2024-01-18T02:44:48.187104,15.72861586,.0240306,41.6413,286.0086,187.1577,323.2676,0,U,58814,999,8,0,-.224E-4,.7095E-5
2024-014A,2024-015A,2024-01-20T08:56:41.803584,15.50369419,.0004066,51.6453,332.7333,135.9816,16.7055,0,U,58815,999,22,.1E-3,.5329E-4,0
