OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2024-01-20T17:42:15.929568,1.00274967,.0040718,13.2766,346.9709,335.7381,13.6035,0,U,19548,999,11655,0,-.3E-5,0
HST,1990-037B,2024-01-20T02:27:03.437568,15.15621036,.00023,28.4684,262.2976,210.0240,303.7728,0,U,20580,999,65437,.33796E-3,.6789E-4,0
TDRS 5,1991-054B,2024-01-20T13:13:14.336832,1.00269659,.002546,14.1814,0.2120,353.7626,156.4780,0,U,21639,999,11890,0,.82E-6,0
TDRS 6,1993-003B,2024-01-20T08:44:42.316224,1.00268225,.0006803,14.1578,3.5045,160.6752,40.3281,0,U,22314,999,11359,0,-.298E-5,0
TDRS 7,1995-035B,2024-01-20T09:44:50.447616,1.00278080,.0023384,13.7435,354.2810,59.6207,296.2674,0,U,23613,999,10443,0,-.204E-5,0
ISS (ZARYA),1998-067A,2024-01-20T21:04:49.973952,15.49659864,.0004951,51.6420,330.2296,110.9950,344.4936,0,U,25544,999,43555,.3855E-3,.21348E-3,0
LANDSAT 7,1999-020A,2024-01-20T20:12:15.081408,14.60425550,.0001677,97.9057,54.5263,90.4405,23.5255,0,U,25682,999,31754,.17871E-3,.822E-5,0
TERRA,1999-068A,2024-01-20T19:48:15.316128,14.59547188,.0003093,98.0695,88.5634,101.4814,14.8739,0,U,25994,999,28152,.20161E-3,.913E-5,0
TDRS 8,2000-034A,2024-01-20T17:08:18.343680,1.00273635,.0005166,11.3016,38.3962,243.7053,286.7909,0,U,26388,999,8636,0,.91E-6,0
TIMED,2001-055B,2024-01-20T19:56:27.282912,14.90641820,.0002248,74.0705,197.8758,272.1181,87.9744,0,U,26998,999,19985,.26977E-3,.2607E-4,0
TDRS 9,2002-011A,2024-01-20T18:02:03.895008,0.98982898,.0002368,10.2817,55.2160,144.6130,210.6921,0,U,27389,999,8158,0,-.8E-6,0
AQUA,2002-022A,2024-01-20T19:59:54.966912,14.58779499,.0000895,98.3137,329.8673,112.1178,300.6482,0,U,27424,999,15508,.42884E-3,.1957E-4,0
TDRS 10,2002-055A,2024-01-20T11:29:09.615264,1.00270277,.0005303,9.2816,46.4202,299.7444,134.3076,0,U,27566,999,7742,0,.84E-6,0
SORCE,2003-004A,2024-01-20T12:53:35.078784,14.93716684,.0021028,39.9917,199.2513,264.4679,95.3713,0,U,27651,999,14000,.44836E-3,.4708E-4,0
AURA,2004-026A,2024-01-20T14:57:14.197536,14.58125721,.0001411,98.2357,326.6915,100.2494,259.8864,0,U,28376,999,3802,.4241E-3,.1908E-4,0
SWIFT,2004-047A,2024-01-20T17:53:46.623264,15.15034983,.0008782,20.5549,160.5154,157.0567,203.0262,0,U,28485,999,5175,.61486E-3,.12355E-3,0
THEMIS A,2007-004A,2024-01-20T06:30:17.295264,0.87833248,.8314473,10.8407,277.5235,292.4697,349.5218,0,U,30580,999,3354,.47282E-1,.39E-6,0
THEMIS D,2007-004D,2024-01-20T06:56:32.325792,0.87834302,.8293129,7.1399,270.0420,303.5058,342.4414,0,U,30797,999,3334,0,.7E-7,0
THEMIS E,2007-004E,2024-01-20T06:16:07.961664,0.87832033,.8293081,8.4157,289.1034,285.9991,350.2010,0,U,30798,999,5818,0,.12E-6,0
AIM,2007-015A,2024-01-20T20:34:04.752480,15.44106284,.0005438,97.8909,341.7846,119.0764,241.1028,0,U,31304,999,92009,.10721E-2,.49216E-3,0
FGRST (GLAST),2008-029A,2024-01-20T18:08:17.663136,15.15589336,.0011755,25.5818,147.6499,102.6699,257.5152,0,U,33053,999,86224,.21707E-3,.4551E-4,0
WISE,2009-071A,2024-01-20T15:09:32.159808,15.51678786,.000145,97.1719,56.6069,41.6760,318.4603,0,U,36119,999,78514,.5112E-3,.3038E-3,0
TDRS 11,2013-004A,2024-01-20T17:06:25.563168,1.00265103,.0002703,2.6981,6.2224,26.7139,168.9968,0,U,39070,999,4017,0,.82E-6,0
TDRS 12,2014-004A,2024-01-20T10:06:13.897152,1.00267893,.0002963,3.5566,359.7829,243.5570,346.5954,0,U,39504,999,3546,0,-.263E-5,0
GPM-CORE,2014-009C,2024-01-20T17:11:50.561952,15.44117038,.0012462,64.9895,9.9357,262.5269,97.4456,0,U,39574,999,56214,.27521E-3,.12467E-3,0
