OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOAA 15,1998-030A,2024-01-20T19:41:43.342656,14.26476387,.0010998,98.5857,50.9342,43.0017,317.2021,0,U,25338,999,33628,.15264E-3,.325E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2024-01-20T20:18:32.171616,14.13933256,.0008163,99.0204,25.9333,110.3966,14.1127,0,U,28054,999,4531,.19437E-3,.323E-5,0
NOAA 18,2005-018A,2024-01-20T19:20:22.003872,14.13105005,.0015137,98.8897,98.9411,122.6204,237.6431,0,U,28654,999,96230,.21469E-3,.357E-5,0
METEOSAT-9 (MSG-2),2005-049B,2024-01-20T18:09:19.982592,1.00274252,.0000699,7.3457,62.0980,218.9834,156.5504,0,U,28912,999,6627,0,.124E-5,0
EWS-G1 (GOES 13),2006-018A,2024-01-20T13:09:42.661152,0.99155517,.0088033,2.2378,87.0713,248.5079,100.8639,0,U,29155,999,3455,0,-.224E-5,0
DMSP 5D-3 F17 (USA 191),2006-050A,2024-01-20T16:54:39.381408,14.14377273,.0010628,98.7490,34.3198,47.3600,312.8468,0,U,29522,999,88820,.2098E-3,.358E-5,0
FENGYUN 3A,2008-026A,2024-01-20T19:43:27.911712,14.18999101,.0009378,98.5860,332.3902,135.6033,224.5896,0,U,32958,999,81092,.1747E-3,.322E-5,0
FENGYUN 2E,2008-066A,2024-01-20T02:39:42.699168,1.00274607,.0001285,7.2111,61.4182,274.8524,269.3549,0,U,33463,999,5528,0,-.207E-5,0
NOAA 19,2009-005A,2024-01-20T19:22:53.085504,14.12910348,.0013627,99.0710,74.8977,354.4553,5.6465,0,U,33591,999,77067,.1904E-3,.309E-5,0
GOES 14,2009-033A,2024-01-20T14:36:36.324000,1.00272380,.0000598,0.0712,227.7070,97.7744,264.5781,0,U,35491,999,5330,0,-.61E-6,0
