OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2024-01-20T13:46:35.810976,12.53671364,.0012278,101.9692,13.8831,9.1688,109.7949,0,U,7530,999,25041,.21289E-3,-.12E-6,0
PHASE 3B (AO-10),1983-058B,2024-01-15T22:11:16.863936,2.05871616,.6032805,27.4733,3.2838,236.9641,50.7403,0,U,14129,999,27730,0,-.488E-5,0
UOSAT 2 (UO-11),1984-021B,2024-01-20T20:19:20.172000,14.85918690,.0007521,97.6859,354.8334,194.8364,165.2632,0,U,14781,999,14745,.29064E-3,.2484E-4,0
LUSAT (LO-19),1990-005G,2024-01-20T13:12:00.172800,14.33417230,.0010655,98.8698,7.0195,260.9972,99.0006,0,U,20442,999,77648,.17271E-3,.43E-5,0
EYESAT A (AO-27),1993-061C,2024-01-20T14:52:08.678496,14.30413634,.0009015,98.8126,71.6903,147.7642,212.4092,0,U,22825,999,58137,.1094E-3,.239E-5,0
ITAMSAT (IO-26),1993-061D,2024-01-20T01:52:00.001056,14.30785919,.0009678,98.8072,71.0028,135.7228,224.4730,0,U,22826,999,58157,.11564E-3,.257E-5,0
RADIO ROSTO (RS-15),1994-085A,2024-01-20T13:23:59.269632,11.27575426,.0154934,64.8176,284.1343,171.3847,188.9790,0,U,23439,999,19683,-.89879E-4,-.46E-6,0
JAS-2 (FO-29),1996-046B,2024-01-20T10:14:53.434176,13.53170213,.0349555,98.5631,334.7048,213.4948,144.3644,0,U,24278,999,35431,.40088E-4,.3E-7,0
TECHSAT 1B (GO-32),1998-043D,2024-01-20T11:44:41.515296,14.23972999,.0000804,98.9012,345.1678,175.7516,184.3669,0,U,25397,999,32625,.12217E-3,.235E-5,0
ISS (ZARYA),1998-067A,2024-01-20T21:04:49.973952,15.49659864,.0004951,51.6420,330.2296,110.9950,344.4936,0,U,25544,999,43555,.3855E-3,.21348E-3,0
PCSAT (NO-44),2001-043C,2024-01-20T06:49:48.346176,14.31099506,.0005287,67.0523,356.1880,267.7771,92.2725,0,U,26931,999,16464,.22369E-3,.508E-5,0
SAUDISAT 1C (SO-50),2002-058C,2024-01-20T06:24:59.268960,14.78215535,.0042823,64.5565,318.9956,173.0144,187.1566,0,U,27607,999,13430,.32692E-3,.2271E-4,0
CUTE-1 (CO-55),2003-031E,2024-01-19T23:18:20.842848,14.23043681,.0009166,98.6789,29.0922,212.4029,147.6587,0,U,27844,999,6656,.32585E-3,.691E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2024-01-19T23:44:08.503584,14.22517172,.00088,98.6821,29.4329,229.3532,130.6881,0,U,27848,999,6632,.27986E-3,.581E-5,0
MOZHAYETS 4 (RS-22),2003-042A,2024-01-20T19:07:15.167712,14.69236684,.0012513,98.2674,174.9157,164.1930,327.5908,0,U,27939,999,8648,.41414E-3,.2393E-4,0
CUBESAT XI-V,2005-043F,2024-01-20T08:48:30.910752,14.66751653,.0017113,98.1778,156.3081,106.5858,253.7226,0,U,28895,999,97263,.56276E-3,.3094E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2024-01-20T21:30:10.383264,14.94605557,.0013164,97.7354,347.8891,98.6475,261.6237,0,U,32785,999,85338,.64702E-3,.6962E-4,0
SEEDS II (CO-66),2008-021J,2024-01-19T21:49:52.165920,15.00325185,.0009665,97.6789,352.4561,61.9102,298.3098,0,U,32791,999,85419,.87047E-3,.10878E-3,0
YUBILEINY (RS-30),2008-025A,2024-01-20T19:49:35.764896,12.43134540,.0019827,82.5033,181.7429,70.6377,289.6844,0,U,32953,999,71069,.29079E-3,.5E-6,0
KKS-1 (KISEKI),2009-002H,2024-01-20T18:54:47.643552,14.77980365,.0007276,98.1533,280.7131,245.8676,114.1774,0,U,33499,999,80662,.38511E-3,.2725E-4,0
SWISSCUBE,2009-051B,2024-01-20T14:14:50.648928,14.58452746,.0008433,98.4924,260.8262,60.4640,299.7398,0,U,35932,999,76093,.47042E-3,.2135E-4,0
BEESAT-1,2009-051C,2024-01-20T13:48:42.448320,14.58267761,.0006836,98.4850,261.9003,71.9222,288.2720,0,U,35933,999,76096,.40954E-3,.1844E-4,0
ITUPSAT1,2009-051E,2024-01-20T13:18:51.333984,14.57267601,.0009113,98.4952,261.7365,76.2913,283.9299,0,U,35935,999,76061,.39038E-3,.1718E-4,0
XIWANG-1 (HOPE-1),2009-072B,2024-01-20T19:58:10.003008,13.16394082,.0008125,100.2730,343.1434,83.9529,276.2510,0,U,36122,999,67754,.13313E-3,.7E-7,0
JUGNU,2011-058B,2024-01-20T20:05:33.024192,14.13100499,.0018804,19.9599,242.2705,99.8044,353.2366,0,U,37839,999,63471,.22258E-3,.689E-5,0
SRMSAT,2011-058D,2024-01-20T06:40:38.444736,14.11020356,.0011685,19.9738,337.3563,257.2596,246.2947,0,U,37841,999,63350,.19522E-3,.621E-5,0
M-CUBED & EXP-1 PRIME,2011-061F,2024-01-20T05:11:57.962112,15.44078585,.008219,101.6889,112.6190,87.3263,273.7374,0,U,37855,999,66983,.1228E-2,.64018E-3,0
STRAND-1,2013-009E,2024-01-20T12:15:39.278592,14.35856463,.0008619,98.3801,212.8867,343.5958,16.4948,0,U,39090,999,57090,.2599E-3,.711E-5,0
BEESAT-2,2013-015G,2024-01-20T03:56:49.197984,15.92681067,.0006306,64.8482,326.9751,243.4971,116.5546,0,U,39136,999,59542,.20476E-2,.70712E-2,.21198E-3
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-01-20T20:42:48.521376,14.87232590,.0051075,97.7149,340.5720,291.4880,68.0895,0,U,39417,999,54952,.70626E-3,.6461E-4,0
