OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2024-01-20T19:59:58.734816,14.45132536,.0042523,24.9680,227.2519,207.3680,258.0463,0,U,22490,999,63427,.16014E-3,.761E-5,0
TECHSAT 1B (GO-32),1998-043D,2024-01-20T11:44:41.515296,14.23972999,.0000804,98.9012,345.1678,175.7516,184.3669,0,U,25397,999,32625,.12217E-3,.235E-5,0
SCD 2,1998-060A,2024-01-20T13:46:33.504096,14.44620249,.0016957,24.9963,87.2860,203.2592,302.8470,0,U,25504,999,33309,.18033E-3,.817E-5,0
LANDSAT 7,1999-020A,2024-01-20T20:12:15.081408,14.60425550,.0001677,97.9057,54.5263,90.4405,23.5255,0,U,25682,999,31754,.17871E-3,.822E-5,0
DLR-TUBSAT,1999-029B,2024-01-20T18:50:35.559456,14.51798305,.0015064,98.5655,341.6079,139.6365,220.5950,0,U,25757,999,30586,.91913E-4,.323E-5,0
TERRA,1999-068A,2024-01-20T19:48:15.316128,14.59547188,.0003093,98.0695,88.5634,101.4814,14.8739,0,U,25994,999,28152,.20161E-3,.913E-5,0
MAROC-TUBSAT,2001-056D,2024-01-20T10:45:51.008256,13.70193157,.0019216,99.7076,173.4446,234.6764,196.0940,0,U,27004,999,10584,.6111E-4,.8E-7,0
AQUA,2002-022A,2024-01-20T19:59:54.966912,14.58779499,.0000895,98.3137,329.8673,112.1178,300.6482,0,U,27424,999,15508,.42884E-3,.1957E-4,0
IRS-P6 (RESOURCESAT-1),2003-046A,2024-01-20T16:48:35.456832,14.35708472,.0061169,98.3320,83.5111,89.4994,25.4904,0,U,28051,999,5449,.16247E-3,.438E-5,0
SHIYAN 1 (SY-1),2004-012A,2024-01-20T13:47:31.765344,15.08816670,.0010173,97.9804,42.2894,164.9478,195.2054,0,U,28220,999,7774,.52077E-3,.8136E-4,0
