OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2433 (720),2007-052A,2024-01-19T01:20:38.391360,2.13103902,.0004742,65.9861,345.3854,271.7320,88.2108,0,U,32275,999,12630,0,-.7E-6,0
COSMOS 2432 (719),2007-052B,2024-01-19T07:31:36.519168,2.13103186,.0012132,66.0006,345.4879,320.5636,183.6772,0,U,32276,999,12633,0,-.72E-6,0
COSMOS 2434 (721),2007-065A,2024-01-20T14:30:51.853248,2.13103092,.0005115,64.3261,221.6117,74.5999,285.1825,0,U,32393,999,12504,0,.112E-5,0
COSMOS 2436 (723),2007-065C,2024-01-20T12:13:58.726272,2.13102762,.0017288,64.3350,221.6778,9.3479,52.8456,0,U,32395,999,12500,0,.112E-5,0
COSMOS 2456 (730),2009-070A,2024-01-20T09:42:43.576992,2.13098889,.0004054,64.5462,101.0644,295.6543,67.6820,0,U,36111,999,10970,0,-.51E-6,0
COSMOS 2457 (733),2009-070B,2024-01-20T07:07:00.789888,2.13101081,.0004863,64.5305,100.9302,175.6015,236.6555,0,U,36112,999,10970,0,-.5E-6,0
COSMOS 2460 (732),2010-007C,2024-01-20T09:13:47.598816,2.13106151,.0002655,65.8451,344.0331,308.2198,161.6409,0,U,36402,999,10800,0,-.8E-6,0
COSMOS 2476 (744),2011-064A,2024-01-20T12:11:57.909696,2.13101590,.0023719,64.8233,102.6404,236.0517,117.3167,0,U,37867,999,9503,0,-.5E-6,0
COSMOS 2477 (745),2011-064B,2024-01-20T08:45:22.842144,2.13101372,.0020903,64.8303,102.7162,236.8120,184.2971,0,U,37868,999,9503,0,-.5E-6,0
COSMOS 2475 (743),2011-064C,2024-01-20T10:19:42.419712,2.13101558,.0025508,64.8376,102.7275,252.1156,177.8452,0,U,37869,999,9504,0,-.5E-6,0
COSMOS 2485 (747),2013-019A,2024-01-20T11:00:46.018944,2.13101605,.0024048,64.9824,103.1951,232.2114,127.6022,0,U,39155,999,8355,0,-.5E-6,0
COSMOS 2492 (754),2014-012A,2024-01-20T09:56:33.821376,2.13103054,.0015147,65.7278,343.6308,318.4954,41.3833,0,U,39620,999,7651,0,-.81E-6,0
COSMOS 2500 (755),2014-032A,2024-01-20T03:02:05.613504,2.13105961,.0006529,65.6658,343.4572,226.3250,133.6156,0,U,40001,999,7472,0,-.79E-6,0
COSMOS 2501 (702K),2014-075A,2024-01-20T09:04:28.557120,2.13101301,.0018022,63.6288,220.8519,203.4130,156.5545,0,U,40315,999,7112,0,.111E-5,0
COSMOS 2514 (751),2016-008A,2024-01-20T08:38:02.502816,2.13102590,.0010505,65.4616,342.9962,225.6783,134.2298,0,U,41330,999,6189,0,-.81E-6,0
COSMOS 2522 (752),2017-055A,2024-01-17T20:30:45.738720,2.13101884,.0005242,64.0895,221.9437,230.7695,129.2312,0,U,42939,999,4919,0,.95E-6,0
COSMOS 2527 (756),2018-053A,2024-01-19T16:34:18.050880,2.13102164,.0009287,65.1429,103.3421,230.7774,129.1720,0,U,43508,999,4353,0,-.46E-6,0
COSMOS 2529 (757),2018-086A,2024-01-18T09:10:06.210912,2.13101989,.0006637,64.3051,222.3978,265.8809,94.0920,0,U,43687,999,4051,0,.99E-6,0
COSMOS 2534 (758),2019-030A,2024-01-20T13:02:44.199168,2.13101950,.0009335,64.3777,222.2634,293.0417,59.4024,0,U,44299,999,3619,0,.112E-5,0
COSMOS 2544 (759),2019-088A,2024-01-19T15:13:28.741152,2.13102064,.0014019,65.1291,103.1840,254.2670,105.6104,0,U,44850,999,3195,0,-.46E-6,0
COSMOS 2545 (760),2020-018A,2024-01-20T07:12:41.799456,2.13102500,.0010767,64.8022,343.1307,257.9875,101.8863,0,U,45358,999,2993,0,-.82E-6,0
COSMOS 2547 (705K),2020-075A,2024-01-20T11:43:59.179296,2.13102921,.000531,64.6059,221.8627,235.2002,124.8016,0,U,46805,999,2518,0,.112E-5,0
COSMOS 2557 (706K),2022-075A,2024-01-20T04:23:35.117376,2.13101765,.0013838,64.7234,345.2795,283.8346,76.0065,0,U,52984,999,1198,0,-.8E-6,0
COSMOS 2559 (707K),2022-130A,2024-01-20T03:00:41.334624,2.13101070,.00069,64.6948,345.4044,239.1991,120.7284,0,U,54031,999,995,0,-.8E-6,0
COSMOS 2564 (761),2022-161A,2024-01-19T20:21:55.299744,2.13102113,.0007197,64.7469,221.9620,206.2548,153.7598,0,U,54377,999,889,0,.111E-5,0
COSMOS 2569 (703K),2023-114A,2024-01-20T08:04:10.618464,2.13104246,.0011097,64.8539,102.3639,291.4024,68.5120,0,U,57517,999,353,0,-.5E-6,0
