OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GOES 1 (SMS-C) [-],1975-100A,2024-01-20T14:09:16.691328,1.00283900,.0003278,6.8402,288.3965,325.1057,310.1811,0,U,8366,999,17625,0,.65E-6,0
GOES 2 [-],1977-048A,2024-01-19T23:11:10.860288,0.99397155,.0012378,8.5080,301.1498,31.8147,166.3655,0,U,10061,999,3753,0,.69E-6,0
GOES 3 [-],1978-062A,2024-01-20T15:37:46.845696,0.99365057,.0000486,8.8898,306.1170,266.7345,316.0775,0,U,10953,999,11980,0,-.144E-5,0
GOES 4 [-],1980-074A,2024-01-20T04:02:51.729792,0.99232833,.003165,9.8995,309.9576,87.1071,113.3004,0,U,11964,999,11871,0,-.241E-5,0
GOES 5 [-],1981-049A,2024-01-20T12:21:51.374880,1.00237410,.0001897,10.9351,321.8508,286.9071,279.5879,0,U,12472,999,11403,0,.95E-6,0
GOES 6 [-],1983-041A,2024-01-20T12:22:41.581056,1.00264534,.0002314,11.5972,327.2979,195.2783,8.2705,0,U,14050,999,20720,0,.68E-6,0
GOES 7 [-],1987-022A,2024-01-20T13:00:22.336416,0.99907225,.0002817,13.7289,343.9645,56.2475,99.4934,0,U,17561,999,11818,0,-.2E-7,0
GOES 8 [-],1994-022A,2024-01-20T04:16:38.794656,0.98906323,.0003467,13.6720,20.0941,25.7267,156.1939,0,U,23051,999,11543,0,-.109E-5,0
GOES 9 [-],1995-025A,2024-01-20T01:03:35.311680,0.98797618,.000456,13.1766,20.6567,151.9292,27.0713,0,U,23581,999,10407,0,.34E-6,0
GOES 10 [-],1997-019A,2024-01-20T14:45:27.968256,0.99121533,.0029646,12.0877,27.0586,216.5237,151.2361,0,U,24786,999,9735,0,.63E-6,0
GOES 11 [-],2000-022A,2024-01-20T12:19:42.720960,0.99041399,.0004378,9.9245,54.5204,225.4678,134.7762,0,U,26352,999,4376,0,-.162E-5,0
GOES 12 [-],2001-031A,2024-01-20T17:16:19.545888,0.99136412,.0007222,10.5724,44.1951,290.7058,264.6343,0,U,26871,999,8202,0,.49E-6,0
EWS-G1 (GOES 13) [+],2006-018A,2024-01-20T13:09:42.661152,0.99155517,.0088033,2.2378,87.0713,248.5079,100.8639,0,U,29155,999,3455,0,-.224E-5,0
GOES 14 [B],2009-033A,2024-01-20T14:36:36.324000,1.00272380,.0000598,0.0712,227.7070,97.7744,264.5781,0,U,35491,999,5330,0,-.61E-6,0
GOES 15 [B],2010-008A,2024-01-20T18:13:58.176768,1.00277184,.0005901,0.0739,258.4364,10.0149,186.3095,0,U,36411,999,5082,0,.39E-6,0
GOES 16 [+],2016-071A,2024-01-20T10:42:14.043168,1.00270919,.0001225,0.0758,251.5923,72.6635,240.3909,0,U,41866,999,2629,0,-.243E-5,0
GOES 17 [+],2018-022A,2024-01-20T14:39:58.576896,1.00271551,.0001907,0.0288,174.8874,102.0526,317.8414,0,U,43226,999,2161,0,-.86E-6,0
GOES 18 [+],2022-021A,2024-01-19T10:39:28.950048,1.00272603,.0000637,0.0218,176.3277,73.8309,251.0249,0,U,51850,999,696,0,.102E-5,0
