OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SYNCOM 2 (A 26),1963-031A,2024-01-19T19:56:11.660928,1.00253643,.0008174,31.8341,312.7636,190.4726,345.5275,0,U,634,999,22153,0,-.62E-6,0
SYNCOM 3,1964-047A,2024-01-20T12:57:30.472128,1.00319081,.0002671,4.8059,72.8155,152.9251,272.3574,0,U,858,999,4465,0,.81E-6,0
DELTA 1 R/B,1964-047B,2024-01-17T21:38:18.416256,2.05098377,.7126007,15.6976,225.9943,274.3671,14.3578,0,U,862,999,24007,0,.229E-5,0
INTELSAT 1-F1,1965-028A,2024-01-20T13:25:39.084960,1.00287419,.00048,5.0055,71.9889,124.5841,326.5895,0,U,1317,999,11836,0,.131E-5,0
DELTA 1 R/B(2),1965-028B,2024-01-20T09:00:57.261600,2.11828165,.693428,17.0919,148.5049,62.0444,355.6263,0,U,1318,999,8870,0,.35E-6,0
INTELSAT 2-F1,1966-096A,2024-01-16T01:50:06.767808,2.00385463,.6420275,16.8351,226.1056,229.4717,53.8698,0,U,2514,999,29593,0,-.114E-5,0
ATS 1,1966-110A,2024-01-20T15:10:17.955264,1.00393338,.000504,2.7656,76.7441,163.9034,11.3410,0,U,2608,999,12597,0,-.167E-5,0
INTELSAT 2-F2,1967-001A,2024-01-20T15:09:35.234784,1.00258609,.0007705,0.9906,83.8178,183.7224,235.2629,0,U,2639,999,11044,0,-.148E-5,0
INTELSAT 2-F3,1967-026A,2024-01-20T02:39:49.725216,1.00173411,.0018992,1.9219,68.2201,209.6687,281.9661,0,U,2717,999,11508,0,.152E-5,0
TITAN 3C TRANSTAGE R/B,1967-040F,2024-01-22T16:23:50.904384,0.50946829,.8049921,16.7563,241.7452,298.1636,359.5120,0,U,2770,999,1891,0,-.395E-5,0
INTELSAT 2-F4,1967-094A,2024-01-20T09:07:59.931264,1.00223855,.0011209,1.8297,81.5107,124.9854,5.4068,0,U,2969,999,10650,0,-.272E-5,0
ATS 3,1967-111A,2024-01-20T14:39:58.569120,1.00271798,.0017241,0.9094,87.0199,11.3358,135.9484,0,U,3029,999,20581,0,-.85E-6,0
OPS 2222,1968-063A,2024-01-20T09:56:35.817216,0.99249884,.0936207,8.1807,292.8230,206.0713,356.5415,0,U,3334,999,1740,0,.64E-6,0
OV2-5,1968-081A,2024-01-20T13:57:14.052960,1.01559709,.0082387,1.1558,339.7831,337.8836,234.9754,0,U,3428,999,11213,0,-.68E-6,0
LES-6,1968-081D,2024-01-20T14:02:36.551328,1.00349870,.0008789,1.5134,319.2850,8.8620,266.4593,0,U,3431,999,11197,0,-.155E-5,0
TITAN 3C TRANSTAGE R/B,1968-081E,2024-01-20T10:48:21.002976,1.01518846,.0097224,1.1554,337.7159,333.9459,262.1052,0,U,3432,999,11306,0,-.216E-5,0
OPS 0757 (TACSAT),1969-013A,2024-01-20T17:19:50.070720,1.00441468,.0019997,0.6468,65.6442,174.9499,11.5175,0,U,3691,999,18864,0,.31E-6,0
TITAN 3C TRANSTAGE R/B,1969-013B,2024-01-20T17:02:55.036608,0.97536908,.0172747,1.0444,282.4823,179.6260,84.9132,0,U,3692,999,10362,0,-.251E-5,0
OPS 6909 (VELA 9),1969-046D,2024-01-19T20:54:41.756832,0.21514318,.6770483,82.5994,51.6799,124.1899,0.6935,0,U,3954,999,1112,0,.606E-5,0
OPS 6911 (VELA 10),1969-046E,2024-01-21T06:29:07.537632,0.21374846,.8400093,31.6492,126.6074,104.4720,1.2314,0,U,3955,999,513,0,.953E-5,0
TITAN 3C TRANSTAGE R/B,1969-046F,2024-01-21T11:44:10.752576,0.46191322,.8162393,15.5354,11.5100,273.1302,0.2202,0,U,3956,999,1712,0,-.1179E-4,0
ATLAS CENTAUR R/B,1969-069B,2024-01-20T14:48:57.721536,2.04798717,.6653686,16.9288,123.1811,234.6903,44.0621,0,U,4069,999,40735,0,-.106E-5,0
SKYNET 1A,1969-101A,2024-01-20T14:41:39.806592,1.00268551,.0023067,1.8381,277.9686,307.6986,10.4842,0,U,4250,999,12570,0,-.89E-6,0
NATO 2A,1970-021A,2024-01-20T14:41:39.417792,1.00280631,.0001783,2.5922,285.1107,272.6771,38.5975,0,U,4353,999,11707,0,-.93E-6,0
INTELSAT 3-F7,1970-032A,2024-01-19T14:46:10.454592,1.00209935,.0003025,0.3036,159.9320,149.2071,50.8108,0,U,4376,999,3854,0,.121E-5,0
INTELSAT 3-F8,1970-055A,2024-01-20T15:22:25.048416,1.02262389,.0315272,3.2915,78.1135,88.9924,348.1331,0,U,4478,999,11384,0,.19E-6,0
OPS 7329,1970-069A,2024-01-20T07:50:42.614304,1.00326259,.0999713,10.3179,184.5855,73.8789,296.8764,0,U,4510,999,1598,0,-.272E-5,0
ATLAS AGENA D R/B,1970-046B,2024-01-20T10:47:01.367232,1.00449680,.0030477,0.5829,269.0430,108.1285,342.9066,0,U,4511,999,1672,0,-.161E-5,0
OPS 5960 (DSP 1),1970-093A,2024-01-20T07:58:42.763296,1.20217282,.1387206,13.7106,52.4957,240.2700,309.6635,0,U,4630,999,23327,0,-.155E-5,0
TITAN 3C TRANSTAGE R/B,1970-093B,2024-01-20T09:06:12.471264,1.20232113,.1393025,13.7179,52.1569,240.3891,120.1436,0,U,4632,999,13184,0,-.156E-5,0
ATLAS CENTAUR R/B,1971-006B,2024-01-19T16:10:33.456576,2.20709414,.718327,27.4507,178.3592,315.3906,312.8553,0,U,4882,999,42376,.17374E-3,-.64E-6,0
NATO 2B,1971-009A,2024-01-20T14:39:43.373952,1.00271641,.0003274,3.3914,272.4152,196.4795,125.7416,0,U,4902,999,10982,0,-.8E-6,0
TITAN 34B AGENA D R/B,1971-021B,2024-01-18T04:41:10.114944,2.19920809,.6979462,63.4291,155.8641,268.2394,17.7890,0,U,5054,999,3773,0,.218E-5,0
OPS 9431 (DSCS 2-1),1971-095A,2024-01-20T14:46:51.900672,1.00263569,.0004197,3.8515,274.5122,331.7280,354.7898,0,U,5587,999,11320,0,-.108E-5,0
OPS 9432 (DSCS 2-2),1971-095B,2024-01-20T02:25:25.065120,1.00302259,.0003359,3.8177,275.2262,53.3454,177.2621,0,U,5588,999,3854,0,-.61E-6,0
TITAN 3C TRANSTAGE R/B,1971-095C,2024-01-20T13:50:42.489888,0.97189120,.01672,5.6123,284.1045,164.1722,21.9600,0,U,5589,999,11088,0,-.228E-5,0
