OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M001 [-],1998-008A,2024-01-20T07:30:29.861568,12.38174003,.0001524,52.0055,28.8502,246.3692,218.9490,0,U,25162,999,18005,-.92566E-4,-.109E-5,0
GLOBALSTAR M004 [-],1998-008B,2024-01-20T14:58:58.243872,12.63348814,.000246,51.9973,180.8529,210.2437,229.4814,0,U,25163,999,19687,.21343E-3,-.65E-6,0
GLOBALSTAR M002 [-],1998-008C,2024-01-20T13:44:23.154144,11.61497033,.0000925,52.0018,87.9942,254.1082,105.9636,0,U,25164,999,12438,-.47377E-3,-.101E-5,0
GLOBALSTAR M003 [-],1998-008D,2024-01-20T18:39:43.284384,12.11969920,.0007435,51.9807,150.5208,344.9021,163.7617,0,U,25165,999,17105,.14449E-2,.46E-6,0
GLOBALSTAR M014 [-],1998-023A,2024-01-20T05:27:16.289568,11.65463465,.0000898,51.9866,22.8879,132.2563,308.4792,0,U,25306,999,13124,.45998E-3,-.53E-6,0
GLOBALSTAR M006 [-],1998-023B,2024-01-20T06:26:32.667360,11.58156743,.0003621,51.9951,56.0493,259.9449,180.5164,0,U,25307,999,15728,-.45341E-3,-.98E-6,0
GLOBALSTAR M015 [-],1998-023C,2024-01-20T15:20:49.831296,11.48858756,.0011954,51.9817,130.0623,236.7205,230.9199,0,U,25308,999,13542,.10405E-2,-.28E-6,0
GLOBALSTAR M008 [-],1998-023D,2024-01-20T19:54:57.272256,12.36034995,.000258,51.9946,246.3658,149.4646,291.6225,0,U,25309,999,17467,.22907E-3,-.67E-6,0
GLOBALSTAR M023 [+],1999-004A,2024-01-20T14:53:11.548320,12.62443631,.0011068,52.0086,177.1860,73.7451,6.4269,0,U,25621,999,15095,.31527E-3,-.47E-6,0
GLOBALSTAR M040 [-],1999-004B,2024-01-20T15:14:31.402752,12.61965426,.000107,51.9896,180.5450,59.1601,22.6960,0,U,25622,999,15071,.34517E-3,-.42E-6,0
GLOBALSTAR M036 [-],1999-004C,2024-01-20T16:56:01.978080,11.86559099,.0012236,51.9951,153.6941,146.0392,321.5391,0,U,25623,999,11800,.26669E-3,-.64E-6,0
GLOBALSTAR M038 [-],1999-004D,2024-01-20T10:21:06.725376,12.32491736,.0002288,51.9973,111.0822,81.3347,358.4621,0,U,25624,999,13902,.19122E-3,-.72E-6,0
GLOBALSTAR M022 [-],1999-012A,2024-01-20T19:03:32.982336,12.02476755,.000163,52.0016,246.5115,218.9741,220.6289,0,U,25649,999,11469,.48433E-3,-.47E-6,0
GLOBALSTAR M041 [-],1999-012B,2024-01-20T12:31:23.696256,11.96653152,.0002144,52.0021,113.0398,46.6493,313.4522,0,U,25650,999,11678,.42532E-3,-.52E-6,0
GLOBALSTAR M046 [-],1999-012C,2024-01-19T23:14:51.086976,12.09383573,.0001492,52.0020,217.6564,337.8422,189.4405,0,U,25651,999,12179,.15219E-2,.49E-6,0
GLOBALSTAR M037 [+],1999-012D,2024-01-20T04:41:57.676416,12.62393612,.0002144,52.0022,309.2979,111.0823,36.5070,0,U,25652,999,14635,.25034E-3,-.59E-6,0
GLOBALSTAR M045 [-],1999-019A,2024-01-20T06:47:08.018880,12.27027270,.0000669,51.9998,329.9646,332.7268,175.0627,0,U,25676,999,13030,.51618E-3,-.35E-6,0
GLOBALSTAR M019 [-],1999-019B,2024-01-20T13:04:04.552032,12.13848792,.0000562,51.9880,63.4482,27.7574,119.6024,0,U,25677,999,12276,.96296E-3,.2E-7,0
GLOBALSTAR M044 [-],1999-019C,2024-01-20T17:17:37.362048,11.90227336,.0006536,51.9992,310.0862,124.9635,238.9991,0,U,25678,999,11016,.26231E-3,-.65E-6,0
GLOBALSTAR M042 [-],1999-019D,2024-01-20T10:19:01.488576,12.22054536,.0002619,52.0024,61.2673,320.3487,143.7061,0,U,25679,999,12244,.38154E-3,-.52E-6,0
GLOBALSTAR M025 [-],1999-031A,2024-01-20T02:09:24.681600,11.22548717,.0001983,51.9808,270.2102,31.7206,117.7714,0,U,25770,999,42397,.23854E-3,-.6E-6,0
GLOBALSTAR M049 [-],1999-031B,2024-01-20T03:11:17.328480,11.12102493,.0002292,51.9871,279.0399,227.7215,132.3387,0,U,25771,999,6023,.11589E-2,-.32E-6,0
GLOBALSTAR M047 [-],1999-031C,2024-01-20T06:50:36.905568,11.31917791,.0016613,51.9866,324.7587,98.7789,261.4899,0,U,25772,999,41291,.36168E-3,-.57E-6,0
GLOBALSTAR M052 [-],1999-031D,2024-01-20T05:01:51.143808,11.15047618,.0002445,51.9889,34.7620,44.2971,35.7654,0,U,25773,999,42117,.139E-2,-.24E-6,0
GLOBALSTAR M035 [-],1999-037A,2024-01-20T13:08:32.876736,11.04528342,.0013543,51.9950,120.4143,224.9337,228.0081,0,U,25851,999,3950,.16584E-2,-.2E-6,0
GLOBALSTAR M032 [-],1999-037B,2024-01-20T06:33:01.981440,11.19049953,.0009569,51.9988,341.6884,21.0352,339.0840,0,U,25852,999,7725,.87084E-3,-.4E-6,0
GLOBALSTAR M051 [-],1999-037C,2024-01-20T18:58:42.414816,11.42195975,.0002153,51.9756,199.3845,47.0797,313.0194,0,U,25853,999,7374,.73254E-3,-.42E-6,0
GLOBALSTAR M030 [-],1999-037D,2024-01-20T11:56:15.454176,11.55086908,.0004269,51.9897,38.8588,202.8644,157.1983,0,U,25854,999,9078,-.78789E-4,-.79E-6,0
GLOBALSTAR M048 [-],1999-041A,2024-01-20T12:22:59.962656,11.33842605,.0012864,51.9368,115.2167,19.4816,68.7828,0,U,25872,999,6671,-.10432E-3,-.74E-6,0
GLOBALSTAR M026 [-],1999-041B,2024-01-20T00:44:39.302880,11.06835331,.0002132,51.9980,244.9491,100.7661,49.6649,0,U,25873,999,9155,.27204E-3,-.57E-6,0
GLOBALSTAR M043 [-],1999-041C,2024-01-19T18:46:47.090208,11.25674245,.0013443,51.9358,204.1004,151.5258,303.4141,0,U,25874,999,6494,.71291E-3,-.44E-6,0
GLOBALSTAR M028 [-],1999-041D,2024-01-20T03:41:32.808480,12.50548510,.0064266,51.9630,285.7790,35.4559,325.0549,0,U,25875,999,12586,.24539E-3,-.63E-6,0
GLOBALSTAR M024 [-],1999-043A,2024-01-20T15:06:55.052640,11.10153986,.0000767,52.0014,99.3720,352.4325,157.6641,0,U,25883,999,5782,-.15718E-2,-.109E-5,0
GLOBALSTAR M027 [-],1999-043B,2024-01-20T13:34:09.276960,11.04367325,.0020648,52.0188,162.9501,239.6805,120.1946,0,U,25884,999,8449,.13614E-2,-.27E-6,0
GLOBALSTAR M054 [-],1999-043C,2024-01-20T07:32:14.422848,11.39202924,.0004381,52.0170,17.0443,10.1697,94.4609,0,U,25885,999,6048,.54287E-3,-.5E-6,0
GLOBALSTAR M053 [-],1999-043D,2024-01-20T03:31:35.948640,11.27652918,.0003078,51.9997,296.0272,302.8193,206.1000,0,U,25886,999,6145,.13741E-3,-.64E-6,0
GLOBALSTAR M058 [-],1999-049A,2024-01-20T08:55:08.993568,11.93173162,.0002242,51.9957,41.1645,8.1200,351.9670,0,U,25907,999,48020,.4093E-3,-.54E-6,0
GLOBALSTAR M050 [-],1999-049B,2024-01-20T13:45:33.678144,12.07426365,.0009469,51.9992,86.6726,91.9822,56.1273,0,U,25908,999,8614,-.61365E-4,-.94E-6,0
GLOBALSTAR M033 [-],1999-049C,2024-01-20T06:45:34.597152,12.20263406,.001145,51.9938,354.8044,296.8138,63.1538,0,U,25909,999,47300,.81931E-3,-.6E-7,0
GLOBALSTAR M055 [-],1999-049D,2024-01-20T04:29:09.060288,12.29393721,.0007198,52.0036,30.8286,144.0287,216.1050,0,U,25910,999,10506,.75152E-4,-.85E-6,0
GLOBALSTAR M057 [-],1999-058A,2024-01-20T07:27:19.108512,12.24778705,.0002785,52.0016,6.5183,31.7707,328.3310,0,U,25943,999,10396,-.26936E-3,-.123E-5,0
GLOBALSTAR M059 [-],1999-058B,2024-01-20T13:34:35.718816,11.99960285,.0001296,52.0002,156.6553,98.0292,343.2240,0,U,25944,999,51238,.10743E-3,-.78E-6,0
GLOBALSTAR M056 [-],1999-058C,2024-01-20T15:00:54.010368,12.04775079,.0000938,51.9942,171.6449,151.9952,291.1340,0,U,25945,999,10072,.95508E-4,-.79E-6,0
GLOBALSTAR M031 [-],1999-058D,2024-01-20T16:51:32.177664,12.16001247,.0001699,51.9966,94.4852,192.0249,342.1300,0,U,25946,999,10231,.10704E-2,.15E-6,0
GLOBALSTAR M039 [-],1999-062A,2024-01-20T04:43:53.548320,12.62279506,.0002561,51.9861,34.1661,288.2488,71.8100,0,U,25961,999,11530,.26152E-3,-.57E-6,0
GLOBALSTAR M034 [-],1999-062B,2024-01-20T14:43:59.505888,11.79423095,.0014223,51.9862,266.3541,147.7009,221.5421,0,U,25962,999,7777,.74553E-3,-.34E-6,0
GLOBALSTAR M029 [-],1999-062C,2024-01-20T09:03:49.451616,11.99872765,.0002893,51.9818,45.6404,184.7689,277.1303,0,U,25963,999,10744,.18005E-3,-.72E-6,0
GLOBALSTAR M061 [-],1999-062D,2024-01-20T14:10:11.885376,11.76757801,.000633,51.9798,83.6417,84.9164,63.9285,0,U,25964,999,6071,.11138E-2,-.12E-6,0
GLOBALSTAR M063 [+],2000-008A,2024-01-20T07:15:07.458624,11.86149957,.0004618,51.9976,24.9350,51.0943,48.7215,0,U,26081,999,9659,.34416E-3,-.59E-6,0
GLOBALSTAR M062 [-],2000-008B,2024-01-20T19:34:28.708320,12.43426093,.0008185,51.9829,165.4017,98.1792,53.3340,0,U,26082,999,9525,.32795E-3,-.52E-6,0
GLOBALSTAR M060 [-],2000-008C,2024-01-20T06:43:33.903264,12.17622610,.0003748,52.0033,54.2827,160.0510,280.6118,0,U,26083,999,8976,-.20766E-3,-.112E-5,0
GLOBALSTAR M064 [-],2000-008D,2024-01-20T17:04:50.262240,11.88514425,.0002412,52.0027,128.7396,140.3311,219.7698,0,U,26084,999,10615,-.89726E-4,-.9E-6,0
GLOBALSTAR M065 [+],2007-020A,2024-01-20T07:16:57.077760,12.61961898,.0009654,51.9920,350.2992,249.2103,258.1543,0,U,31571,999,76852,.69418E-4,-.91E-6,0
GLOBALSTAR M069 [+],2007-020C,2024-01-20T04:11:41.256384,12.62264566,.0001235,51.9970,306.7119,38.8896,107.6920,0,U,31573,999,76963,.2096E-3,-.66E-6,0
GLOBALSTAR M072 [+],2007-020D,2024-01-20T09:35:49.605216,12.62269675,.0000321,52.0097,41.8285,207.2708,261.5932,0,U,31574,999,76793,.15836E-3,-.75E-6,0
