OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GORIZONT 1 [-],1978-118A,2024-01-19T21:40:36.793632,1.00232373,.3303441,11.3126,182.8191,313.2561,23.2482,0,U,11158,999,11410,0,-.156E-5,0
GORIZONT 2 [-],1979-062A,2024-01-20T08:00:12.278880,1.00237837,.0004378,7.8985,295.1830,327.3249,56.0690,0,U,11440,999,12921,0,-.109E-5,0
GORIZONT 3 [-],1979-105A,2024-01-19T21:20:18.318624,1.00198374,.0012208,8.0698,296.7602,234.4750,333.7429,0,U,11648,999,11366,0,.22E-6,0
GORIZONT 4 [-],1980-049A,2024-01-19T16:46:38.860896,0.98630617,.0001989,9.2598,303.0989,339.1391,218.5811,0,U,11841,999,22484,0,-.189E-5,0
GORIZONT 5 [-],1982-020A,2024-01-20T00:45:55.164672,0.98533577,.0033344,10.3124,308.5948,229.5288,315.8316,0,U,13092,999,11293,0,-.159E-5,0
GORIZONT 6 [-],1982-103A,2024-01-20T03:59:43.761408,1.00311580,.0001482,9.2579,308.7781,290.8998,259.2697,0,U,13624,999,11213,0,-.248E-5,0
GORIZONT 7 [-],1983-066A,2024-01-20T02:22:24.615264,0.98349552,.0010791,11.0340,318.6523,325.7659,210.0292,0,U,14160,999,14610,0,-.19E-5,0
GORIZONT 8 [-],1983-118A,2024-01-19T19:59:04.593120,0.98268103,.0029003,11.2387,320.5987,163.7816,15.9087,0,U,14532,999,11186,0,.7E-7,0
GORIZONT 9 [-],1984-041A,2024-01-19T19:59:42.185760,1.00317309,.0004874,10.4201,318.4926,241.7711,302.6232,0,U,14940,999,11312,0,-.184E-5,0
GORIZONT 10 [-],1984-078A,2024-01-20T05:05:10.743360,1.00372108,.0000977,10.5322,319.5153,287.4809,223.8145,0,U,15144,999,14576,0,-.217E-5,0
GORIZONT 11 [-],1985-007A,2024-01-20T06:27:28.389312,1.00185437,.0002346,10.7397,321.5677,195.5782,174.5510,0,U,15484,999,14382,0,-.352E-5,0
GORIZONT 12 [-],1986-044A,2024-01-20T08:06:13.178592,1.00321337,.000262,11.4596,327.0853,275.3040,98.9389,0,U,16769,999,13845,0,-.32E-5,0
GORIZONT 13 [-],1986-090A,2024-01-20T07:32:03.458688,0.96725616,.0014051,13.4487,334.5228,345.1198,182.5196,0,U,17083,999,11014,0,-.79E-6,0
GORIZONT 14 [-],1987-040A,2024-01-20T07:35:04.107264,0.97658068,.0030323,12.2279,325.6787,189.4862,351.6424,0,U,17969,999,11127,0,-.59E-6,0
GORIZONT 15 [-],1988-028A,2024-01-20T02:28:10.478784,0.97829242,.0036174,13.8027,337.1860,172.7880,6.0019,0,U,19017,999,11090,0,-.173E-5,0
GORIZONT 16 [-],1988-071A,2024-01-20T16:36:42.621408,0.99967488,.0012593,12.6418,335.8507,71.8431,59.2432,0,U,19397,999,12944,0,-.248E-5,0
GORIZONT 17 [-],1989-004A,2024-01-20T08:03:35.285184,0.99063671,.0021771,13.2554,339.2922,148.3665,203.2958,0,U,19765,999,12686,0,-.43E-6,0
GORIZONT 18 [-],1989-052A,2024-01-20T03:47:42.515808,0.99403715,.0034428,13.3287,340.5233,328.1147,238.6337,0,U,20107,999,12567,0,-.9E-6,0
GORIZONT 19 [-],1989-081A,2024-01-19T22:43:42.514176,1.00188957,.000458,13.0421,339.6443,227.6492,326.2719,0,U,20263,999,3852,0,-.77E-6,0
GORIZONT 20 [-],1990-054A,2024-01-20T11:21:19.899072,1.00311666,.0006846,13.5433,342.4131,193.4823,175.4200,0,U,20659,999,12288,0,.4E-7,0
GORIZONT 21 [-],1990-094A,2024-01-20T04:10:15.339360,1.00298908,.0006181,13.5718,343.1627,226.5821,328.7278,0,U,20923,999,12163,0,-.47E-6,0
GORIZONT 22 [-],1990-102A,2024-01-20T02:32:03.560928,1.00227430,.0001914,13.5394,343.5853,2.1026,185.2607,0,U,20953,999,12155,0,.59E-6,0
GORIZONT 23 [-],1991-046A,2024-01-20T05:00:42.636384,0.98911085,.0005041,14.3921,347.7921,307.3119,241.9135,0,U,21533,999,3799,0,-.246E-5,0
GORIZONT 24 [-],1991-074A,2024-01-20T07:44:55.839264,0.98442840,.0019653,14.5913,349.7596,239.4272,292.7026,0,U,21759,999,11630,0,-.88E-6,0
GORIZONT 25 [-],1992-017A,2024-01-20T17:44:31.268256,0.99855192,.0027171,14.1215,348.9869,96.1561,259.8450,0,U,21922,999,11616,0,-.296E-5,0
GORIZONT 26 [-],1992-043A,2024-01-20T12:52:07.625568,0.99246097,.0032918,14.3387,351.0726,248.8001,211.2641,0,U,22041,999,11475,0,-.321E-5,0
GORIZONT 27 [-],1992-082A,2024-01-19T20:54:35.405568,1.00150360,.0010975,14.2474,350.5296,15.2698,342.2823,0,U,22245,999,11830,0,-.218E-5,0
GORIZONT 28 [-],1993-069A,2024-01-20T18:01:42.706272,0.99659553,.0033353,14.4803,354.4778,148.5757,50.3444,0,U,22880,999,11038,0,-.222E-5,0
GORIZONT 29 [-],1993-072A,2024-01-20T08:51:29.604096,1.00147587,.0009564,14.3794,353.8729,347.4735,38.8166,0,U,22907,999,11037,0,-.368E-5,0
