OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2024-01-20T13:41:13.926912,14.34215169,.0001732,86.3957,95.7369,98.6925,261.4467,0,U,41917,999,36727,.12443E-3,.368E-5,0
IRIDIUM 103,2017-003B,2024-01-20T15:03:26.292096,14.34216960,.0002087,86.3956,95.6147,88.1643,271.9792,0,U,41918,999,36730,-.45734E-5,.7E-7,0
IRIDIUM 109,2017-003C,2024-01-20T16:53:02.257440,14.34217074,.0002401,86.3961,95.6285,97.0502,263.0967,0,U,41919,999,36730,-.99516E-5,-.8E-7,0
IRIDIUM 102,2017-003D,2024-01-20T17:47:50.197344,14.34216418,.0002259,86.3957,95.5548,94.9056,265.2398,0,U,41920,999,36737,.1367E-3,.403E-5,0
IRIDIUM 105,2017-003E,2024-01-20T13:44:49.008480,14.34219725,.0002194,86.3940,64.0252,90.9951,269.1496,0,U,41921,999,36920,.17148E-3,.5E-5,0
IRIDIUM 104,2017-003F,2024-01-20T18:06:06.183936,14.34216923,.0002251,86.3958,95.5788,90.7540,269.3913,0,U,41922,999,36736,.12464E-3,.369E-5,0
IRIDIUM 114,2017-003G,2024-01-20T18:15:14.169888,14.34218117,.0001876,86.3958,95.5625,98.0740,262.0669,0,U,41923,999,36736,.18665E-3,.543E-5,0
IRIDIUM 108,2017-003H,2024-01-20T13:54:34.411680,14.34217375,.000184,86.3936,63.9567,95.9758,264.1648,0,U,41924,999,36917,.67601E-4,.209E-5,0
IRIDIUM 112,2017-003J,2024-01-20T14:36:02.201184,14.34218194,.0002291,86.3955,95.5089,94.6279,265.5178,0,U,41925,999,36734,.10352E-3,.31E-5,0
IRIDIUM 111,2017-003K,2024-01-20T17:38:42.165600,14.34218933,.0002246,86.3955,95.5071,86.5632,273.5821,0,U,41926,999,36741,.18015E-3,.524E-5,0
IRIDIUM 113,2017-039A,2024-01-20T08:47:30.411744,14.34222303,.0002413,86.3999,329.4115,80.8089,279.3380,0,U,42803,999,34522,.19687E-3,.571E-5,0
IRIDIUM 123,2017-039B,2024-01-20T11:27:42.796224,14.34216234,.0002328,86.3982,0.8518,85.3189,274.8273,0,U,42804,999,34400,.98972E-4,.297E-5,0
IRIDIUM 120,2017-039C,2024-01-20T08:38:22.790400,14.34219564,.000218,86.3987,329.3107,84.5522,275.5922,0,U,42805,999,34521,.21386E-3,.619E-5,0
IRIDIUM 115,2017-039D,2024-01-20T08:24:18.716832,14.43303970,.0002369,86.4526,329.3174,82.4365,277.7105,0,U,42806,999,34750,.23499E-3,.811E-5,0
IRIDIUM 118,2017-039E,2024-01-20T10:32:54.907296,14.34219585,.0002196,86.3982,0.8697,87.1693,272.9754,0,U,42807,999,34399,.19849E-3,.576E-5,0
IRIDIUM 117,2017-039F,2024-01-20T11:00:18.664704,14.34216324,.0002238,86.3982,0.8274,81.0144,279.1305,0,U,42808,999,34402,.89553E-4,.271E-5,0
IRIDIUM 126,2017-039G,2024-01-20T11:36:50.937696,14.34217654,.0002399,86.3984,0.8539,82.1857,277.9611,0,U,42809,999,34400,.19755E-3,.573E-5,0
IRIDIUM 124,2017-039H,2024-01-20T06:48:53.944416,14.43293950,.0001886,86.4500,297.6948,87.2589,272.8828,0,U,42810,999,34834,.23966E-3,.827E-5,0
IRIDIUM 128,2017-039J,2024-01-20T13:03:58.523040,14.34216604,.0002122,86.3953,32.3409,86.4899,273.6539,0,U,42811,999,34404,.1725E-3,.503E-5,0
IRIDIUM 121,2017-039K,2024-01-20T10:23:46.939488,14.34218315,.0002246,86.3984,0.8972,88.4753,271.6700,0,U,42812,999,34387,.13422E-3,.396E-5,0
IRIDIUM 133,2017-061A,2024-01-20T13:49:38.972064,14.34217953,.0002329,86.3955,32.4239,88.5931,271.5532,0,U,42955,999,32884,.98364E-4,.295E-5,0
IRIDIUM 100,2017-061B,2024-01-20T13:40:31.018944,14.34215953,.0002165,86.3952,32.3658,88.8272,271.3172,0,U,42956,999,32884,.99124E-4,.297E-5,0
IRIDIUM 122,2017-061C,2024-01-20T12:54:50.259744,14.34217296,.0002127,86.3953,32.3771,85.0885,275.0553,0,U,42957,999,32884,.84193E-4,.256E-5,0
IRIDIUM 129,2017-061D,2024-01-20T13:31:22.965600,14.34218279,.0002229,86.3954,32.4243,86.0042,274.1409,0,U,42958,999,32886,.97597E-4,.293E-5,0
IRIDIUM 119,2017-061E,2024-01-20T12:45:43.470432,14.34217304,.0002313,86.3955,32.4287,85.2910,274.8550,0,U,42959,999,32887,.10056E-3,.301E-5,0
IRIDIUM 107,2017-061F,2024-01-20T13:13:04.898496,14.34215958,.0001978,86.3954,32.4368,84.4430,275.6991,0,U,42960,999,32888,.88443E-4,.267E-5,0
IRIDIUM 132,2017-061G,2024-01-20T13:22:14.808576,14.34217960,.0001997,86.3955,32.4196,83.5309,276.6114,0,U,42961,999,32888,.99304E-4,.298E-5,0
IRIDIUM 136,2017-061H,2024-01-20T14:07:55.243776,14.34217762,.0002425,86.3955,32.4089,87.4333,272.7140,0,U,42962,999,32890,.99032E-4,.297E-5,0
IRIDIUM 139,2017-061J,2024-01-20T12:36:35.052480,14.34217262,.0002019,86.3956,32.4834,85.9186,274.2241,0,U,42963,999,32890,.99859E-4,.299E-5,0
IRIDIUM 125,2017-061K,2024-01-20T13:58:44.962176,14.34215136,.0002279,86.3958,32.5045,81.5614,278.5840,0,U,42964,999,32892,.50701E-4,.162E-5,0
IRIDIUM 135,2017-083A,2024-01-20T08:20:07.097568,14.34216888,.0001984,86.3993,329.3131,91.3315,268.8108,0,U,43070,999,31818,.24749E-4,.89E-6,0
IRIDIUM 138,2017-083B,2024-01-20T08:56:38.972256,14.34217469,.0002252,86.3981,329.0386,77.4427,282.7021,0,U,43071,999,31817,.14222E-3,.418E-5,0
IRIDIUM 116,2017-083C,2024-01-20T08:10:58.222560,14.34222991,.0002172,86.3994,329.3122,89.5054,270.6390,0,U,43072,999,31820,.18471E-3,.537E-5,0
IRIDIUM 130,2017-083D,2024-01-20T09:05:47.715936,14.34217116,.0003634,86.4046,329.4762,58.7606,301.3946,0,U,43073,999,31815,.21198E-3,.613E-5,0
IRIDIUM 151,2017-083E,2024-01-20T08:29:15.144000,14.34215488,.0002457,86.3992,329.3450,87.0509,273.0968,0,U,43074,999,31817,.21122E-3,.611E-5,0
IRIDIUM 134,2017-083F,2024-01-20T09:24:02.416896,14.34215272,.0001981,86.3994,329.3252,82.8237,277.3184,0,U,43075,999,31814,.19804E-3,.574E-5,0
IRIDIUM 137,2017-083G,2024-01-20T09:42:18.942624,14.34216158,.0002199,86.3996,329.3952,93.8784,266.2663,0,U,43076,999,31821,.15746E-3,.461E-5,0
IRIDIUM 141,2017-083H,2024-01-20T14:34:33.205728,14.34210339,.000222,86.3992,329.1907,83.4144,276.7304,0,U,43077,999,31824,.16737E-3,.488E-5,0
IRIDIUM 153,2017-083J,2024-01-20T06:43:51.054528,14.34215711,.0002605,86.3977,297.7795,73.8580,286.2902,0,U,43078,999,31930,.19771E-3,.573E-5,0
IRIDIUM 131,2017-083K,2024-01-20T09:14:54.985632,14.34216638,.0002174,86.3997,329.4107,86.1228,274.0217,0,U,43079,999,31814,.19467E-3,.565E-5,0
IRIDIUM 144,2018-030A,2024-01-20T06:52:59.205504,14.34216785,.0001877,86.3975,297.7287,84.1447,275.9962,0,U,43249,999,30416,-.33545E-4,-.74E-6,0
IRIDIUM 149,2018-030B,2024-01-20T13:43:59.096928,14.34215672,.0001891,86.3973,297.5862,87.4410,272.7002,0,U,43250,999,30422,.14087E-3,.414E-5,0
IRIDIUM 157,2018-030C,2024-01-20T07:29:31.196832,14.34219689,.0002368,86.3975,297.7286,85.8531,274.2935,0,U,43251,999,30416,.15576E-3,.456E-5,0
IRIDIUM 140,2018-030D,2024-01-20T19:40:11.224704,14.34218886,.0001703,86.3977,297.5310,77.3558,282.7828,0,U,43252,999,30429,.69456E-4,.214E-5,0
IRIDIUM 145,2018-030E,2024-01-20T19:21:55.298592,14.34217367,.0001776,86.3973,297.5106,85.6486,274.4913,0,U,43253,999,30422,.15055E-3,.441E-5,0
IRIDIUM 146,2018-030F,2024-01-20T07:11:15.240480,14.34216828,.0001765,86.3974,297.7376,86.8429,273.2968,0,U,43254,999,30416,.13833E-3,.407E-5,0
IRIDIUM 148,2018-030G,2024-01-20T19:49:18.099552,14.34214645,.0002116,86.3976,297.5478,93.9192,266.2246,0,U,43255,999,30428,.20806E-3,.602E-5,0
IRIDIUM 142,2018-030H,2024-01-20T07:20:22.716672,14.34214124,.0001834,86.3972,297.6865,86.9429,273.1976,0,U,43256,999,30416,.17204E-3,.502E-5,0
IRIDIUM 150,2018-030J,2024-01-20T19:58:27.338304,14.34218677,.0001699,86.3975,297.5538,79.1115,281.0271,0,U,43257,999,30428,.19962E-3,.579E-5,0
IRIDIUM 143,2018-030K,2024-01-20T07:47:47.242176,14.34217322,.0001692,86.3981,297.8237,86.8126,273.3263,0,U,43258,999,30412,.18497E-3,.538E-5,0
IRIDIUM 161,2018-047C,2024-01-20T14:36:17.836992,14.43310557,.0002188,86.4479,95.6860,93.0718,267.0733,0,U,43478,999,29841,.19862E-3,.689E-5,0
IRIDIUM 152,2018-047D,2024-01-20T13:50:22.217856,14.34218375,.0002019,86.3952,95.5586,98.7258,261.4166,0,U,43479,999,29655,.17091E-3,.498E-5,0
IRIDIUM 147,2018-047E,2024-01-20T13:59:30.302304,14.34217525,.0002297,86.3953,95.5457,89.9870,270.1589,0,U,43480,999,29655,.22936E-3,.662E-5,0
IRIDIUM 110,2018-047F,2024-01-20T14:08:38.258016,14.34218314,.0002294,86.3960,95.6127,83.2214,276.9243,0,U,43481,999,29654,.10981E-3,.327E-5,0
IRIDIUM 162,2018-047G,2024-01-20T14:27:18.894528,14.43308805,.0002176,86.4478,95.5909,93.2830,266.8620,0,U,43482,999,29840,.19572E-3,.679E-5,0
IRIDIUM 160,2018-061A,2024-01-20T14:31:06.502368,14.34217659,.0002581,86.3937,63.9529,98.3855,261.7633,0,U,43569,999,28744,.86128E-4,.261E-5,0
IRIDIUM 166,2018-061B,2024-01-20T13:27:10.348416,14.34217583,.0001851,86.3938,63.9340,85.1261,275.0146,0,U,43570,999,28746,.71684E-4,.221E-5,0
IRIDIUM 158,2018-061C,2024-01-20T16:02:26.014560,14.34216725,.0001973,86.3937,63.8979,98.4697,261.6723,0,U,43571,999,28745,.16903E-3,.493E-5,0
IRIDIUM 165,2018-061D,2024-01-20T11:37:33.789504,14.34221448,.0001991,86.3938,64.0044,100.6044,259.5376,0,U,43572,999,28744,.13278E-3,.392E-5,0
IRIDIUM 155,2018-061E,2024-01-20T15:44:10.443552,14.34216499,.0002223,86.3935,63.8455,87.8710,272.2740,0,U,43573,999,28744,.12573E-3,.372E-5,0
IRIDIUM 154,2018-061F,2024-01-20T18:37:42.337344,14.34218871,.000241,86.3938,63.8855,96.9438,263.2032,0,U,43574,999,28750,.15703E-3,.46E-5,0
IRIDIUM 163,2018-061G,2024-01-20T14:49:22.251360,14.34216466,.000228,86.3937,63.8947,94.2607,265.8849,0,U,43575,999,28745,.13576E-3,.4E-5,0
IRIDIUM 156,2018-061H,2024-01-20T14:12:49.925664,14.34215907,.000194,86.3940,63.9118,89.2639,270.8779,0,U,43576,999,28744,.14367E-3,.422E-5,0
IRIDIUM 164,2018-061J,2024-01-20T13:45:25.845984,14.34216260,.0002085,86.3942,63.9456,95.6817,264.4617,0,U,43577,999,28748,.1433E-3,.421E-5,0
IRIDIUM 159,2018-061K,2024-01-20T14:40:14.242080,14.34219474,.0002327,86.3937,63.8854,93.9371,266.2091,0,U,43578,999,28745,.16403E-3,.479E-5,0
IRIDIUM 180,2019-002A,2024-01-20T11:18:33.071904,14.34225964,.0002256,86.3982,0.8219,91.9851,268.1604,0,U,43922,999,26304,.19523E-3,.567E-5,0
IRIDIUM 176,2019-002B,2024-01-20T11:20:21.060672,14.72288876,.0002583,86.6112,0.8511,89.3008,270.8505,0,U,43923,999,26996,.31531E-3,.2015E-4,0
IRIDIUM 168,2019-002C,2024-01-20T11:09:26.057952,14.34214905,.0002096,86.3984,0.8771,86.8766,273.2669,0,U,43924,999,26302,.17249E-3,.503E-5,0
IRIDIUM 173,2019-002D,2024-01-20T10:51:10.770336,14.34217190,.0002306,86.3981,0.8074,87.8396,272.3064,0,U,43925,999,26300,.19289E-3,.56E-5,0
IRIDIUM 169,2019-002E,2024-01-20T13:17:59.101728,14.38612304,.0003476,86.4210,32.3679,39.5478,320.5973,0,U,43926,999,26390,.104E-3,.338E-5,0
IRIDIUM 172,2019-002F,2024-01-20T10:42:02.655648,14.34216959,.0002192,86.3980,0.8155,89.2574,270.8873,0,U,43927,999,26301,.19507E-3,.566E-5,0
IRIDIUM 175,2019-002G,2024-01-20T09:33:53.366112,14.72212265,.0002451,86.1531,342.4447,86.7915,273.3582,0,U,43928,999,26994,.32739E-3,.2088E-4,0
IRIDIUM 171,2019-002H,2024-01-20T10:14:38.872320,14.34217134,.0002102,86.3991,1.0322,90.1476,269.9961,0,U,43929,999,26300,.19281E-3,.56E-5,0
IRIDIUM 170,2019-002J,2024-01-20T11:29:17.231424,14.72217849,.0002521,86.6112,0.8532,91.8418,268.3087,0,U,43930,999,26997,.70191E-4,.467E-5,0
IRIDIUM 167,2019-002K,2024-01-20T11:45:58.764672,14.34217237,.0002086,86.3983,0.8113,88.8390,271.3044,0,U,43931,999,26301,.17318E-4,.68E-6,0
IRIDIUM 181,2023-068S,2024-01-20T13:28:50.818656,14.43590102,.000157,86.8604,47.2899,100.0062,260.1317,0,U,56726,999,3569,.188E-3,.656E-5,0
IRIDIUM 177,2023-068T,2024-01-20T12:02:23.042976,14.80210551,.0002426,86.1965,25.9353,93.8502,266.2996,0,U,56727,999,3638,.14198E-3,.1105E-4,0
IRIDIUM 174,2023-068U,2024-01-20T11:54:35.845344,14.80202744,.0002471,86.1974,26.0290,95.7167,264.4335,0,U,56728,999,3638,.56542E-4,.456E-5,0
IRIDIUM 178,2023-068V,2024-01-20T13:24:04.173696,14.80193604,.0002432,86.5762,36.4165,95.9196,264.2302,0,U,56729,999,3639,.9656E-4,.759E-5,0
IRIDIUM 179,2023-068W,2024-01-20T11:38:51.846720,14.80272173,.0002512,86.6771,38.7083,96.3668,263.7840,0,U,56730,999,3638,.22094E-3,.1706E-4,0
