OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TANTRUM (TYVAK-1015),2023-202A,2024-01-20T08:33:39.210048,15.87166616,0.0159962,140.0137,181.5121,21.3015,339.4396,0,U,58616,999,451,0.0006457,0.00553502,-9.8445e-06
STARLINK-31054,2023-203B,2024-01-20T22:00:00.999936,15.27057599,0.0001072,43.0001,139.8312,294.3814,317.164,0,U,58619,999,563,-0.060386,-0.01496427,0.0
STARLINK-31118,2023-203C,2024-01-20T22:00:00.999936,15.27849281,0.0001648,43.0003,139.8036,276.5663,346.5535,0,U,58620,999,575,-0.079476,-0.01993929,0.0
STARLINK-31134,2023-203D,2024-01-20T22:00:00.999936,15.27562179,0.0001769,43.0005,139.6902,295.3979,14.205,0,U,58621,999,569,0.0019428,0.0005356,0.0
STARLINK-31133,2023-203E,2024-01-20T22:00:00.999936,15.28020946,0.00019,43.0003,139.7755,270.175,4.4714,0,U,58622,999,451,-0.054018,-0.01369487,0.0
STARLINK-31068,2023-203F,2024-01-20T14:00:01.000224,15.27576304,0.0001978,43.0001,141.6317,261.3419,349.743,0,U,58623,999,564,-0.00069268,-0.00019272,0.0
STARLINK-31129,2023-203G,2024-01-20T22:00:00.999936,15.27666133,0.000185,43.0004,139.7191,255.8438,42.066,0,U,58624,999,569,-0.0070639,-0.00190245,0.0
STARLINK-30774,2023-203H,2024-01-20T22:00:00.999936,15.27706725,0.0002138,43.0006,139.6338,261.234,71.4177,0,U,58625,999,575,-0.0052994,-0.00143859,0.0
STARLINK-31086,2023-203J,2024-01-20T22:00:00.999936,15.38152279,0.0002121,43.0004,139.4336,290.2353,126.0428,0,U,58626,999,575,-0.0039894,-0.00150545,0.0
STARLINK-31065,2023-203K,2024-01-20T22:00:00.999936,15.36244416,0.0001129,43.0003,139.447,267.0164,143.243,0,U,58627,999,564,0.0013951,0.00050422,0.0
STARLINK-31092,2023-203L,2024-01-20T22:00:00.999936,15.27530362,0.0001581,43.0004,139.6058,272.3645,71.88,0,U,58628,999,569,0.0029566,0.00081881,0.0
STARLINK-31091,2023-203M,2024-01-20T22:00:00.999936,15.27548653,0.0001543,43.0006,139.5493,279.629,87.7842,0,U,58629,999,558,0.002653,0.00073402,0.0
STARLINK-31084,2023-203N,2024-01-20T22:00:00.999936,15.27587033,0.0001525,43.0005,139.5212,290.6213,88.3648,0,U,58630,999,575,0.0030116,0.00083572,0.0
STARLINK-31064,2023-203P,2024-01-20T14:00:01.000224,15.27564673,0.0001405,43.0001,141.3482,260.4169,106.6584,0,U,58631,999,564,-0.00029547,-8.38e-05,0.0
STARLINK-31081,2023-203Q,2024-01-20T22:00:00.999936,15.27552664,0.000194,43.0,139.4366,279.7923,134.0956,0,U,58632,999,570,0.001083,0.00029635,0.0
STARLINK-31022,2023-203R,2024-01-20T22:00:00.999936,15.2759411,0.0001667,43.0004,139.4926,268.7169,121.9901,0,U,58633,999,574,-0.0011704,-0.00032343,0.0
STARLINK-31025,2023-203S,2024-01-20T14:00:01.000224,15.48881993,0.0001405,42.9995,139.5282,284.8253,100.3355,0,U,58634,999,578,0.0007833,0.00043179,0.0
STARLINK-31018,2023-203T,2024-01-20T22:00:00.999936,15.25941251,0.0001149,42.9995,139.9784,229.0552,320.9697,0,U,58635,999,575,-0.0027207,-0.00070812,0.0
STARLINK-31008,2023-203U,2024-01-20T22:00:00.999936,15.25870537,0.0001226,42.9994,140.0084,308.5968,229.0001,0,U,58636,999,575,0.0018654,0.00048803,0.0
STARLINK-31077,2023-203V,2024-01-20T14:00:01.000224,15.28078625,7.02e-05,42.9992,141.8335,267.8377,259.2098,0,U,58637,999,564,-0.068815,-0.01734137,0.0
STARLINK-31078,2023-203W,2024-01-20T22:00:00.999936,15.27529863,0.0002344,42.9996,139.9214,267.7907,306.1777,0,U,58638,999,575,0.0027225,0.0007531,0.0
STARLINK-31070,2023-203X,2024-01-20T22:00:00.999936,15.27896627,0.0001534,42.9999,139.8649,267.1434,330.0224,0,U,58639,999,575,-0.040525,-0.01034575,0.0
STARLINK-31090,2023-203Y,2024-01-18T14:19:58.462752,15.51272279,7.64e-05,42.9986,152.25,198.5725,161.5108,0,U,58640,999,541,0.0011953,0.00072199,0.0
