OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
O3B FM5,2013-031A,2024-01-20T03:48:42.140448,5.00114841,.0002964,0.0377,18.7327,276.4286,64.8033,0,U,39188,999,19306,0,-.2E-6,0
O3B FM4,2013-031B,2024-01-20T05:08:34.377792,5.00114824,.0002938,0.0616,1.9792,293.6008,64.3850,0,U,39189,999,19308,0,-.2E-6,0
O3B FM2,2013-031C,2024-01-20T07:21:14.099616,5.00115439,.0002794,0.0669,0.9319,295.3986,63.6361,0,U,39190,999,19314,0,-.2E-6,0
O3B PFM,2013-031D,2024-01-20T07:58:11.611776,5.00116128,.0002637,0.0442,9.7337,289.9705,60.2648,0,U,39191,999,19270,0,-.2E-6,0
O3B FM3,2014-038A,2024-01-20T04:28:28.327008,5.00116639,.000211,0.0550,5.4844,352.5666,1.9435,0,U,40079,999,16906,0,-.2E-6,0
O3B FM7,2014-038B,2024-01-20T07:59:40.471584,5.00115992,.0003899,0.0592,7.0981,267.9783,84.8744,0,U,40080,999,17391,0,-.2E-6,0
O3B FM6,2014-038C,2024-01-20T08:38:18.575808,5.00115252,.0002661,0.0554,4.4304,294.5812,60.9570,0,U,40081,999,17386,0,-.2E-6,0
O3B FM8,2014-038D,2024-01-20T05:07:32.177568,5.00115307,.0002779,0.0563,5.0897,296.9530,57.9257,0,U,40082,999,17397,0,-.2E-6,0
O3B FM10,2014-083A,2024-01-20T05:45:39.730752,5.00115361,.0002691,0.0464,3.7654,294.9809,61.2220,0,U,40348,999,16592,0,-.2E-6,0
O3B FM11,2014-083B,2024-01-20T10:52:35.050080,5.00115521,.0002755,0.0475,9.3829,275.2648,75.3170,0,U,40349,999,16594,0,-.2E-6,0
O3B FM12,2014-083C,2024-01-20T11:31:53.532480,5.00115498,.0002572,0.0480,8.4387,289.1119,62.4186,0,U,40350,999,16596,0,-.2E-6,0
O3B FM9,2014-083D,2024-01-20T12:10:10.149024,5.00114977,.0002723,0.0475,10.8305,286.7611,62.3760,0,U,40351,999,16611,0,-.21E-6,0
DIAMOND RED,2017-036U,2024-01-20T14:47:09.812256,15.61953176,.0005461,97.1196,57.8949,46.3612,313.8099,0,U,42783,999,36645,.10517E-2,.92362E-3,0
DIAMOND GREEN,2017-036W,2024-01-20T14:36:51.983136,15.67182055,.000475,97.1157,58.7999,43.1687,316.9946,0,U,42785,999,36658,.11216E-2,.121454E-2,0
DIAMOND BLUE,2017-036X,2024-01-20T14:57:34.604352,15.64188389,.0005211,97.1199,58.3854,40.7846,319.3803,0,U,42786,999,36655,.1129E-2,.108374E-2,0
LEO VANTAGE 1,2018-004C,2024-01-20T10:23:52.778400,14.58722093,.0382688,99.2794,175.2964,237.7059,118.6533,0,U,43113,999,30892,.55512E-3,.7251E-4,0
O3B FM15,2018-024A,2024-01-20T08:57:37.163520,5.00114722,.0002654,0.0455,359.6154,298.0372,62.3158,0,U,43231,999,10706,0,-.2E-6,0
O3B FM16,2018-024B,2024-01-20T05:25:55.363872,5.00115191,.0002677,0.0438,354.7830,302.1791,63.0059,0,U,43232,999,10697,0,-.2E-6,0
O3B FM14,2018-024C,2024-01-20T11:11:21.945408,5.00115892,.0002812,0.0439,352.6038,302.2988,65.0635,0,U,43233,999,10698,0,-.2E-6,0
O3B FM13,2018-024D,2024-01-20T07:40:53.421600,5.00115335,.0002082,0.0525,33.2631,261.6065,65.1041,0,U,43234,999,10710,0,-.2E-6,0
O3B FM20,2019-020A,2024-01-20T11:49:47.836992,5.00115840,.0002503,0.0470,3.3536,287.7721,68.8428,0,U,44112,999,8761,0,-.21E-6,0
O3B FM19,2019-020B,2024-01-20T07:40:52.431456,5.00115373,.0003934,0.0467,16.4748,268.7961,74.6808,0,U,44113,999,8747,0,-.2E-6,0
O3B FM17,2019-020C,2024-01-20T09:36:09.089280,5.00116124,.0002604,0.0598,346.8468,311.3994,61.7228,0,U,44114,999,8756,0,-.2E-6,0
O3B FM18,2019-020D,2024-01-20T08:19:01.136352,5.00116115,.0002757,0.0467,3.7561,295.4694,60.7422,0,U,44115,999,8768,0,-.2E-6,0
SALSAT,2020-068K,2024-01-20T10:02:01.853664,15.10533015,.0016354,97.7975,336.4648,99.4324,260.8754,0,U,46495,999,18183,.50442E-3,.8278E-4,0
O3B MPOWER F1,2022-174A,2024-01-20T12:18:07.369920,5.00118405,.0006216,0.0592,12.2346,299.4005,209.3448,0,U,54755,999,2140,0,-.21E-6,0
O3B MPOWER F2,2022-174B,2024-01-09T23:01:51.963744,4.99697769,.0006892,0.0605,11.3732,294.8293,53.7330,0,U,54756,999,2095,0,-.9E-7,0
O3B MPOWER F4,2023-059A,2024-01-20T10:57:08.196768,5.00114784,.0007449,0.0427,17.7285,287.7916,54.4057,0,U,56367,999,1463,0,-.2E-6,0
O3B MPOWER F3,2023-059B,2024-01-12T03:05:39.870816,5.00591674,.0010633,0.0421,15.3409,317.5968,27.0046,0,U,56368,999,1035,0,-.11E-6,0
