OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
RADUGA 1 [-],1975-123A,2024-01-20T08:00:49.872384,1.00251215,.0005737,5.0746,280.3543,242.6707,157.7628,0,U,8513,999,18600,0,-.132E-5,0
RADUGA 2 [-],1976-092A,2024-01-20T05:45:42.613056,1.00261190,.0028437,5.7440,282.5362,13.4917,333.8937,0,U,9416,999,12052,0,.27E-6,0
RADUGA 3 [-],1977-071A,2024-01-19T19:52:56.173152,1.00349652,.0008604,6.3726,285.4159,262.8955,289.2216,0,U,10159,999,16823,0,.42E-6,0
RADUGA 4 [-],1978-073A,2024-01-20T02:13:42.600288,1.00215000,.0009546,7.0129,289.2944,12.5658,309.7607,0,U,10987,999,11078,0,-.276E-5,0
RADUGA 5 [-],1979-035A,2024-01-20T05:37:42.475296,1.00295916,.00053,7.4899,292.3338,190.6834,153.3578,0,U,11343,999,12053,0,-.59E-6,0
RADUGA 6 [-],1980-016A,2024-01-19T21:15:28.319616,1.00204970,.0001625,7.8713,295.7106,233.9233,330.7863,0,U,11708,999,11334,0,.49E-6,0
RADUGA 7 [-],1980-081A,2024-01-20T03:15:38.984832,1.00160223,.0009679,8.0708,297.8423,285.6864,196.4193,0,U,12003,999,11449,0,-.43E-6,0
RADUGA 8 [-],1981-027A,2024-01-20T07:48:40.899168,1.00396475,.0080565,8.4091,298.3267,246.0569,344.4325,0,U,12351,999,11372,0,-.265E-5,0
RADUGA 9 [-],1981-069A,2024-01-20T18:17:06.146880,1.00187240,.0002475,8.6535,301.6230,163.9129,0.9655,0,U,12618,999,11952,0,-.34E-6,0
RADUGA 10 [-],1981-102A,2024-01-19T21:20:18.318624,1.00281621,.0004553,8.7533,302.7123,205.2628,356.3505,0,U,12897,999,10852,0,.9E-7,0
RADUGA 11 [-],1982-113A,2024-01-19T21:05:42.647712,0.97707383,.003945,10.9526,317.3937,269.5698,276.1512,0,U,13669,999,11293,0,-.17E-6,0
RADUGA 12 [-],1983-028A,2024-01-19T19:58:42.758976,1.00248578,.0000708,10.0170,313.0415,87.5238,92.6304,0,U,13974,999,16055,0,-.75E-6,0
RADUGA 13 [-],1983-088A,2024-01-20T07:52:59.374272,0.98173743,.0015856,11.2291,318.8798,47.5460,169.0760,0,U,14307,999,11031,0,-.88E-6,0
RADUGA 14 [-],1984-016A,2024-01-19T21:38:26.974176,1.00295038,.0003443,10.2818,317.0637,154.9396,40.4402,0,U,14725,999,10928,0,-.33E-6,0
RADUGA 15 [-],1984-063A,2024-01-20T00:51:33.509664,1.00234370,.0004671,10.4169,318.0678,180.0034,16.5552,0,U,15057,999,13228,0,.129E-5,0
RADUGA 16 [-],1985-070A,2024-01-20T04:27:42.561792,1.00308683,.0001588,10.9593,322.8692,217.7692,327.0818,0,U,15946,999,11341,0,-.249E-5,0
RADUGA 17 [-],1985-107A,2024-01-20T09:42:57.667104,1.00121321,.0013166,11.1047,324.3278,204.9273,173.7710,0,U,16250,999,14287,0,-.83E-6,0
RADUGA 18 [-],1986-007A,2024-01-19T23:15:26.498880,0.98811488,.0074197,11.9509,327.1330,179.3056,8.3613,0,U,16497,999,13717,0,.21E-6,0
RADUGA 19 [-],1986-082A,2024-01-19T21:05:42.647712,0.98458355,.0012612,12.4548,331.1886,168.6791,9.0962,0,U,17046,999,13429,0,.12E-6,0
RADUGA 20 [-],1987-028A,2024-01-20T16:55:53.986080,0.95961995,.0029835,14.5184,334.5933,153.1536,35.3310,0,U,17611,999,12986,0,-.158E-5,0
RADUGA 21 [-],1987-100A,2024-01-20T05:39:58.774752,1.00275988,.0002491,12.5695,331.7161,162.8479,19.2963,0,U,18631,999,13227,0,-.296E-5,0
RADUGA 22 [-],1988-095A,2024-01-20T02:30:40.853664,1.00279317,.0007472,12.6456,336.2500,164.4413,25.0191,0,U,19596,999,11283,0,.41E-6,0
RADUGA 23 [-],1989-030A,2024-01-20T08:04:20.397216,1.00189841,.0021105,12.8278,338.0726,181.1534,174.6385,0,U,19928,999,12603,0,-.257E-5,0
