OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
AMC-1 (GE-1),1996-054A,2024-01-20T10:53:00.657312,0.99508984,.001046,7.0085,67.9763,213.5325,323.5202,0,U,24315,999,3749,0,-.27E-5,0
AMC-3 (GE-3),1997-050A,2024-01-20T10:57:46.142784,1.00270728,.0003197,5.9777,73.7503,232.4325,265.5598,0,U,24936,999,4362,0,-.262E-5,0
ASTRA 1G,1997-076A,2024-01-20T12:11:42.838944,0.99037605,.0007111,7.4624,62.7381,152.0564,206.4883,0,U,25071,999,9566,0,-.21E-5,0
ASTRA 2A,1998-050A,2024-01-20T05:27:42.740928,1.00273642,.000342,4.8691,79.1802,218.5552,320.4782,0,U,25462,999,3752,0,.67E-6,0
NSS-11 (AAP-1),2000-059A,2024-01-20T17:03:32.630976,1.00281351,.0002791,0.0549,280.9255,24.3664,246.1731,0,U,26554,999,8536,0,.31E-6,0
AMC-6 (GE-6),2000-067A,2024-01-20T17:16:27.064416,1.00271893,.0002565,0.0548,279.6834,22.9336,297.0501,0,U,26580,999,8517,0,.109E-5,0
ASTRA 2C,2001-025A,2024-01-20T10:57:46.107360,1.00268254,.0003309,5.9999,73.5730,229.3510,268.3079,0,U,26853,999,3623,0,-.26E-5,0
NSS-7,2002-019A,2024-01-20T10:58:01.407936,1.00271192,.0002647,7.2668,66.2214,251.3416,306.2509,0,U,27414,999,7975,0,-.162E-5,0
NSS-6,2002-057A,2024-01-20T14:43:34.226976,0.99122003,.0007107,3.0986,85.1267,212.9737,299.4268,0,U,27603,999,7720,0,.28E-6,0
AMC-11 (GE-11),2004-017A,2024-01-20T12:22:28.049088,1.00269121,.0003044,0.0365,307.5768,340.5540,265.7516,0,U,28252,999,7206,0,-.44E-6,0
AMC-15,2004-041A,2024-01-20T14:39:58.253760,1.00271274,.0002638,0.0368,305.3163,347.4485,301.6265,0,U,28446,999,7050,0,-.84E-6,0
NSS-10 (AMC-12),2005-003A,2024-01-20T10:53:00.657312,1.00271153,.0003147,4.2400,80.9300,213.8841,310.2890,0,U,28526,999,4434,0,-.251E-5,0
ASTRA 1KR,2006-012A,2024-01-20T07:18:42.482304,1.00269690,.0004843,0.0548,273.9318,350.9301,343.1471,0,U,29055,999,3691,0,.124E-5,0
AMC-18,2006-054B,2024-01-20T17:24:05.709312,0.98856415,.0006567,0.3255,118.0440,89.5434,60.9109,0,U,29644,999,6269,0,.56E-6,0
ASTRA 1L,2007-016A,2024-01-20T18:01:48.857088,1.00272267,.0005508,0.0671,309.8508,344.8994,114.4807,0,U,31306,999,6123,0,.124E-5,0
ASTRA 4A (SIRIUS 4),2007-057A,2024-01-20T09:22:02.034048,1.00272667,.0002999,0.0174,338.1623,314.2210,332.1752,0,U,32299,999,4284,0,.37E-6,0
AMC-21,2008-038B,2024-01-20T17:20:27.665088,1.00272053,.0003126,0.6743,92.2970,210.4594,312.0234,0,U,33275,999,5665,0,.4E-6,0
ASTRA 1M,2008-057A,2024-01-20T05:59:54.259584,1.00268476,.0001758,0.0156,71.9375,162.2380,354.0910,0,U,33436,999,3692,0,.124E-5,0
CIEL-2,2008-063A,2024-01-20T14:08:26.961216,1.00270599,.0003009,0.4898,92.8027,198.0628,271.8289,0,U,33453,999,5532,0,.62E-6,0
NSS-9,2009-008A,2024-01-20T11:23:02.415264,1.00272338,.0002366,0.0136,10.5746,288.4871,174.0832,0,U,33749,999,5471,0,.76E-6,0
SES-7 (PROTOSTAR 2),2009-027A,2024-01-20T12:19:42.720960,1.00271371,.0002307,0.0114,359.2895,294.4019,118.8537,0,U,34941,999,5380,0,-.341E-5,0
NSS-12,2009-058A,2024-01-20T11:20:04.711200,1.00272587,.000295,0.0137,348.0538,312.3325,45.9515,0,U,36032,999,5210,0,.76E-6,0
SES-1,2010-016A,2024-01-20T14:45:06.279264,1.00270845,.000256,0.0348,303.1473,352.6707,303.9174,0,U,36516,999,5022,0,-.11E-5,0
ASTRA 3B,2010-021A,2024-01-20T06:01:09.448320,1.00270123,.0001806,0.0456,16.2711,298.3027,278.3146,0,U,36581,999,5006,0,.141E-5,0
SES-3,2011-035A,2024-01-20T14:43:24.368736,1.00271399,.0003009,0.0502,292.7744,356.4245,308.1172,0,U,37748,999,4578,0,-.97E-6,0
ASTRA 1N,2011-041A,2024-01-20T18:01:48.857088,1.00269401,.0003758,0.0522,21.5739,324.3445,63.3274,0,U,37775,999,4559,0,.124E-5,0
SES-2,2011-049A,2024-01-20T14:05:06.927072,1.00272101,.0002981,0.0507,282.0165,25.7939,295.9027,0,U,37809,999,4518,0,-.191E-5,0
QUETZSAT 1,2011-054A,2024-01-20T10:41:47.253120,1.00270409,.0003224,0.0501,283.5483,36.2609,242.9448,0,U,37826,999,4107,0,-.237E-5,0
SES-4,2012-007A,2024-01-20T09:14:23.388288,1.00272014,.0002397,0.0234,44.8509,257.8946,293.0976,0,U,38087,999,4341,0,-.164E-5,0
SES-5,2012-036A,2024-01-20T07:18:42.683616,1.00274581,.0002182,0.0235,354.3659,297.0855,302.3595,0,U,38652,999,3567,0,.39E-6,0
ASTRA 2F,2012-051A,2024-01-20T11:11:40.954272,1.00270295,.0003689,0.0661,237.3289,25.1263,52.9637,0,U,38778,999,3231,0,.154E-5,0
SES-6,2013-026A,2024-01-20T10:52:08.025888,1.00270856,.0002683,0.0304,321.5474,335.5834,304.6983,0,U,39172,999,3891,0,-.257E-5,0
