OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-1,2014-033AL,2024-01-20T09:46:46.423200,14.77668089,.0056858,97.6798,189.1887,71.4300,289.3076,0,U,40044,999,51532,.48915E-3,.3547E-4,0
LEMUR-2-ANUBHAVTHAKUR,2016-062E,2024-01-20T14:20:34.955520,15.53419373,.0003225,51.6718,96.2442,222.4485,137.6257,0,U,41873,999,39885,.76353E-3,.49089E-3,0
LEMUR-2-SAM-AMELIA,2017-036S,2024-01-20T14:36:57.276864,15.71300693,.0003646,97.1182,63.8741,18.6263,341.5134,0,U,42781,999,36677,.10593E-2,.136008E-2,0
LEMUR-2-GREENBERG,2017-042N,2024-01-20T11:12:51.123168,15.00722786,.0013104,97.3707,216.5207,181.2117,178.9078,0,U,42837,999,35531,.96732E-3,.12238E-3,0
LEMUR-2-ANDIS,2017-042P,2024-01-20T12:50:26.885760,15.00629147,.0013212,97.3694,216.4057,179.2841,180.8405,0,U,42838,999,35532,.82614E-3,.10415E-3,0
LEMUR-2-MONSON,2017-042Q,2024-01-20T11:32:33.418176,15.00012724,.0010921,97.3766,215.9946,177.8808,182.2465,0,U,42839,999,35527,.8021E-3,.9942E-4,0
LEMUR-2-FURIAUS,2017-042R,2024-01-20T12:22:45.199488,15.00188294,.0010315,97.3781,216.4618,206.1702,153.9002,0,U,42840,999,35527,.70845E-3,.8813E-4,0
LEMUR-2-PETERG,2017-042S,2024-01-20T11:52:30.792576,15.00168977,.0009003,97.3821,217.7683,174.5831,185.5492,0,U,42841,999,35534,.10278E-2,.12808E-3,0
LEMUR-2-DEMBITZ,2017-042T,2024-01-20T11:30:57.470112,15.00392438,.001161,97.3736,217.7063,172.9557,187.1833,0,U,42842,999,35536,.77011E-3,.964E-4,0
LEMUR-2-ZACHARY,2017-042W,2024-01-20T11:55:42.516768,15.03292252,.0008404,97.3801,217.5509,223.9176,136.1383,0,U,42845,999,35549,.99408E-3,.13448E-3,0
LEMUR-2-JIN-LUEN,2018-014C,2024-01-20T06:29:06.217440,15.08233523,.0014484,97.6021,284.6634,136.4525,223.7849,0,U,43182,999,32627,.80943E-3,.12511E-3,0
