OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SPACEBEE-7,2018-099BL,2024-01-20T10:07:06.403296,15.07076316,.0012327,97.5716,86.3152,80.0763,280.1855,0,U,43816,999,27997,.83241E-3,.12462E-3,0
SPACEBEE-5,2018-099BM,2024-01-20T03:49:25.025088,15.56228638,.0004509,97.5600,101.7270,327.6038,32.4938,0,U,43817,999,28088,.39918E-2,.289806E-2,0
SPACEBEE-6,2018-099BN,2024-01-20T03:05:54.380832,15.13948246,.0011185,97.5641,89.4743,88.7686,271.4826,0,U,43818,999,28029,.14545E-2,.26414E-3,0
SPACEBEE-62,2021-006S,2024-01-20T17:27:27.042048,15.58664256,.0005575,97.3508,88.4138,2.7537,357.3749,0,U,47429,999,16637,.17294E-2,.134782E-2,0
SPACEBEE-63,2021-006AF,2024-01-20T14:39:41.122368,15.43651074,.0004016,97.3573,82.1937,45.6988,314.4589,0,U,47442,999,16591,.14422E-2,.65351E-3,0
SPACEBEE-55,2021-006AY,2024-01-20T02:44:58.084224,15.50511798,.0005997,97.3477,83.9664,29.3046,330.8541,0,U,47459,999,16606,.15907E-2,.91649E-3,0
SPACEBEE-57,2021-006BE,2024-01-20T11:06:37.186560,15.43242874,.0003685,97.3514,81.1019,50.5671,309.5903,0,U,47465,999,16588,.14937E-2,.66775E-3,0
SPACEBEE-100,2021-059E,2024-01-20T09:20:41.632800,15.64306424,.0003893,97.6038,171.8466,276.5960,83.4855,0,U,48883,999,14289,.19125E-2,.186238E-2,0
SPACEBEE-101,2021-059F,2024-01-20T09:04:37.129728,15.60116426,.0004103,97.6046,171.1281,271.0283,89.0503,0,U,48884,999,14284,.17661E-2,.145561E-2,0
SPACEBEE-102,2021-059H,2024-01-20T08:51:40.706496,15.61270881,.0003879,97.6064,171.2946,274.5995,85.4819,0,U,48886,999,14285,.18522E-2,.15981E-2,0
SPACEBEE-103,2021-059K,2024-01-20T17:21:41.137920,15.65049502,.0004288,97.6056,172.5721,280.2007,79.8768,0,U,48888,999,14296,.19625E-2,.197058E-2,0
SPACEBEE-104,2021-059M,2024-01-20T09:04:30.140832,15.66662808,.0004796,97.6019,172.3212,277.4222,82.6493,0,U,48890,999,14292,.19593E-2,.210128E-2,0
SPACEBEE-106,2021-059Q,2024-01-20T09:33:32.449536,15.60261357,.0004181,97.6063,171.6528,268.3020,91.7757,0,U,48893,999,14286,.17827E-2,.147784E-2,0
SPACEBEE-107,2021-059R,2024-01-20T08:46:17.285376,15.70030010,.000487,97.6046,173.4352,283.6549,76.4170,0,U,48894,999,14297,.19855E-2,.245194E-2,0
SPACEBEE-108,2021-059S,2024-01-20T08:47:09.148704,15.60634597,.0004254,97.6064,171.6547,264.8453,95.2318,0,U,48895,999,14286,.1788E-2,.150395E-2,0
SPACEBEE-105,2021-059T,2024-01-20T09:12:02.087136,15.65930246,.0003862,97.6048,172.2055,277.2746,82.8074,0,U,48896,999,14291,.19483E-2,.202711E-2,0
SPACEBEE-109,2021-059U,2024-01-20T08:24:22.483008,15.67693221,.0005017,97.6048,172.9456,276.7612,83.3077,0,U,48897,999,14294,.19291E-2,.215801E-2,0
SPACEBEE-110,2021-059W,2024-01-20T09:52:27.826752,15.67653270,.0004686,97.6049,173.3720,276.0039,84.0687,0,U,48899,999,14297,.18901E-2,.210957E-2,0
SPACEBEE-111,2021-059AB,2024-01-20T08:34:29.443872,15.77060879,.0005775,97.6030,174.9329,285.2173,74.8453,0,U,48904,999,14306,.20252E-2,.341217E-2,0
SPACEBEE-121,2022-026B,2024-01-20T18:13:29.917920,15.65823698,.0009985,97.4895,36.1145,39.9846,320.2147,0,U,52009,999,10320,.21155E-2,.220048E-2,0
SPACEBEE-114,2022-026C,2024-01-20T14:10:54.903936,15.70189761,.0009021,97.4911,36.8587,44.0241,316.1738,0,U,52010,999,10323,.20826E-2,.259674E-2,0
SPACEBEE-126,2022-026D,2024-01-20T14:08:40.149312,15.70469979,.0008558,97.4884,36.7327,43.0078,317.1852,0,U,52011,999,10322,.22119E-2,.27962E-2,0
SPACEBEE-118,2022-026E,2024-01-20T13:44:17.088864,15.72067127,.0008619,97.4878,37.2402,45.8513,314.3457,0,U,52012,999,10326,.22219E-2,.300986E-2,0
SPACEBEE-120,2022-026F,2024-01-20T13:58:39.011808,15.70811357,.0008503,97.4875,36.8648,38.3549,321.8317,0,U,52013,999,10323,.22332E-2,.286566E-2,0
SPACEBEE-122,2022-026G,2024-01-20T14:20:22.347168,15.74464041,.000757,97.4854,37.2909,46.5777,313.6116,0,U,52014,999,10326,.22695E-2,.341839E-2,0
SPACEBEE-119,2022-026H,2024-01-20T13:19:54.591744,15.67123068,.0009412,97.4892,36.2257,41.0406,319.1561,0,U,52015,999,10318,.20709E-2,.227031E-2,0
SPACEBEE-115,2022-026J,2024-01-20T13:03:59.256576,15.64145750,.0010102,97.4930,36.1520,38.0540,322.1431,0,U,52016,999,10317,.2042E-2,.198264E-2,0
SPACEBEE-127,2022-026N,2024-01-20T14:39:22.136832,15.60434581,.0010995,97.4918,35.4999,36.0649,324.1347,0,U,52020,999,10309,.1949E-2,.163313E-2,0
SPACEBEE-125,2022-026P,2024-01-20T13:12:58.501440,15.73621812,.0008046,97.4854,37.3388,42.1974,317.9908,0,U,52021,999,10313,.22335E-2,.323903E-2,0
SPACEBEE-117,2022-026Q,2024-01-20T14:22:20.343648,15.62471894,.0010522,97.4925,35.9111,35.7766,324.4195,0,U,52022,999,10303,.19652E-2,.178358E-2,0
SPACEBEE-116,2022-026R,2024-01-20T14:17:23.465472,15.65215939,.0009468,97.4913,36.3945,37.5187,322.6731,0,U,52023,999,10306,.20721E-2,.210094E-2,0
SPACEBEE-113,2022-026S,2024-01-20T13:27:15.640416,15.70701228,.0008748,97.4860,36.9597,38.3146,321.8736,0,U,52024,999,10310,.23137E-2,.295902E-2,0
SPACEBEE-123,2022-026V,2024-01-20T13:19:20.233056,15.65366398,.0009763,97.4897,35.9793,38.6651,321.5306,0,U,52027,999,10295,.20895E-2,.213234E-2,0
SPACEBEE-124,2022-026X,2024-01-20T13:14:30.495840,15.65670462,.0009778,97.4878,35.9513,37.5134,322.6806,0,U,52029,999,10167,.22251E-2,.230308E-2,0
SPACEBEE-143,2022-047A,2024-01-20T04:35:41.385408,15.49380793,.0004952,97.4016,110.3735,297.7154,62.3594,0,U,52394,999,9699,.18305E-2,.101473E-2,0
SPACEBEE-140,2022-047F,2024-01-20T18:17:47.330304,15.64058238,.0005768,97.3978,113.3930,291.2286,68.8356,0,U,52399,999,9726,.25141E-2,.244273E-2,0
SPACEBEE-141,2022-047G,2024-01-20T18:38:14.755488,15.49702082,.0004913,97.4018,111.1237,293.7168,66.3567,0,U,52400,999,9709,.17739E-2,.9942E-3,0
SPACEBEE-142,2022-047H,2024-01-20T05:28:43.963968,15.48424612,.0004753,97.4003,110.1192,298.0515,62.0254,0,U,52401,999,9698,.18386E-2,.98539E-3,0
SPACEBEENZ-22,2022-047K,2024-01-20T18:26:13.991136,16.12485829,.0010225,97.3710,116.2815,306.9825,53.0523,0,U,52403,999,9744,.29269E-2,.2643725E-1,.11713E-1
SPACEBEE-148,2022-047N,2024-01-20T05:18:17.176896,15.62442086,.0006162,97.3958,112.5326,293.8895,66.1717,0,U,52406,999,9714,.23119E-2,.210069E-2,0
SPACEBEE-149,2022-047P,2024-01-20T13:25:18.638400,15.51420036,.0005545,97.4007,111.0174,294.8318,65.2357,0,U,52407,999,9707,.19486E-2,.116311E-2,0
SPACEBEE-153,2022-047Q,2024-01-20T19:15:07.913088,15.53408698,.0005631,97.4029,112.0419,304.0928,55.9791,0,U,52408,999,9714,.19376E-2,.124313E-2,0
SPACEBEE-150,2022-047R,2024-01-20T05:12:41.156064,15.48998306,.0005119,97.4013,110.2890,297.7480,62.3252,0,U,52409,999,9699,.17485E-2,.95567E-3,0
SPACEBEE-144,2022-047S,2024-01-20T04:40:25.491072,15.48408541,.000488,97.4016,110.2164,299.9584,60.1182,0,U,52410,999,9698,.17457E-2,.93444E-3,0
SPACEBEE-145,2022-047T,2024-01-20T05:53:33.957024,15.48793670,.0004851,97.4017,110.2752,298.4188,61.6574,0,U,52411,999,9699,.16849E-2,.9138E-3,0
SPACEBEE-146,2022-047U,2024-01-20T04:42:48.864960,15.49850783,.0004856,97.3997,110.3099,298.6560,61.4202,0,U,52412,999,9699,.18278E-2,.103026E-2,0
SPACEBEE-151,2022-047V,2024-01-20T05:03:47.454624,15.48544948,.0005269,97.4011,110.1279,299.6594,60.4132,0,U,52413,999,9698,.17762E-2,.95563E-3,0
SPACEBEE-152,2022-047W,2024-01-20T19:10:56.195328,15.48219856,.0005248,97.4004,110.5343,299.1055,60.9669,0,U,52414,999,9706,.18893E-2,.100575E-2,0
SPACEBEE-147,2022-047X,2024-01-20T04:40:20.759808,15.47210246,.0004933,97.4021,109.9173,301.8582,58.2187,0,U,52415,999,9696,.17137E-2,.87942E-3,0
SPACEBEE-155,2022-047Y,2024-01-20T04:41:44.879712,15.46720597,.0005575,97.3986,109.2634,305.2184,54.8543,0,U,52416,999,9693,.17406E-2,.8784E-3,0
SPACEBEE-154,2022-047Z,2024-01-20T11:14:13.166016,15.47666951,.0005405,97.4011,110.0834,301.5764,58.4958,0,U,52417,999,9700,.18447E-2,.96286E-3,0
SPACEBEE-167,2023-001CG,2024-01-20T18:06:33.068160,15.30059167,.0011017,97.4472,84.7736,324.9470,35.1044,0,U,55087,999,5823,.11365E-2,.33154E-3,0
SPACEBEE-163,2023-001CJ,2024-01-20T17:16:27.997536,15.32984305,.0010501,97.4435,85.2233,322.9112,37.1403,0,U,55089,999,5826,.14447E-2,.46252E-3,0
SPACEBEE-164,2023-001CL,2024-01-20T17:11:01.885056,15.31047803,.0011206,97.4467,84.9614,324.0000,36.0485,0,U,55091,999,5824,.1241E-2,.37356E-3,0
SPACEBEE-166,2023-001CM,2024-01-20T14:31:02.875296,15.33142783,.0011889,97.4455,85.3774,322.1424,37.8981,0,U,55092,999,5826,.12846E-2,.41316E-3,0
SPACEBEE-165,2023-001CP,2024-01-20T02:50:28.504608,15.31623797,.0010476,97.4464,84.5227,325.0346,35.0206,0,U,55094,999,5816,.13405E-2,.41096E-3,0
SPACEBEE-162,2023-001CQ,2024-01-20T10:02:00.609504,15.31263065,.0011186,97.4470,84.7479,323.5933,36.4546,0,U,55095,999,5820,.12428E-2,.37662E-3,0
SPACEBEE-161,2023-001CR,2024-01-20T03:17:36.175200,15.31423772,.0011295,97.4473,84.5101,324.1118,35.9363,0,U,55096,999,5816,.13657E-2,.41625E-3,0
