OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-01-20T11:13:39.444960,14.34232044,.0006596,86.3887,358.4949,328.7121,31.3681,0,U,24946,999,37909,.22124E-3,.64E-5,0
IRIDIUM 33 DEB,1997-051L,2024-01-20T10:02:20.656896,14.40347459,.0008996,86.4041,353.1582,284.6497,75.3705,0,U,33773,999,78371,.65828E-3,.2107E-4,0
IRIDIUM 33 DEB,1997-051N,2024-01-20T10:06:53.233344,14.37644419,.0013257,86.3681,344.0750,291.3798,191.7425,0,U,33775,999,78179,.10381E-2,.3138E-4,0
IRIDIUM 33 DEB,1997-051P,2024-01-20T12:24:08.948736,14.35764919,.0012918,86.4059,10.7815,313.2220,167.1988,0,U,33776,999,78140,.65987E-3,.1928E-4,0
IRIDIUM 33 DEB,1997-051Q,2024-01-20T10:05:20.314464,14.46806446,.0013609,86.3842,334.0289,71.5410,288.7271,0,U,33777,999,78492,.1718E-2,.6248E-4,0
IRIDIUM 33 DEB,1997-051T,2024-01-20T09:09:47.551104,14.38292403,.0009777,86.3450,326.8684,298.6837,179.3473,0,U,33850,999,78186,.10136E-2,.3103E-4,0
IRIDIUM 33 DEB,1997-051W,2024-01-20T18:26:10.110048,13.94133957,.0220341,86.0008,291.8256,191.8887,224.8785,0,U,33853,999,75698,.13198E-2,.2156E-4,0
IRIDIUM 33 DEB,1997-051X,2024-01-20T18:33:58.902624,15.43594738,.0018505,86.1782,155.0635,284.8020,75.1185,0,U,33854,999,79551,.12888E-1,.629501E-2,0
IRIDIUM 33 DEB,1997-051AC,2024-01-20T07:57:35.773056,14.55981273,.0039535,86.3362,318.5851,238.7194,121.0139,0,U,33859,999,78296,.34588E-2,.1541E-3,0
IRIDIUM 33 DEB,1997-051AD,2024-01-20T07:59:54.401856,14.52047042,.0012664,86.3911,329.6545,145.3701,334.9603,0,U,33860,999,78621,.21849E-2,.8865E-4,0
IRIDIUM 33 DEB,1997-051AF,2024-01-20T09:31:15.299904,14.54132439,.0057797,86.4142,338.8357,270.2594,205.1206,0,U,33862,999,78709,.3058E-2,.13247E-3,0
IRIDIUM 33 DEB,1997-051AH,2024-01-20T14:18:19.773216,14.67172498,.001028,86.2687,242.3806,32.1722,24.5627,0,U,33864,999,78810,.34126E-2,.19263E-3,0
IRIDIUM 33 DEB,1997-051AK,2024-01-20T12:24:10.968768,14.18683048,.0112553,86.3032,24.2872,211.2238,272.1359,0,U,33866,999,76971,.25932E-2,.5745E-4,0
IRIDIUM 33 DEB,1997-051AL,2024-01-20T18:50:33.412416,14.69258973,.0019219,86.4176,309.0107,340.8634,19.1857,0,U,33867,999,79180,.2849E-2,.16888E-3,0
IRIDIUM 33 DEB,1997-051AN,2024-01-20T08:50:35.076192,15.00198009,.0012683,86.2948,339.5668,252.0152,107.9698,0,U,33869,999,78208,.1551E-1,.199385E-2,0
IRIDIUM 33 DEB,1997-051AP,2024-01-20T09:37:36.365376,14.39308043,.0020525,86.3795,353.3159,318.6105,159.1383,0,U,33870,999,78154,.154E-2,.4811E-4,0
IRIDIUM 33 DEB,1997-051AS,2024-01-20T05:11:27.433536,14.86629604,.001258,86.3526,279.4646,294.0681,65.9227,0,U,33873,999,79093,.53888E-2,.48174E-3,0
IRIDIUM 33 DEB,1997-051AT,2024-01-20T08:12:46.429056,14.49814376,.0044397,86.2821,320.4762,135.5339,340.7897,0,U,33874,999,77808,.49326E-2,.1932E-3,0
IRIDIUM 33 DEB,1997-051AU,2024-01-20T03:17:48.021504,15.21897386,.0010443,86.3808,258.8031,356.0417,4.0743,0,U,33875,999,79805,.66768E-2,.15512E-2,0
IRIDIUM 33 DEB,1997-051BA,2024-01-20T12:30:28.111680,14.35970981,.0063347,86.3841,42.4995,307.2368,171.6344,0,U,33881,999,77493,.56417E-2,.16801E-3,0
IRIDIUM 33 DEB,1997-051BD,2024-01-20T08:16:49.349568,14.56068469,.0012296,86.3804,316.9932,167.9017,319.1895,0,U,33884,999,78697,.27206E-2,.12027E-3,0
IRIDIUM 33 DEB,1997-051BF,2024-01-20T11:42:48.585312,14.34480642,.0014242,86.3851,358.1160,358.3923,119.9968,0,U,33886,999,78122,.43208E-3,.1238E-4,0
IRIDIUM 33 DEB,1997-051BG,2024-01-20T07:00:06.914880,14.35928867,.0006585,86.3057,301.3334,5.7522,121.2659,0,U,33887,999,78223,.29845E-3,.885E-5,0
