OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092Q,2024-01-20T09:43:39.762912,14.47791072,.0398785,82.3858,149.4553,189.2475,170.1230,0,U,49527,999,11338,.76047E-2,.78915E-3,0
COSMOS 1408 DEB,1982-092S,2024-01-20T15:02:34.431360,15.36312766,.0089226,82.3439,69.2148,305.2015,54.0895,0,U,49529,999,11869,.31056E-2,.127296E-2,0
COSMOS 1408 DEB,1982-092AA,2024-01-20T14:55:06.841344,15.11701461,.0126936,82.5552,78.9087,215.2964,143.9816,0,U,49537,999,11939,.10305E-2,.2141E-3,0
COSMOS 1408 DEB,1982-092AC,2024-01-20T20:00:54.417888,14.49850210,.0390242,82.1938,135.3387,219.3983,137.8236,0,U,49539,999,11296,.69855E-2,.73682E-3,0
COSMOS 1408 DEB,1982-092CV,2024-01-20T11:33:23.475744,15.44438954,.0042457,82.5085,48.1541,145.6397,214.7611,0,U,49604,999,12093,.97242E-3,.4675E-3,0
COSMOS 1408 DEB,1982-092DL,2024-01-19T16:07:04.757376,14.53125348,.0381555,81.9579,107.8664,223.9806,133.0449,0,U,49619,999,11305,.78011E-2,.86875E-3,0
COSMOS 1408 DEB,1982-092HD,2024-01-20T13:21:06.103296,15.75371662,.0017044,82.5957,29.9535,152.5988,207.6180,0,U,49708,999,12178,.59708E-3,.91535E-3,0
COSMOS 1408 DEB,1982-092HE,2024-01-20T13:31:31.281600,15.67469499,.0033242,82.6015,61.1207,126.6696,233.7629,0,U,49709,999,11989,.20764E-2,.237327E-2,0
COSMOS 1408 DEB,1982-092JF,2024-01-20T13:19:34.918464,15.37595239,.0064155,82.6014,64.7676,144.5828,215.9704,0,U,49789,999,12032,.12022E-2,.47811E-3,0
COSMOS 1408 DEB,1982-092KX,2024-01-20T12:15:43.695360,15.34574131,.0076705,82.4800,59.9449,227.0797,132.3994,0,U,49840,999,11809,.13406E-2,.49689E-3,0
COSMOS 1408 DEB,1982-092LB,2024-01-20T10:13:43.951296,15.71676890,.0010717,82.5572,35.7040,89.6512,270.5979,0,U,49844,999,12013,.86705E-3,.11318E-2,0
COSMOS 1408 DEB,1982-092QP,2024-01-20T14:08:18.927744,15.57158165,.0049431,82.6316,70.0991,196.9457,163.0151,0,U,49996,999,11962,.21392E-2,.167081E-2,0
COSMOS 1408 DEB,1982-092RA,2024-01-20T13:11:38.246208,15.59573419,.0042823,82.5568,53.5759,115.7200,244.8487,0,U,50014,999,11924,.15021E-2,.126313E-2,0
COSMOS 1408 DEB,1982-092RG,2024-01-20T11:56:10.646016,15.60788096,.0008571,82.6176,42.2613,107.5418,252.6776,0,U,50020,999,12021,.67155E-3,.56285E-3,0
COSMOS 1408 DEB,1982-092RU,2024-01-20T12:59:52.027296,15.36424731,.0018999,82.5661,42.8554,184.4042,175.7039,0,U,50032,999,11943,.13971E-3,.5029E-4,0
COSMOS 1408 DEB,1982-092SP,2024-01-20T13:01:50.276928,15.56888415,.0048517,82.5121,53.5468,138.8589,221.6340,0,U,50051,999,12088,.18035E-2,.138721E-2,0
COSMOS 1408 DEB,1982-092SW,2024-01-20T12:58:36.504192,15.34018163,.0033955,82.6177,55.1133,99.9916,260.5161,0,U,50058,999,12104,.29311E-3,.9865E-4,0
COSMOS 1408 DEB,1982-092TH,2024-01-20T11:54:30.483360,15.50081253,.0052508,82.4959,49.7288,127.6499,232.9533,0,U,50069,999,12062,.1361E-2,.81606E-3,0
COSMOS 1408 DEB,1982-092VP,2024-01-20T12:43:39.005184,15.52064242,.0011391,82.5593,38.2828,85.4789,274.7764,0,U,50123,999,12199,.65202E-3,.39571E-3,0
COSMOS 1408 DEB,1982-092YZ,2024-01-20T12:56:26.499840,15.57103409,.0016989,82.6667,50.1210,122.3215,237.9688,0,U,50284,999,11845,.65909E-3,.48279E-3,0
COSMOS 1408 DEB,1982-092AAP,2024-01-20T12:54:50.842080,15.79833140,.0010641,82.5265,22.4794,312.2952,47.7412,0,U,50329,999,11821,.69736E-3,.130097E-2,0
COSMOS 1408 DEB,1982-092ABK,2024-01-20T12:33:36.418752,15.81664807,.00155,82.6735,47.6167,96.1907,264.1128,0,U,50349,999,11830,.11135E-2,.229295E-2,0
COSMOS 1408 DEB,1982-092ABM,2024-01-20T12:05:34.514016,15.11883783,.0148209,82.5285,84.3563,241.1662,117.4625,0,U,50351,999,11888,.14248E-2,.31999E-3,0
COSMOS 1408 DEB,1982-092ABZ,2024-01-20T12:50:45.589632,15.29005360,.0074942,82.4154,53.1052,219.4114,140.1660,0,U,50363,999,11707,.122E-2,.3756E-3,0
COSMOS 1408 DEB,1982-092ADS,2024-01-20T19:44:47.955264,14.28561089,.0471731,82.2543,151.3459,247.6084,107.4488,0,U,50404,999,11058,.4732E-2,.40698E-3,0
COSMOS 1408 DEB,1982-092AGW,2024-01-20T13:16:09.776352,15.90423514,.0025264,82.4992,67.2210,190.0595,170.0176,0,U,50523,999,11541,.3914E-2,.1212318E-1,.65534E-3
COSMOS 1408 DEB,1982-092AJW,2024-01-20T19:32:42.528768,15.46465460,.0026437,82.7150,62.1834,124.2710,236.1049,0,U,50578,999,11728,.66418E-3,.3348E-3,0
COSMOS 1408 DEB,1982-092ALP,2024-01-20T19:04:24.599424,15.72167394,.0015054,82.5491,37.9543,92.2008,268.0979,0,U,50619,999,11706,.12234E-2,.164488E-2,0
COSMOS 1408 DEB,1982-092ALR,2024-01-20T12:20:01.512960,15.28578263,.0053879,82.5798,57.4798,128.5935,232.0149,0,U,50621,999,11590,.35805E-3,.10436E-3,0
COSMOS 1408 DEB,1982-092APM,2024-01-20T12:00:01.664064,15.42772524,.0046996,82.5124,38.4940,52.5486,308.0022,0,U,50689,999,11555,.45331E-3,.20708E-3,0
COSMOS 1408 DEB,1982-092ARE,2024-01-20T11:01:25.983264,15.48386780,.0018744,82.5622,42.6465,103.5101,256.8239,0,U,50730,999,11629,.6066E-3,.32459E-3,0
COSMOS 1408 DEB,1982-092AWG,2024-01-20T08:20:42.398016,15.63979823,.0023164,82.5654,43.5070,80.3676,280.0198,0,U,50937,999,11450,.1101E-2,.106232E-2,0
COSMOS 1408 DEB,1982-092AXN,2024-01-20T12:44:39.175008,15.52365253,.0014484,82.7194,60.8027,94.4192,265.8716,0,U,50967,999,11535,.8131E-3,.50016E-3,0
COSMOS 1408 DEB,1982-092AZJ,2024-01-20T12:14:32.172576,15.42882175,.0023634,82.4946,34.6970,58.1648,302.1896,0,U,51184,999,11353,.40884E-3,.1818E-3,0
COSMOS 1408 DEB,1982-092BBB,2024-01-20T07:32:03.116544,15.44080100,.0054376,82.4614,38.2103,190.4303,169.5822,0,U,51225,999,11406,.69307E-3,.33598E-3,0
COSMOS 1408 DEB,1982-092BDX,2024-01-20T09:50:41.375040,15.77710321,.001213,82.4921,20.4328,331.5582,28.5020,0,U,51305,999,11444,.72382E-3,.122819E-2,0
COSMOS 1408 DEB,1982-092BEQ,2024-01-20T19:38:14.353152,15.57898459,.0048254,82.7326,60.5651,158.1981,202.1344,0,U,51322,999,11366,.83393E-3,.66117E-3,0
COSMOS 1408 DEB,1982-092BKH,2024-01-20T12:41:03.566400,15.29758419,.006492,82.5580,59.9749,152.6074,207.8615,0,U,51435,999,11125,.68075E-3,.20989E-3,0
